akalmaza akalmaṣa Akalmaṣa
AgamacandrikA āgamacandrikā Āgamacandrikā
AgamatattvasaMgraha āgamatattvasaṁgraha Āgamatattvasaṁgraha
AgamaprakASa āgamaprakāśa Āgamaprakāśa
Agamarahasya āgamarahasya Āgamarahasya
AgIgrAma āgīgrāma Āgīgrāma
AgnIDra āgnīdhra Āgnīdhra
AGoziRI āghoṣiṇī Āghoṣiṇī
AjakeSin ājakeśin Ājakeśin
AYjaneya āñjaneya Āñjaneya
AYjaneyapurARa āñjaneyapurāṇa Āñjaneyapurāṇa
AYjaneyastava āñjaneyastava Āñjaneyastava
AYjaneyastotra āñjaneyastotra Āñjaneyastotra
Awika āṭika Āṭika
AtmajYAnopanizad ātmajñānopaniṣad Ātmajñānopaniṣad
Atmajyotirupanizad ātmajyotirupaniṣad Ātmajyotirupaniṣad
Atmatattvaviveka ātmatattvaviveka Ātmatattvaviveka
AtmanirAloka ātmanirāloka Ātmanirāloka
AtmanirUpaRa ātmanirūpaṇa Ātmanirūpaṇa
AtmapaYcaka ātmapañcaka Ātmapañcaka
AtmollAsa ātmollāsa Ātmollāsa
AtmanikA ātmanikā Ātmanikā
AdikeSavAzwaka ādikeśavāṣṭaka Ādikeśavāṣṭaka
Adiguru ādiguru Ādiguru
AdigranTa ādigrantha Ādigrantha
AdidIpa ādidīpa Ādidīpa
AdipitAmaha ādipitāmaha Ādipitāmaha
AdiyAmala ādiyāmala Ādiyāmala
AdivarAha ādivarāha Ādivarāha
AdiSUra ādiśūra Ādiśūra
AdisiMha ādisiṁha Ādisiṁha
AdityarAma ādityarāma Ādityarāma
AdityavarDana ādityavardhana Ādityavardhana
AdityaviDi ādityavidhi Ādityavidhi
AdityaSakti ādityaśakti Ādityaśakti
ADiraTIya ādhirathīya Ādhirathīya
AnakadunduBi ānakadundubhi Ānakadundubhi
Ananda ānanda Ānanda
Ananda ānanda Ānanda
AnoBadrasUkta ānobhadrasūkta Ānobhadrasūkta
AntrImuKa āntrīmukha Āntrīmukha
AndIqa āndīḍa Āndīḍa
AndIra āndīra Āndīra
AbravantI ābravantī Ābravantī
AmantraRika āmantraṇika Āmantraṇika
AmardakatirTanATa āmardakatirthanātha Āmardakatirthanātha
AmnAyayoni āmnāyayoni Āmnāyayoni
Amrakavi āmrakavi Āmrakavi
AmraprasAda āmraprasāda Āmraprasāda
AmlocantI āmlocantī Āmlocantī
AyAsya āyāsya Āyāsya
AyuzyagaRa āyuṣyagaṇa Āyuṣyagaṇa
ArtAyani ārtāyani Ārtāyani
ArADyakarpUra ārādhyakarpūra Ārādhyakarpūra
AruRyopanIzad āruṇyopanīṣad Āruṇyopanīṣad
AryA āryā Āryā
AryapAla āryapāla Āryapāla
AryamArgapudgalanAyaka āryamārgapudgalanāyaka Āryamārgapudgalanāyaka
Aryavajra āryavajra Āryavajra
AryaSUra āryaśūra Āryaśūra
AryAtriSatI āryātriśatī Āryātriśatī
AryApaYcASat āryāpañcāśat Āryāpañcāśat
AryArAmAyaRa āryārāmāyaṇa Āryārāmāyaṇa
AryAsaptaSatI āryāsaptaśatī Āryāsaptaśatī
ArzeyabrAhmaRa ārṣeyabrāhmaṇa Ārṣeyabrāhmaṇa
ArzeyarAmAyaRa ārṣeyarāmāyaṇa Ārṣeyarāmāyaṇa
Alakzita ālakṣita Ālakṣita
AlokasuvegaDvaja ālokasuvegadhvaja Ālokasuvegadhvaja
ASApurA āśāpurā Āśāpurā
ASApAlIya āśāpālīya Āśāpālīya
ASIvizA āśīviṣā Āśīviṣā
ASIvizanadI āśīviṣanadī Āśīviṣanadī
ASuganDa āśugandha Āśugandha
AScaryamaYjarI āścaryamañjarī Āścaryamañjarī
AScaryarAmAyaRa āścaryarāmāyaṇa Āścaryarāmāyaṇa
ASvAsanI āśvāsanī Āśvāsanī
AzAQa āṣāḍha Āṣāḍha
AzwrAdaMzwra āṣṭrādaṁṣṭra Āṣṭrādaṁṣṭra
Asawa āsaṭa Āsaṭa
Asaqa āsaḍa Āsaḍa
AsarvA āsarvā Āsarvā
AsurIkalpa āsurīkalpa Āsurīkalpa
AhInta āhīnta Āhīnta
AhlAdalaharI āhlādalaharī Āhlādalaharī
ikzvAkucandramas ikṣvākucandramas Ikṣvākucandramas
ijjAdevI ijjādevī Ijjādevī
iwat iṭat Iṭat
itihAsasamuccaya itihāsasamuccaya Itihāsasamuccaya
itihAsopanizad itihāsopaniṣad Itihāsopaniṣad
idahA idahā Idahā
indirAdayita indirādayita Indirādayita
indukalAvataMsa indukalāvataṁsa Indukalāvataṁsa
indugOra indugaura Indugaura
indukA indukā Indukā
indrabala indrabala Indrabala
indraBawwAraka indrabhaṭṭāraka Indrabhaṭṭāraka
indramaGaSrI indramaghaśrī Indramaghaśrī
indrarAja indrarāja Indrarāja
indrasaBA indrasabhā Indrasabhā
indrasarasvatI indrasarasvatī Indrasarasvatī
indrAvasikta indrāvasikta Indrāvasikta
indrARyupanizad indrāṇyupaniṣad Indrāṇyupaniṣad
indriyavAda indriyavāda Indriyavāda
izu iṣu Iṣu
izupad iṣupad Iṣupad
icCAmaraRa icchāmaraṇa Icchāmaraṇa
izwakApurARa iṣṭakāpurāṇa Iṣṭakāpurāṇa
izwikAlanirRaya iṣṭikālanirṇaya Iṣṭikālanirṇaya
iheqa iheḍa Iheḍa
ISADara īśādhara Īśādhara
ISeSvara īśeśvara Īśeśvara
ISvarapratyaBijYAsUtra īśvarapratyabhijñāsūtra Īśvarapratyabhijñāsūtra
ukzRoranDra ukṣṇorandhra Ukṣṇorandhra
uKaqa ukhaḍa Ukhaḍa
uccakalpa uccakalpa Uccakalpa
uccEHSravyakarRaka uccaiḥśravyakarṇaka Uccaiḥśravyakarṇaka
ucCuna ucchuna Ucchuna
ucCuzmA ucchuṣmā Ucchuṣmā
ujjIvitamadAlasa ujjīvitamadālasa Ujjīvitamadālasa
uqupaBft uḍupabhṛt Uḍupabhṛt
utkalikAvElarI utkalikāvailarī Utkalikāvailarī
utkrATinI utkrāthinī Utkrāthinī
utKalI utkhalī Utkhalī
utKilI utkhilī Utkhilī
uttaptavEqUryanirBAsa uttaptavaiḍūryanirbhāsa Uttaptavaiḍūryanirbhāsa
uttamacaritra uttamacaritra Uttamacaritra
uttaragArgya uttaragārgya Uttaragārgya
uttararAmacampU uttararāmacampū Uttararāmacampū
utpAtalakzaRa utpātalakṣaṇa Utpātalakṣaṇa
udaDi udadhi Udadhi
udakacandra udakacandra Udakacandra
undapura undapura Undapura
udIcIpaTa udīcīpatha Udīcīpatha
udAnaBft udānabhṛt Udānabhṛt
udayavarman udayavarman Udayavarman
udaya udaya Udaya
uddaRqakavi uddaṇḍakavi Uddaṇḍakavi
uddaRqaraNganATa uddaṇḍaraṅganātha Uddaṇḍaraṅganātha
udrAyaRa udrāyaṇa Udrāyaṇa
upakASinI upakāśinī Upakāśinī
uparakta uparakta Uparakta
upolava upolava Upolava
uranDrA urandhrā Urandhrā
ulkAlakzaRa ulkālakṣaṇa Ulkālakṣaṇa
ulliNganAzwaka ulliṅganāṣṭaka Ulliṅganāṣṭaka
uzAcarita uṣācarita Uṣācarita
uzAnidAna uṣānidāna Uṣānidāna
uzApariRaya uṣāpariṇaya Uṣāpariṇaya
uzAharaRa uṣāharaṇa Uṣāharaṇa
usmita usmita Usmita
uhlaRa uhlaṇa Uhlaṇa
UdaleSvara ūdaleśvara Ūdaleśvara
Urjayat ūrjayat Ūrjayat
UrjayantatIrTa ūrjayantatīrtha Ūrjayantatīrtha
Urjaspati ūrjaspati Ūrjaspati
UrRAyu ūrṇāyu Ūrṇāyu
UrDvavAsin ūrdhvavāsin Ūrdhvavāsin
UlIBeda ūlībheda Ūlībheda
UlIviveka ūlīviveka Ūlīviveka
ftuketulakzaRa ṛtuketulakṣaṇa Ṛtuketulakṣaṇa
ftvan ṛtvan Ṛtvan
fkzakarRI ṛkṣakarṇī Ṛkṣakarṇī
fkzabila ṛkṣabila Ṛkṣabila
fjuvyAkaraRa ṛjuvyākaraṇa Ṛjuvyākaraṇa
fdDi ṛddhi Ṛddhi
fdDilakzmI ṛddhilakṣmī Ṛddhilakṣmī
fzaBa ṛṣabha Ṛṣabha
fzaBadatta ṛṣabhadatta Ṛṣabhadatta
ekAkzipiNgalin ekākṣipiṅgalin Ekākṣipiṅgalin
ekAmracandrikA ekāmracandrikā Ekāmracandrikā
ekAmranATa ekāmranātha Ekāmranātha
ekAmrapurARa ekāmrapurāṇa Ekāmrapurāṇa
ekAmravanamAhAtmya ekāmravanamāhātmya Ekāmravanamāhātmya
ekIBAvastotra ekībhāvastotra Ekībhāvastotra
eraRqA eraṇḍā Eraṇḍā
eraRqapalla eraṇḍapalla Eraṇḍapalla
EndraniGanwu aindranighanṭu Aindranighanṭu
ESvarika aiśvarika Aiśvarika
ESvaryakAdambinI aiśvaryakādambinī Aiśvaryakādambinī
oGadeva oghadeva Oghadeva
ozaDinAmAvalI oṣadhināmāvalī Oṣadhināmāvalī
ozWaSataka oṣṭhaśataka Oṣṭhaśataka
Ojasa aujasa Aujasa
OdambarI audambarī Audambarī
OdAryacintAmaRi audāryacintāmaṇi Audāryacintāmaṇi
OdrAyaRa audrāyaṇa Audrāyaṇa
OpajaNGani aupajaṅghani Aupajaṅghani
OmApata aumāpata Aumāpata
OrvakalpagranTa aurvakalpagrantha Aurvakalpagrantha
OrvaprakAra aurvaprakāra Aurvaprakāra
Orvaprayoga aurvaprayoga Aurvaprayoga
OzaDakalpagranTa auṣadhakalpagrantha Auṣadhakalpagrantha
OzaDaprakAra auṣadhaprakāra Auṣadhaprakāra
OzaDaprayoga auṣadhaprayoga Auṣadhaprayoga
kaMsaniDana kaṁsanidhana Kaṁsanidhana
kaNkadeva kaṅkadeva Kaṅkadeva
kaNkahrada kaṅkahrada Kaṅkahrada
kaNkawIka kaṅkaṭīka Kaṅkaṭīka
kaNkaRa kaṅkaṇa Kaṅkaṇa
kacCapaGAta kacchapaghāta Kacchapaghāta
kacCapAri kacchapāri Kacchapāri
kaWasUtra kaṭhasūtra Kaṭhasūtra
kaRqagopAla kaṇḍagopāla Kaṇḍagopāla
kaTAtrayI kathātrayī Kathātrayī
kadvindu kadvindu Kadvindu
kapAleSvara kapāleśvara Kapāleśvara
kapAleSvarI kapāleśvarī Kapāleśvarī
kapiketu kapiketu Kapiketu
kamalA kamalā Kamalā
kamalAtmikA kamalātmikā Kamalātmikā
karRadeva karṇadeva Karṇadeva
karRanirvAka karṇanirvāka Karṇanirvāka
karmarAzwra karmarāṣṭra Karmarāṣṭra
karmasUtra karmasūtra Karmasūtra
kala kala Kala
kalAMSarUpiRI kalāṁśarūpiṇī Kalāṁśarūpiṇī
kalArUpiRI kalārūpiṇī Kalārūpiṇī
kalivizRuvarDana kaliviṣṇuvardhana Kaliviṣṇuvardhana
kalindajA kalindajā Kalindajā
kalpanATa kalpanātha Kalpanātha
kavacaSiva kavacaśiva Kavacaśiva
kavikaRWABaraRa kavikaṇṭhābharaṇa Kavikaṇṭhābharaṇa
kavikrama kavikrama Kavikrama
kavijanaSevaDi kavijanaśevadhi Kavijanaśevadhi
kavitAratnAkara kavitāratnākara Kavitāratnākara
kavitAvali kavitāvali Kavitāvali
kavIndrakarRABaraRa kavīndrakarṇābharaṇa Kavīndrakarṇābharaṇa
kavyahavyaBuj kavyahavyabhuj Kavyahavyabhuj
kazaka kaṣaka Kaṣaka
kastUri kastūri Kastūri
kAkatIya kākatīya Kākatīya
kAmArRava kāmārṇava Kāmārṇava
kAyAvatAra kāyāvatāra Kāyāvatāra
kArAdvIpa kārādvīpa Kārādvīpa
kArIrAdi kārīrādi Kārīrādi
kAruRika kāruṇika Kāruṇika
kAruRyalaharistava kāruṇyalaharistava Kāruṇyalaharistava
kArtavIryacampU kārtavīryacampū Kārtavīryacampū
kArttikapUrRimA kārttikapūrṇimā Kārttikapūrṇimā
kAlahasta kālahasta Kālahasta
kAliyAri kāliyāri Kāliyāri
kAlIGawwa kālīghaṭṭa Kālīghaṭṭa
kAlIcaturdaSI kālīcaturdaśī Kālīcaturdaśī
kAlIpUjA kālīpūjā Kālīpūjā
kAlIsUkta kālīsūkta Kālīsūkta
kAlIstava kālīstava Kālīstava
kAlIstotra kālīstotra Kālīstotra
kAlanATa kālanātha Kālanātha
kAlanirRayadIpikA kālanirṇayadīpikā Kālanirṇayadīpikā
kAlaprakASikA kālaprakāśikā Kālaprakāśikā
kAlaBeda kālabheda Kālabheda
kAlarUpin kālarūpin Kālarūpin
kAlavelAyoga kālavelāyoga Kālavelāyoga
kAlasaMvara kālasaṁvara Kālasaṁvara
kAlahorA kālahorā Kālahorā
kAlodayin kālodayin Kālodayin
kAlindImukunda kālindīmukunda Kālindīmukunda
kAvyaratna kāvyaratna Kāvyaratna
kAvyasaMgraha kāvyasaṁgraha Kāvyasaṁgraha
kAvyAlokalocana kāvyālokalocana Kāvyālokalocana
kASyapa kāśyapa Kāśyapa
kIrtitaraMgiRI kīrtitaraṁgiṇī Kīrtitaraṁgiṇī
kusTalapura kusthalapura Kusthalapura
kukkuwaDvaja kukkuṭadhvaja Kukkuṭadhvaja
kucaSataka kucaśataka Kucaśataka
kuwvudI kuṭvudī Kuṭvudī
kudrIcI kudrīcī Kudrīcī
kuberasenA kuberasenā Kuberasenā
kumArarAja kumārarāja Kumārarāja
kumAravat kumāravat Kumāravat
kulaBawa kulabhaṭa Kulabhaṭa
kulaSeKaradeva kulaśekharadeva Kulaśekharadeva
kulastamBa kulastambha Kulastambha
kulAditya kulāditya Kulāditya
kuSamAlin kuśamālin Kuśamālin
kuSalacampU kuśalacampū Kuśalacampū
kuSalamataprasaNga kuśalamataprasaṅga Kuśalamataprasaṅga
kusumapraBa kusumaprabha Kusumaprabha
kusumavfztyaBiprakIrRa kusumavṛṣtyabhiprakīrṇa Kusumavṛṣtyabhiprakīrṇa
kusumasamBava kusumasambhava Kusumasambhava
kusumABijYa kusumābhijña Kusumābhijña
kUwaGawitalakzaRa kūṭaghaṭitalakṣaṇa Kūṭaghaṭitalakṣaṇa
kUparAjya kūparājya Kūparājya
kUpaka kūpaka Kūpaka
kftaMjaya kṛtaṁjaya Kṛtaṁjaya
kftyApratiharaRa kṛtyāpratiharaṇa Kṛtyāpratiharaṇa
kfzRaDfti kṛṣṇadhṛti Kṛṣṇadhṛti
kfzRanandin kṛṣṇanandin Kṛṣṇanandin
kfzRapadAmfta kṛṣṇapadāmṛta Kṛṣṇapadāmṛta
kfzRaBUzaRa kṛṣṇabhūṣaṇa Kṛṣṇabhūṣaṇa
kfzRamAhAtmya kṛṣṇamāhātmya Kṛṣṇamāhātmya
kfzRarAja kṛṣṇarāja Kṛṣṇarāja
kfzRarAya kṛṣṇarāya Kṛṣṇarāya
kfzRastuti kṛṣṇastuti Kṛṣṇastuti
kfzRastotra kṛṣṇastotra Kṛṣṇastotra
kesarin kesarin Kesarin
kEdeva kaideva Kaideva
kokalla kokalla Kokalla
kokkala kokkala Kokkala
kokkili kokkili Kokkili
kowwaBaYja koṭṭabhañja Koṭṭabhañja
kowwUra koṭṭūra Koṭṭūra
koWI koṭhī Koṭhī
koneritIrTa koneritīrtha Koneritīrtha
kosalAnandinI kosalānandinī Kosalānandinī
kOnteyavftta kaunteyavṛtta Kaunteyavṛtta
kOleSI kauleśī Kauleśī
kOSikagfhyasUtra kauśikagṛhyasūtra Kauśikagṛhyasūtra
kOstuBadUzaRa kaustubhadūṣaṇa Kaustubhadūṣaṇa
kramaRezwakA kramaṇeṣṭakā Kramaṇeṣṭakā
kzAtrARa kṣātrāṇa Kṣātrāṇa
kzApavitra kṣāpavitra Kṣāpavitra
kzudrasUtra kṣudrasūtra Kṣudrasūtra
kzetrasiMha kṣetrasiṁha Kṣetrasiṁha
kzemasiMha kṣemasiṁha Kṣemasiṁha
KaqgaSataka khaḍgaśataka Khaḍgaśataka
Karagraha kharagraha Kharagraha
Karari kharari Kharari
KuramAlin khuramālin Khuramālin
gaganasiMha gaganasiṁha Gaganasiṁha
gaNga gaṅga Gaṅga
gaNgAvillAsa gaṅgāvillāsa Gaṅgāvillāsa
gajamAna gajamāna Gajamāna
gajaraTapura gajarathapura Gajarathapura
gaRapatinAga gaṇapatināga Gaṇapatināga
gadApARi gadāpāṇi Gadāpāṇi
ganDapraBAsa gandhaprabhāsa Gandhaprabhāsa
ganDahastin gandhahastin Gandhahastin
ganDottama gandhottama Gandhottama
gayAkASyapa gayākāśyapa Gayākāśyapa
gayAsadIna gayāsadīna Gayāsadīna
galUnasa galūnasa Galūnasa
gahya gahya Gahya
gANgeyadeva gāṅgeyadeva Gāṅgeyadeva
girijAdevI girijādevī Girijādevī
girirajaGoza girirajaghoṣa Girirajaghoṣa
girirajaGozeSvara girirajaghoṣeśvara Girirajaghoṣeśvara
gItiSataka gītiśataka Gītiśataka
guptigupta guptigupta Guptigupta
gurumuKI gurumukhī Gurumukhī
gopananda gopananda Gopananda
gopAdri gopādri Gopādri
gopAsala gopāsala Gopāsala
goSAlA gośālā Gośālā
goSru gośru Gośru
goRikA goṇikā Goṇikā
gOtamIya gautamīya Gautamīya
Gozita ghoṣita Ghoṣita
catuHzazwyupacAramAnasapUjAstotrastotra catuḥṣaṣṭyupacāramānasapūjāstotrastotra Catuḥṣaṣṭyupacāramānasapūjāstotrastotra
caturdaMzwra caturdaṁṣṭra Caturdaṁṣṭra
candanaganDa candanagandha Candanagandha
candanaBAnu candanabhānu Candanabhānu
candrArkamardana candrārkamardana Candrārkamardana
campakaSrezWikaTAnaka campakaśreṣṭhikathānaka Campakaśreṣṭhikathānaka
cARqikA cāṇḍikā Cāṇḍikā
