aMSaBU	a/MSaBU/	aMSaBU/
tvezya	tvezya/	tvezya^
dakza	da/kza	dakza/,da/kza
dakzakratu	da/kzakratu/	da/kzakratu
dakzavfD	da/kzavfD	dakzavf/D
dakzasADana	da/kzasA/Dana	dakzasA/Dana
dakziRA	da/kziRA	dakziRA/
dakziRAt	da/kziRAt	dakziRA/t
dakziRatas	da/kziRata/s	dakziRata/s
dakziRataskaparda	da/kziRata/skaparda	dakziRata/skaparda
dakziRatrA	da/kziRatrA/	dakziRatrA/
dakziRaDurIRa	da/kziRaDurIRa	dakziRaDurI/Ra
dakziRasad	da/kziRasa/d	dakziRasa/d
dakziRya	dakziRya/	dakziRya^
daDikrA	da/DikrA/	daDikrA/
daDikrAvan	da/DikrA/van	daDikrA/van
daDiGarma	da/DiGarma/	daDiGarma/
dantajAha	da/ntajAha	dantajAha/
dantamUla	da/ntamUla	dantamUla/
dama	da/ma	dama/
darBamaya	darBa/ma/ya	darBama/ya
darBamUlI	darBa/mUlI	darBamUlI/
darvihoma	da/rvihoma/	darvihoma/
darSataSrI	darSata/SrI/	darSataSrI/
daSoRi	da/S'oRi,da/SoRi	da/SoRi
daSama	daSama/	daSama/,da/Sama
dasyutarhaRa	da/syuta/rhaRa	dasyuta/rhaRa
dasyuhatya	da/syuha/tya	dasyu/hatya
dasyuhan	da/syuha/n	dasyuha/n
dAna	dAna/,dA/na	dA/na,dAna/
dAnakAma	dAna/kAma	dA/nakAma
dAvan	dAva/n	dAva/n,dA/van
dAtra	dA/tra	dAtra/,dA/tra
dAnu	dA/nu	dA/nu,dAnu/
dAnuda	dA/nuda/	dAnuda/
dAnupinva	dA/nupinva/	dAnupinva/
dAkzAyaRayajYa	dAkzAyaRa/yajYa/	dAkzAyaRayajYa/
dAkziRaSAla	dAkziRa/SAla	dA/kziRaSAla
dArupAtra	dA/rupAtra/	dArupAtra/
dAruRa	dAruRa/,dA/ruRa	dAruRa/
dAvapa	dAva/pa/	dAvapa/
dASa	dA/Sa	dASa/,dA/Sa
dAsya	dAsya/	dAsya^
didfkzeRya	didf/kze/Rya	didfkze/Rya
didfkzeya	didf/kze/ya	didfkze/ya
dina	dina/,di/na	di/na
divit	di/vi/t	divi/t
divAkara	di/vAkara/	divAkara/
divAkIrtya	di/vAkIrtya/	divAkIrtya^
divAtana	di/vAtana	divA/tana
divikzit	divi/kzit	divikzi/t
divijA	divi/jA/	divijA/
diviyaj	divi/ya/j	diviya/j
diviSrit	divi/Sri/t	diviSri/t
divizad	divi/za/d	diviza/d
divizwamBa	divi/zwamBa/	divizwamBa/
divispfS	divi/spfS	divispf/S
divya	di/vya	divya/
dIkzitavimita	dIkzita/vimita/	dIkzitavimita/
dIrGajihvya	dIrGa/jihvya	dIrGajihvya^
dIrGayATa	dIrGa/yATa/	dIrGayATa/
dIrGaSrut	dIrGa/Sru/t	dIrGaSru/t
dIrGasattra	dIrGa/sattra/	dIrGasattra/
duHKajAta	duHKa/jAta	duHKajAta/
duDrakft	duDra/kf/t	duDrakf/t
dunduBya	dunduBya/	dunduBya^
duroRayu	duroRa/yu/	duroRayu/
duroRasad	duroRa/sa/d	duroRasa/d
durita	du/rita/	durita/
duriti	duriti/	du/riti
durRAmahan	durRA/maha/n	durRAmaha/n
durhaRAyu	durha/RAyu/	durhaRAyu/
duvas	duva/s,du/vas	du/vas,duva/s
dUtya	dUtya/	dUtya^
dUratas	dUra/ta/s	dUrata/s
dfSIkA	df/SIkA/	dfSIkA/
dfSIku	df/SIku/	dfSIku/
devakarma	deva/karma/	devakarma/
devakoSa	deva/koSa/	devakoSa/
devagaRa	deva/gaRa/	devagaRa/
devagfha	deva/gfha/	devagfha/
devaMgama	deva/Mgama/	devaMgama/
devacakra	deva/cakra/	devacakra/
devacCandasa	deva/cCandasa/	devacCandasa/
devaja	deva/ja/	devaja/
devajana	deva/jana/	devajana/
devajA	deva/jA/	devajA/
devajAta	deva/jAta,deva/jAta/	deva/jAta,devajAta/
devajAmi	deva/jAmi	deva/jAmi,devajAmi/
devajUti	deva/jUti	de/vajUti
devatrA	deva/trA/	devatrA/
devatva	deva/tva/	devatva/
devadattaka	deva/dattaka	de/vadattaka
devadUta	deva/dUta/	devadUta/
devanakzatra	deva/nakzatra/	devanakzatra/
devanid	deva/ni/d	devani/d
devapada	deva/pada/	devapada/
devapAtra	deva/pAtra/	devapAtra/
devapAna	deva/pA/na	devapA/na
devapIyu	deva/pIyu/	devapIyu/
devapurA	deva/purA	devapurA/
devamaRi	deva/maRi/	devamaRi/
devamAdana	deva/mA/dana	devamA/dana
devamAna	deva/mAna/	devamAna/
devayaj	deva/ya/j	devaya/j
devayajana	deva/ya/jana	devaya/jana
devayaji	deva/yaji	devaya/ji
devayajYa	deva/yajYa/	devayajYa/
devayajya	deva/ya/jya	devayajya^
devayA	deva/yA/	devayA/
devayAjin	deva/yAjin	devayAji/n
devayAna	deva/yA/na	devayA/na
devayAvan	deva/yA/van	devayA/van
devayoni	deva/yoni	devayoni/
devaloka	deva/loka/	devaloka/
devavaDa	deva/vaDa/	devavaDa/
devavanda	deva/vanda/	devavanda/
devavAhana	deva/vAhana	devavA/hana
devavid	deva/vi/d	devavi/d
devaviS	deva/vi/S	devavi/S
devavI	deva/vI/	devavI/
devavrata	deva/vrata/	devavrata/
devavratin	deva/vratin	devavrati/n
devaSas	deva/Sas	devaSa/s
devaSrI	deva/SrI	devaSrI/
devaSrut	deva/Sru/t	devaSru/t
devaSrU	deva/SrU/	devaSrU/
devasad	deva/sa/d	devasa/d
devasadana	deva/sa/dana	devasa/dana
devasumati	deva/sumati/	devasumati/
devasU	deva/sU	devasU/
devasUda	deva/sUda	devasU/da
devastut	deva/stu/t	devastu/t
devahavis	deva/havi/s	devahavi/s
devahU	deva/hU	devahU/
devahUya	deva/hU/ya	devahU/ya
devaheqana	deva/he/qana	devahe/qana
devaheti	deva/heti/	devaheti/
devatya	devatya/	devatya^
devIMDiyaka	devI/MDiyaka	de/vIMDiyaka
devIrApasaka	devI/rApasaka	de/vIrApasaka
devya	devya/	devya^
dozaRya	dozaRya/	dozaRya^
dohas	do/has	doha/s,do/has
dohita	do/hita	dohita/
dohin	do/hin	dohi/n
dyukza	dyu/kza/	dyukza/
dyukzavacas	dyu/kza/vacas	dyukza/vacas
dyugat	dyu/ga/t	dyuga/t
dyAvApfTivIya	dyA/vApfTivI/ya	dyAvApfTivI/ya
dyumnavarDana	dyumna/va/rDana	dyumnava/rDana
dyutadyAman	dyu/tadyAman	dyuta/dyAman
dyutAna	dyu/tAna/	dyutAna/
dravat	dra/vat,drava/t	drava/t
dravaccakra	drava/cca/kra	drava/ccakra
dravi	dra/vi/	dravi/
drazwavya	drazwavya/	drazwa/vya
drApi	drApi/	drA/pi
druGaRa	dru/GaRa/	druGaRa/
druRasa	dru/Rasa	druRasa/
drupada	dru/pada/	drupada/
druzad	dru/za/d	druza/d
druzadvan	dru/zadvan	druza/dvan
drvanna	drva/nna	drva^nna
drogDavya	drogDavya/	drogDa/vya
droGavAc	dro/GavA/c	droGavA/c
droRakalaSa	dro/RakalaSa/	droRakalaSa/
droRacit	dro/Raci/t	droRaci/t
droRasAc	dro/RasA/c	droRasA/c
dvAdaSa	dvAdaSa/,dvA/daSa	dvAdaSa/
dvAdaSaDA	dvA/daSaDA/	dvAdaSaDA/
dvAdaSarca	dvA/daSarca/	dvAdaSarca/
dvArapAlika	dvA/rapAlika	dvArapAlika/
dvArapiDAna	dvA/rapiDA/na	dvArapiDA/na
dvidevatya	dvidevatya/	dvideva/tya
dvEtavana	dvE/tavana/,dvEtavana/	dvEtavana/,dvE/tavana
DanakAmya	Da/nakAmya/	DanakAmya/
Danajit	Da/naji/t	Danaji/t
DanaMjaya	Da/naMjaya/	DanaMjaya/
DanadA	Da/nadA,Da/nadA/	DanadA/
DanapAla	Da/napAla/	DanapAla/
DanaBakza	Da/naBakza/	DanaBakza/
Danasani	Da/nasa/ni	Danasa/ni
DanasA	Da/nasA/	DanasA/
Danaspft	Da/naspf/t	Danaspf/t
Danu	Da/nu	Danu/,Da/nu
DanuzkAra	DanuzkA/ra	DanuzkAra/
Danvanya	Danvanya/	Danvanya^
Darmakft	Da/rmakft	Darmakf/t
Darmamaya	Da/rmamaya	Darmama/ya
DarmasU	Da/rmasU/	DarmasU/
DAnA	DA/nA/,DAnA/	DAnA/
DAnAsoma	DAnA/soma/	DAnAsoma/
DAnya	DAnya/	DAnya^
DAnyatilvila	DAnya/tilvila	DAnya^tilvila
DArAvara	DA/rAvara/	DArAvara/
DIjavana	DI/ja/vana	DIja/vana
DIjU	DI/jU/	DIjU/
DIrya	DI/rya,DIrya/	DI/rya,DIrya^
DurA	Du/rA,DurA/	DurA/
DfzRvojas	DfzRvo/jas	DfzRvo^jas
Druvakzit	Druva/kzi/t	Druvakzi/t
Druvagopa	Druva/gopa/	Druvagopa/
Druvacyut	Druva/cyu/t	Druvacyu/t
Druvasad	Druva/sa/d	Druvasa/d
Druvi	Druvi/	Dru/vi
Dvanya	Dvanya/	Dvanya^
natarAm	na/tarA/m	natarA/m
nanu	na/nu,nanu/	nanu/
namura	na/mura/	namura/
nahi	na/hi/,nahi/	nahi/
naktaMjAta	na/ktaMjAta/	naktaMjAta/
nakzatrajA	na/kzatrajA/	nakzatrajA/
nakzatradarSa	na/kzatradarSa/	nakzatrada/rSa
nakzatraloka	na/kzatraloka/	nakzatraloka/
naKajAha	naKa/jAha	naKajAha/
naKaleKaka	naKa/leKaka	na/KaleKaka
nagara	na/gara	nagara/
nagnajit	nagna/ji/t	nagnaji/t
nadIpati	nadI/pati/	nadIpati/
nadIvft	nadI/vf/t	nadIvf/t
naBanya	naBanya/	naBanya^
naBasmaya	na/Basma/ya	naBasma/ya
naBasya	naBasya/	naBasya^
naBorUpa	na/BorUpa,na/BorUpa/	na/BorUpa
namaskAra	na/maskAra/	namaskAra/
namasvin	na/masvi/n	namasvi/n
namasya	namasya/	namasya^
naraskanDa	na/raskanDa	naraskanDa/
naladI	na/ladI/	naladI/
navagat	na/vaga/t	navaga/t
navajA	na/vajA/	navajA/
navajvAra	na/vajvAra/	navajvAra/
navadAva	na/vadAva/	navadAva/
navadAvya	na/vadAvya/	navadAvya^
navama	na/vama/,navama/	navama/
navasU	na/vasU/	navasU/
navadaSa	na/vadaSa/	navadaSa/
navaDA	na/vaDA/	navaDA/
navarca	na/varca/	navarca/
nazwavedana	nazwa/ve/dana	nazwave/dana
nahuzya	nahuzya/	nahuzya^
nAkapAla	nA/kapAla/	nAkapAla/
nAkasad	nA/kasa/d	nAkasa/d
nAga	nAga/	nA/ga
nATavid	nATa/vi/d	nATavi/d
nAnAraTam	nA/nAraTa/m	nAnAraTa/m
nAmaTA	nA/ma/TA	nAma/TA
nArizWa	nA/rizWa/	nArizWa/
nArya	nArya/	nA/rya
nAvya	nAvya/	nAvya^
nistarIka	ni/starIka	nistarIka/
nistriMSa	ni/striMSa	nistriMSa/
nikAma	nikAma/,ni/kAma	ni/kAma,nikAma/
nikoSya	nikoSya/	nikoSya^
nigrABya	nigrABya/	nigrABya^
nidAna	nidAna/,nidA/na	nidA/na
niDAnya	niDAnya/	niDAnya^
niDigopa	niDi/gopa/	niDigopa/
niDipA	niDi/pA/	niDipA/
nindya	nindya/	ni/ndya
nimezatas	nimeza/ta/s	nimezata/s
niyutvatIya	niyu/tvatI/ya	niyutvatI/ya
nirdAha	nirdAha/	nirdA/ha
nirbADya	nirbADya/	nirbADya^
nirmaTya	nirmaTya/	nirmaTya^
nividDAna	nivi/dDA/na	nividDA/na
niziktapA	ni/ziktapA/	niziktapA/
nizwarkya	nizwarkya/	nizwarkya^
nItamiSra	nIta/miSra/	nItamiSra/
nIlanaKa	nI/lanaKa/	nIlanaKa/
nIlalohita	nI/lalohita/	nIlalohita/
nIviBArya	nIviBArya/	nIviBArya^
nfcakzas	nf/ca/kzas	nfca/kzas
nfjit	nf/ji/t	nfji/t
nfpati	nf/pa/ti	nfpa/ti
nfpatnI	nf/pa/tnI	nfpa/tnI
nfpARa	nf/pA/Ra	nfpA/Ra
nfpAyya	nf/pA/yya	nfpA/yya
nfpeSas	nf/pe/Sas	nfpe/Sas
nfbAhu	nf/bAhu/	nfbAhu/
nfmaRas	nf/ma/Ras	nfma/Ras
nfmAdana	nf/mA/dana	nfmA/dana
nfmeDa	nf/meDa,nf/me/Da	nfme/Da
nfvat	nf/va/t	nfva/t
nfvatsaKi	nf/va/tsaKi	nfva/tsaKi
nfvAhaRa	nf/vA/haRa	nfvA/haRa
nfvAhas	nf/vA/has	nfvA/has
nfSaMsa	nf/SaMsa	nf/SaMsa,nfSa/Msa
nfSastra	nf/Sastra/	nfSastra/
nfzad	nf/za/d	nfza/d
nfzadana	nf/za/dana	nfza/dana
nfzadman	nf/za/dman	nfza/dman
nfzadvan	nf/za/dvan	nfza/dvan
nfzah	nf/za/h	nfza/h
nfzahya	nf/za/hya	nfza/hya
nfzA	nf/zA/	nfzA/
nfzAti	nf/zA/ti	nf/zAti
nfhan	nf/ha/n	nfha/n
nfmRavarDana	nfmRa/va/rDana	nfmRava/rDana
nfti	nfti/	nfti/,nf/ti
nErbADya	nErbADya/	nErbADya^
nyakta	nya/kta	nya^kta
nyaYc	nya/Yc	nya^Yc
nyarbuda	nya/rbuda	nya^rbuda
nyarbudi	nya/rbudi	nya^rbudi
nyahna	nyahna/	nya/hna
nyUna	nyU/na	nyU^na
pakzahata	pakza/hata/	pakzahata/
pakzya	pakzya/	pakzya^
paNkajinI	pa/NkajinI	paNkaji/nI
pacatya	pacatya/	pacatya^
patitva	pa/titva/	patitva/
patitvana	pa/titvana/	patitvana/
patidviz	pa/tidvi/z	patidvi/z
patirip	pa/tiri/p	patiri/p
patiloka	pa/tiloka/	patiloka/
patividya	pa/tivi/dya	pativi/dya
pativedana	pa/tive/dana	pative/dana
pativratA	pa/tivratA	pati/vratA
patnISAlA	pa/tnISAlA	patnISA/lA
patnIsaMyAja	pa/tnIsaMyAja/	patnIsaMyAja/
padanuzaNga	pa/danuzaNga/	padanuzaNga/
padGoza	pa/dGoza/	padGoza/
padanI	pada/nI/	padanI/
padayopana	pada/yo/pana	padayo/pana
padavAya	pada/vAya/	padavAya/
padavid	pada/vi/d	padavi/d
padavI	pada/vI/	padavI/
padavIya	pada/vI/ya	padavI/ya
padazWIva	pada/zWIva	padazWIva/
padAji	padA/ji	padAji/
payaspA	pa/yaspA/	payaspA/
payasvin	pa/yasvin	payasvi/n
paratas	pa/ratas	parata/s
paratva	pa/ratva/	paratva/
parArDya	parArDya/	parArDya^
paramajA	parama/jA/	paramajA/
paramajyA	parama/jyA/	paramajyA/
parastaram	para/stara/m	parastara/m
parastarAm	para/starA/m	parastarA/m
parastAt	pa/rastAt	para/stAt
paraspA	para/spA/	paraspA/
parovaram	paro'vara/m	parovara/m
paraSu	paraSu/	paraSu/,pa/raSu
parAtaram	pa/rAtara/m	parAtara/m
parAvat	pa/rAva/t	parAva/t
parivitta	pa/rivitta	pa/rivitta,parivitta/
parivargya	parivargya/	parivargya^
parivfkta	pa/rivfkta/	pa/rivfkta
parizadvala	pariza/dvala	parizadvala/
paruza	paruza/,paru/za	paruza/
parRaDi	parRa/Di/	parRaDi/
parRamaRi	parRa/maRi/	parRamaRi/
parRamaya	parRa/ma/ya	parRama/ya
parRavI	parRa/vI/	parRavI/
parRaSada	parRa/Sada/	parRaSada/
parRaSadya	parRa/Sadya/	parRaSadya^
parRya	parRya/	pa/rRya
parvatacyut	pa/rvatacyu/t	parvatacyu/t
parvatya	parvatya/	parvatya^
palASaSAtana	palASa/SAtana	palASaSA/tana
palvalya	palvalya/	palvalya^
paSavya	paSavya/	paSavya^
paSvekAdaSinI	paSve/kAdaSinI	paSve^kAdaSinI
paScArDya	paScArDya/	paScArDya^
paScAtkarRam	paScA/tkarRa/m	paScAtkarRa/m
paScAtsad	paScA/tsa/d	paScAtsa/d
pastya	pastya/	pastya^
pastyasad	pastya/sa/d	pastyasa/d
pAna	pA/na	pA/na,pAna/
pAMsavya	pAMsavya/	pAMsavya^
pAka	pA/ka	pA/ka,pAka/
pAkatrA	pA/katrA/	pAkatrA/
pAkadUrvA	pA/kadUrvA/	pAkadUrvA/
pAkayajYa	pA/kayajYa,pAkayajYa/	pAkayajYa/
pAkavat	pA/kava/t	pAkava/t
pAkaSaMsa	pA/kaSaMsa	pAkaSaMsa/
pAkasutvan	pA/kasu/tvan	pAkasu/tvan
pANktatva	pA/Nktatva/	pANktatva/
pAjasya	pAjasya/	pAjasya^
pARiGna	pARi/Gna/	pARiGna/
pARya	pARya/	pARya^
pARqukambalin	pARqu/kambalin	pARqukambali/n
pARquBUma	pARqu/BUma	pARquBUma/
pARqva	pARqva/	pARqva^
pAtalya	pAtalya/	pAtalya^
pAdya	pA/dya	pA/dya,pAdya^
pApakArin	pApa/kArin	pApakAri/n
pApakft	pApa/kf/t	pApakf/t
pApakftyA	pApa/kftyA/	pApakftyA/
pApakftvan	pApa/kf/tvan	pApakf/tvan
pApatva	pApa/tva/	pApatva/
pApayakzma	pApa/yakzma/	pApayakzma/
pApaloka	pApa/loka/	pApaloka/
pApavasyasa	pApa/vasyasa/	pApavasyasa/
pApavAda	pApa/vAda/	pApavAda/
pApasama	pApa/sa/ma	pApasa/ma
pArAvataGnI	pA/rAvataGnI/	pArAvataGnI/
pArSvatas	pArSva/ta/s	pArSvata/s
pAzya	pAzya/	pAzya^
pitukft	pitu/kf/t	pitukf/t
pituBAj	pitu/BA/j	pituBA/j
pituzaRi	pitu/za/Ri	pituza/Ri
pitfbanDu	pitf/banDu	pitfbanDu/
pitfBogIRa	pitf/BogIRa	pitfBogI/Ra
pitfyajYa	pitf/yajYa/	pitfyajYa/
pitfyARa	pitf/yA/Ra	pitfyA/Ra
pitfloka	pitf/loka/	pitfloka/
pitfvat	pitf/vat,pitf/va/t	pitfva/t
pitfvitta	pitf/vitta/	pitfvitta/
pitfSravaRa	pitf/Sra/vaRa	pitfSra/vaRa
pitfzad	pitf/za/d	pitfza/d
pitfzadana	pitf/za/dana	pitfza/dana
pitfhUya	pitf/hU/ya	pitfhU/ya
pizwamaya	pizwa/maya	pizwama/ya
pucCaDi	pu/cCaDi/	pucCaDi/
puRyakft	pu/Ryakf/t	puRyakf/t
puRyakftyA	pu/RyakftyA/	puRyakftyA/
puRyajana	pu/Ryajana/	puRyajana/
puRyarAtra	pu/RyarAtra	puRyarAtra/
puRyasama	pu/Ryasa/ma	puRyasa/ma
putrakAmyA	putra/kAmyA/	putrakAmyA/
putrakfTa	putra/kfTa/	putrakfTa/
putrapOtrIRa	putra/pOtrIRa	putrapOtrI/Ra
putramaya	putra/ma/ya	putrama/ya
putravala	putra/vala	putravala/
putravidya	putra/vidya	putravi/dya
punarasu	pu/narasu/	punarasu/
punarADeya	pu/narADe/ya	punarADe/ya
punarAlamBa	pu/narAlamBa/	punarAlamBa/
punarutsfzwa	pu/narutsfzwa/	punarutsfzwa/
punarutsyUta	pu/narutsyUta/	punarutsyUta/
punarnizkfta	pu/narnizkfta/	punarnizkfta/
punarBU	pu/narBU	puna/rBU/
punarmanya	pu/narmanya/	punarmanya/
punarmftyu	pu/narmftyu/	punarmftyu/
punaryajYa	pu/naryajYa/	punaryajYa/
punarhan	pu/narha/n	punarha/n
purARavat	purARa/va/t	purARava/t
purARavid	purARa/vi/d	purARavi/d
puronuvAkyA	puro'nuvAkyA/	puro'nuvAkyA^
purohan	puro/han	puroha/n
purIzavAhaRa	pu/rIzavA/haRa	purIzavA/haRa
purIzya	purIzya/	purIzya^
purukutsa	puru/ku/tsa	puruku/tsa
purukutsAnI	puru/ku/tsAnI	puruku/tsAnI
purukft	puru/kf/t	purukf/t
purukftvan	puru/kf/tvan	purukf/tvan
purukzu	puru/kzu/	purukzu/
purugUrta	puru/gUrta/	purugUrta/
purucetana	puru/ce/tana	puruce/tana
purujAta	puru/jAta/	purujAta/
puruRITa	puru/RITa/	puruRITa/
purutman	puru/tma/n	purutma/n
purutrA	puru/trA/	purutrA/
purudaMsas	puru/da/Msas	puruda/Msas
purudama	puru/da/ma	puruda/ma
purudasma	puru/dasma/	purudasma/
purudina	puru/di/na	purudi/na
purudrapsa	puru/drapsa/	purudrapsa/
purudruh	puru/dru/h	purudru/h
puruDa	puru/Da/	puruDa/
puruDapratIka	puru/Da/pratIka	puruDa/pratIka
puruniHziD	puru/niHzi/D	puruniHzi/D
puruniHziDvan	puru/niHziDvan	puruniHzi/Dvan
purunizWa	puru/nizWa	purunizWa/
purunfmRa	puru/nfmRa/	purunfmRa/
puruputra	puru/putra/	puruputra/
purupeSa	puru/pe/Sa	purupe/Sa
purupeSas	puru/pe/Sas	purupe/Sas
puruprajAta	puru/prajAta/	puruprajAta/
purupraSasta	puru/praSasta/	purupraSasta/
purupriya	puru/priya/	purupriya/
puruprEza	puru/prE/za	puruprEza/,puruprE/za
puruBU	puru/BU/	puruBU/
puruBojas	puru/Bo/jas	puruBo/jas
purumantu	puru/ma/ntu	puruma/ntu
purumandra	puru/mandra/	purumandra/
purumAya	puru/mAya/	purumAya/
purumAyya	puru/mA/yya	purumA/yya
purumitra	puru/mitra/	purumitra/
purumeDa	puru/me/Da	purume/Da
purumeDas	puru/me/Das	purume/Das
pururaTa	puru/ra/Ta	purura/Ta
pururAvan	puru/rA/van	pururA/van
pururuc	puru/ru/c	pururu/c
pururUpa	puru/rUpa	pururU/pa
puruvartman	puru/va/rtman	puruva/rtman
puruvarpas	puru/va/rpas	puruva/rpas
puruvAja	puru/vA/ja	puruvA/ja
puruvAra	puru/vA/ra	puruvA/ra
puruvArapuzwi	puru/vA/rapuzwi	puruvA/rapuzwi
puruvIra	puru/vI/ra	puruvI/ra
puruvepas	puru/ve/pas	puruve/pas
puruvrata	puru/vrata/	puruvrata/
puruSAka	puru/SA/ka	puruSA/ka
puruScandra	puru/Scandra/	puruScandra/
puruzanti	puru/za/nti	puruza/nti
puruzwuta	puru/zwuta/	puruzwuta/
puruspArha	puru/spArha/	puruspArha/
puruspfh	puru/spfh	puruspf/h
puruhUta	puru/hUta/	puruhUta/
puruzacCandasa	pu/ruzacCandasa/	puruzacCandasa/
puruzatA	pu/ruza/tA	puruza/tA
puruzatrA	pu/ruzatrA/	puruzatrA/
puruzamAtra	pu/ruzamAtra/	puruzamAtra/
puruzamfga	pu/ruzamfga/	puruzamfga/
puruzameDa	pu/ruzameDa/	puruzameDa/
puruzarAja	pu/ruzarAja/	puruzarAja/
puruzarUpa	pu/ruzarUpa	puruzarUpa/
puruzarezaRa	pu/ruzare/zaRa	puruzare/zaRa
puruzavaDa	pu/ruzavaDa/	puruzavaDa/
puruzavAc	pu/ruzavA/c	puruzavA/c
puruzavyAGra	pu/ruzavyAGra/	puruzavyAGra/
puruzaSIrza	pu/ruzaSIrza/	puruzaSIrza/
puruzya	puruzya/	puruzya^
puzkaraparRa	pu/zkaraparRa/	puzkaraparRa/
puzkarasAda	pu/zkarasAda/	puzkarasAda/
puzwapati	puzwa/pa/ti	puzwapa/ti
puzwi	pu/zwi	puzwi/
puzwipati	pu/zwipa/ti	puzwipa/ti
puzwivarDana	pu/zwiva/rDana	puzwiva/rDana
puzpakarRa	pu/zpaka/rRa	puzpaka/rRa
pUtabanDana	pUta/ba/nDana	pUtaba/nDana
pUtaBft	pUta/Bf/t	pUtaBf/t
pUtiganDa	pU/tiganDa/,pU/tiganDa	pUtiganDa/
pUtiganDi	pU/tiganDi	pUtiganDi/
pUtirajju	pU/tirajju/	pUtirajju/
pUrRadarva	pUrRa/darva/	pUrRadarva/
pUrRapAtra	pUrRa/pAtra/	pUrRapAtra/
pUrvakft	pU/rvakf/t	pUrvakf/t
pUrvagatvan	pU/rvaga/tvan	pUrvaga/tvan
pUrvacit	pU/rvaci/t	pUrvaci/t
pUrvacitti	pUrva/citti	pU/rvacitti
pUrvaja	pU/rvaja/	pUrvaja/
pUrvajana	pU/rvajana/	pUrvajana/
pUrvajAvan	pU/rvajA/van	pUrvajA/van
pUrvaTA	pU/rvaTA	pUrva/TA
pUrvapakza	pU/rvapakza/	pUrvapakza/
pUrvapakzIya	pU/rvapakzIya	pUrvapakzI/ya
pUrvapA	pU/rvapA/	pUrvapA/
pUrvapAYcAlaka	pU/rvapAYcAlaka	pUrva/pAYcAlaka
pUrvapARinIya	pU/rvapARinIya	pUrva/pARinIya
pUrvapAyya	pU/rvapA/yya	pUrvapA/yya
pUrvapIti	pU/rvapIti	pUrva/pIti
pUrvapeya	pU/rvape/ya	pUrvape/ya
pUrvaprajYA	pU/rvaprajYA/	pUrvaprajYA/
pUrvaBAj	pU/rvaBA/j	pUrvaBA/j
pUrvayAyAta	pU/rvayAyAta	pUrva/yAyAta
pUrvayAvan	pU/rvayA/van	pUrvayA/van
pUrvarAtra	pU/rvarAtra/	pUrvarAtra/
pUrvavat	pU/rvavat,pUrvava/t	pUrvava/t
pUrvavayasa	pU/rvavayasa/	pUrvavayasa/
pUrvavayasin	pU/rvavayasi/n	pUrvavayasi/n
pUrvavah	pU/rvava/h	pUrvava/h
pUrvasakTa	pU/rvasakTa/	pUrvasakTa/
pUrvasad	pU/rvasa/d	pUrvasa/d
pUrvasU	pU/rvasU/	pUrvasU/
pUrvahUti	pU/rvahUti	pUrva/hUti
pUrvahoma	pU/rvahoma/	pUrvahoma/
pftanAj	pf/tanAj	pftanA/j
pftanAjit	pf/tanAji/t	pftanAji/t
pftanAjya	pf/tanAjya	pftanA/jya
pftanAzah	pf/tanAzah	pftanAza/h
pftanAzAhya	pf/tanAzA/hya	pftanAzA/hya
pftanAhava	pf/tanAha/va	pftanAha/va
pfTavAna	pfTa/vAna	pf/TavAna
pfTivImaya	pfTivI/ma/ya	pfTivIma/ya
pfTugman	pfTu/gma/n	pfTugma/n
pfTujraya	pfTu/jra/ya	pfTujra/ya
pfTujrayas	pfTu/jra/yas	pfTujra/yas
pfTupakzas	pfTu/pa/kzas	pfTupa/kzas
pfTuparSu	pfTu/pa/rSu	pfTupa/rSu
pfTupAjas	pfTu/pA/jas	pfTupA/jas
pfTubuDna	pfTu/buDna	pfTu/buDna,pfTubuDna/
pfTuSravas	pfTu/Sra/vas	pfTuSra/vas
pfSanAyu	pf/SanAyu/	pfSanAyu/
pfSnitva	pf/Snitva/	pfSnitva/
pfSnisakTa	pf/SnisakTa/	pfSnisakTa/
pfSnihan	pf/Sniha/n	pfSniha/n
pfzwivah	pfzwi/va/h	pfzwiva/h
pfzWajAha	pfzWa/jAha	pfzWajAha/
pfzWatas	pfzWa/ta/s	pfzWata/s
pfzWayajvan	pfzWa/ya/jvan	pfzWaya/jvan
pfzWya	pfzWya/,pf/zWya/	pfzWya^,pfzWya/
peSI	pe/SI	peSI/
peSaskArI	pe/SaskArI/	peSaskArI/
potra	potra/	potra/,po/tra
praugya	praugya/	praugya^
praGAsya	praGAsya/	praGAsya^
prajApatiloka	prajA/patiloka/	prajApatiloka/
prajAvid	prajA/vi/d	prajAvi/d
prajAsani	prajA/sa/ni	prajAsa/ni
pratikAmya	pratikAmya/	pratikAmya^
pratijanya	prati/janya	pra/tijanya
pratipuruzam	pratipuruza/m	pratipu/ruzam
pratihitAyin	pra/tihitAyi/n	pratihitAyi/n
pratisarya	pratisarya/	pratisarya^
pratira	pratira/,prati/ra	pratira/
pratnavat	pratnava/t,pratna/vat	pratnava/t
pratIcInaPala	pratIcIna/Pala	pratIcI/naPala
pratIcya	pratI/cya	pratIcya^
pratyavarUQi	pratyava/rUQi	pratya/varUQi
praTamacCad	praTama/cCa/d	praTamacCa/d
praTamaja	praTama/ja/	praTamaja/
praTamaBAj	praTama/BA/j	praTamaBA/j
praTamayajYa	praTama/yajYa/	praTamayajYa/
