aMSaBU	a/MSaBU/	aMSaBU/
aBimAtizAha	aBi/mAtizAha/	aBimAtizAha/
aBimAtizAhya	aBi/mAtizA/hya	aBimAtizA/hya
aBimAtihan	aBi/mAtiha/n	aBimAtiha/n
aBivAnyA	aBivAnyA/	aBivAnyA^
aByUQi	aByU/Qi	aByU^Qi
aBiSasticAtana	aBi/SasticA/tana	aBiSasticA/tana
aBiSastipA	aBi/SastipA/	aBiSastipA/
aBiSastipAvan	aBi/SastipA/van	aBiSastipA/van
aBizwi	aBizwi/	aBizwi/,aBi/zwi
aBizwikft	aBizwi/kf/t	aBizwikf/t
aBizwipA	aBizwi/pA/	aBizwipA/
aBizwiSavas	aBizwi/Savas	aBi/zwiSavas
aBIruRa	aBI/ruRa	aBIru/Ra
aBIti	aBI/ti	aBI^ti
aBIka	aBI/ka	a/BIka,aBI/ka
aByaYjanya	aByaYjanya/	aByaYjanya^
aByarDayajvan	aByarDa/ya/jvan	aByarDaya/jvan
aByavadAnya	aByavadAnya/	aByavadA/nya
aBrajA	aBra/jA/	aBrajA/
aBrapruz	aBra/pru/z	aBrapru/z
aBrasani	aBra/sa/ni	aBrasa/ni
amati	a/mati,ama/ti	ama/ti,a/mati
amata	a/mata	a/mata,amata/
amAjur	amA/jur	amAju/r
amAvAsya	amA/vAsya/	amAvAsya^,amAvAsya/
amAvAsyaka	amA/vAsyaka	a/mAvAsyaka
amitraKAda	ami/traKAda/	amitraKAda/
amitradamBana	ami/trada/mBana	amitrada/mBana
amitrasenA	ami/trasenA/	amitrasenA/
amitrahan	ami/traha/n	amitraha/n
amutraBUya	amu/traBU/ya	amutraBU/ya
amuTA	amu/TA	amu^TA
amuKa	amuKa/	a/muKa,amuKa/
amftagarBa	amf/tagarBa/	amftagarBa/
amftaciti	amf/taciti	amftaciti/
amftatva	amf/tatva/	amftatva/
amftapakza	amf/tapakza/,amf/tapakza	amftapakza/,amf/tapakza
amftamaya	amf/tama/ya	amftama/ya
amftavAkA	amf/tavA/kA	amftavA/kA
ambara	a/mbara	a/mbara,amba/ra
ambarIza	ambarI/za	amba/rIza,ambarI/za
ayakzmatva	ayakzma/tva/	ayakzmatva/
ayastApa	a/yastApa/	ayastApa/
ayaspAtra	a/yaspAtra/	ayaspAtra/
ayasmaya	a/yasma/ya	ayasma/ya
ayA	a/yA/	ayA/
ayAtayAmatA	a/yAtayAmatA	ayAtayAma/tA
ayoni	a/yoni,ayoni/	a/yoni
araMgara	araMgara/,a/raMgara/	araMgara/
araMGuza	araMGuza/,a/raMGuza/	araMGuza/
araRyenuvAkya	araRye'nuvAkya/	araRye'nuvAkya^
aramamARa	a/ra/mamARa,a/ramamARa	a/ramamARa
araTa	a/raTa/	araTa/
araMkft	a/raMkf/t	araMkf/t
araMgama	a/raMgama/,araMgama/	araMgama/
ararinda	arari/nda	arari^nda
arAqya	arAqya/	arAqya^
arAtidUzaRa	a/rAtidU/zaRa	arAtidU/zaRa
arAtidUzi	a/rAtidU/zi	arAtidU/zi
arAtiha	a/rAtiha/	arAtiha/
arAyakzayaRa	a/rAyakza/yaRa	arAyakza/yaRa
arAyacAtana	a/rAyacA/tana	arAyacA/tana
arAvan	a/rAvan	a/rAvan,arA/van
ari	ari/	ari/,a/ri
arigUrta	ari/gUrta/	arigUrta/
arizwuta	ari/zwuta/	arizwuta/
aritraparaRa	ari/trapa/raRa	aritrapa/raRa
arizwatAti	a/rizwa/tAti	arizwa/tAti
arizwapura	a/rizwapura	arizwa/pura
aruRadUrvA	aruRa/dUrvA/	aruRadUrvA/
aruRapsu	aruRa/psu	aruRapsu/
aruRayuj	aruRa/yu/j	aruRayu/j
arkatva	arka/tva/	arkatva/
arkaSoka	arka/Soka/	arkaSoka/
arkya	arkya/	arkya^
arcatrya	arcatrya/	arca/trya
arDa	a/rDa,arDa/	arDa/,a/rDa
arDaKAra	arDa/KAra	arDaKAra/
arDagarBa	arDa/garBa/	arDagarBa/
arDadeva	arDa/deva/	arDadeva/
arDanAva	arDa/nAva	arDanAva/
arDaBAj	arDa/BAj,arDa/BA/j	arDaBA/j
arDamAsa	arDa/mAsa/	arDamAsa/
arDarca	arDa/rca/	arDarca/
arbuda	a/rbuda,arbuda/	arbuda/
arBa	a/rBa,arBa/	a/rBa
arya	arya/,a/rya	arya/,a/rya,arya^
aryapatnI	a/ryapatnI	arya/patnI
aryamya	aryamya/	aryamya^
arvAksAman	arvA/ksAman	a/rvAksAman
arvAgbila	arvA/gbila	a/rvAgbila
alaMkAra	alaMkAra/	alaMkA/ra,alaMkAra/
alAbupAtra	alA/bupAtra/	alAbupAtra/
alIka	a/lIka	alIka/,a/lIka
alomaka	aloma/ka	alo/maka,aloma/ka
alpameDas	a/lpameDas	alpameDa/s
alpaSas	a/lpaSa/s	alpaSa/s
avataram	a/vatara/m,avatara/m	avatara/m
avawya	avawya/	avawya^
avadyaBI	avadya/BI/	avadyaBI/
avaratas	a/varatas	avarata/s
avaraparam	a/varapara/m	avarapara/m
avarastAt	a/varastAt	avara/stAt
avasAna	a/vasAna,avasA/na	avasA/na,a/vasAna
avasAnadarSa	avasA/nadarSa/	avasAnadarSa/
avasAnya	avasAnya/	avasAnya^
avasvanya	avasvanya/	avasvanya^
avAntaradiS	avAntara/di/S	avAntaradi/S
avAntaradeSa	avAntara/deSa/	avAntaradeSa/
avArapArIRa	avAra/pArIRa	avArapArI/Ra
avArya	avArya/	avArya^,avArya/
avikawa	a/vikawa	avikawa/
avidUsa	a/vidUsa	avidU/sa
avipawa	a/vipawa	avipawa/
avipAla	a/vipAla/	avipAla/
avimarIsa	a/vimarIsa	avimarIsa/
avisoQa	a/visoQa	aviso/Qa
avIra	avI/ra,avI/ra/	avI/ra,avIra/
avIrahan	avI/rahan	a/vIrahan
aSanakft	a/Sanakf/t	aSanakf/t
aSitavya	aSitavya^	aSita/vya
aSastihan	a/Sastiha/n	aSastiha/n
aSezas	aSe/zas	a/Sezas
aSman	a/Sman	a/Sman,aSma/n
aSmanmaya	a/Smanma/ya	aSmanma/ya
aSrama	aSrama/,a/Srama	aSrama/
aSri	a/Sri	a/Sri,aSri/
aSrumuKa	a/SrumuKa/	aSrumuKa/
aSvajit	a/Svajit	aSvaji/t
aSvatara	a/Svatara/,aSvatara/	aSvatara/
aSvatTa	a/SvatTa	aSvatTa/
aSvadA	a/SvadA/	aSvadA/
aSvapa	a/Svapa/	aSvapa/
aSvameDa	a/SvameDa/,a/SvameDa	aSvameDa/,a/SvameDa
aSvayuj	a/Svayuj	aSvayu/j
aSvayUpa	a/SvayUpa/	aSvayUpa/
aSvaraTa	a/SvaraTa/	aSvaraTa/
aSvavid	a/Svavid	aSvavi/d
aSvavfza	a/Svavfza/	aSvavfza/
aSvaSaka	a/SvaSaka/	aSvaSaka/
aSvasani	a/Svasa/ni	aSvasa/ni
aSvasA	a/SvasA/	aSvasA/
aSvasAda	a/SvasAda/	aSvasAda/
aSvastomIya	a/SvastomI/ya	aSvastomI/ya
aSvahaya	a/Svahaya/	aSvahaya/
aSvABiDAnI	aSvABiDA/nI	aSvABiDAnI/
aSvaka	aSvaka/	aSvaka/,a/Svaka
azAQa	a/zAQa	a/zAQa,azA^Qa
azwrAvin	a/zwrAvin	azwrAvi/n
asapatna	a/sapatna,asapatna/,a/sapatna/	asapatna/,a/sapatna
asita	a/sita	a/sita,asita/
asitajYu	a/sitajYu/	asitajYu/
asutfp	a/sutf/p,asutf/p	asutf/p
asurakzayaRa	a/surakza/yaRa	asurakza/yaRa
asuratva	a/suratva/	asuratva/
asuramAyA	a/suramAyA/	asuramAyA/
asurarakzasa	a/surarakzasa/	asurarakzasa/
asurahan	a/suraha/n	asuraha/n
astA	astA/,a/stA	a/stA
astamaya	a/stamaya/	astamaya/
astamayana	a/stama/yana	astama/yana
astamIke	a/stamIke/	astamIke/
astfta	a/stfta,astfta/	a/stfta
asTija	a/sTija/	asTija/
asTisraMsa	a/sTisraMsa/	asTisraMsa/
asnAvaka	asnAva/ka	asnAvaka/
aha	a/ha	a/ha,aha/
ahanya	ahanya/	ahanya^
ahamuttara	aha/muttara/	ahamuttara/
ahamuttaratva	aha/muttara/tva	ahamuttaratva/
ahardfS	a/hardf/S	ahardf/S
aharpati	aharpati/,a/harpa/ti	aharpa/ti
aharBAj	a/harBA/j	aharBA/j
aharvid	a/harvi/d	aharvi/d
ahinirvlayanI	a/hinirvlayanI/	ahinirvlayanI/
ahihatya	a/hiha/tya	ahiha/tya
ahihan	a/hiha/n	ahiha/n
ahIna	a/hIna	ahI/na,a/hIna
AkAyya	AkAyya/	AkAyya^
AkASamaya	AkASa/ma/ya	AkASama/ya
AkUtipra	A/kUtipra/	AkUtipra/
Akenipa	Ake/nipa/	Akenipa/
AKa	A/Ka	AKa/,A/Ka
AKukarIza	AKu/karIza/	AKukarIza/
