tan:435,1:τάνομαιτείνω
tanu:435,2:τανυ-
taruRa:439,3:τέρην
tarku:440,1:ἄτρακτος
tAta:441,3:τέττα
tAna:442,2:τόνος
tAvuri:446,1:ταῦρος
tij:446,1:στίζω
tittiri:446,3:τέτραξ
tup:450,2:τύπ-τ-ωτύμπανον
tuP:450,2:τύπ-τ-ωτύμπανον
tud:450,2:Τυδ-εύ-ς
tul:451,2:τλῆ-ναι
tfp:453,3:τέρπω
tfz:454,1:τέρσομαι
tOkzika:456,2:Τοξότης
tmanA:456,3:μένμήν
tyaj:456,3:σέβεται
trayas:457,2:τρισ-καί-δεκατρεῖσ-καί-δεκαx
tri:457,3:τρεῖς
trasadasyu:457,3:Φερεκύδης
tras:457,3:τρέω
trikoRa:458,1:τρί-γωνον
tripur:459,2:Τρίπολις
trita:461,3:τρίτοςΤρίτωντριτο-γενής
tva:463,2:τοι
tvakz:463,2:τυκτυχ
daMS:464,3:δάκνω
dakza:465,1:δεξιός
daMsu:465,1:δασύςβαρύς
daRqa:466,2:δένδρο-ν
daG:466,2:δέχομαι
dat:467,2:ὀδόντ
dam:469,2:δῶ
dama:469,2:δόμος
dampatia:469,2:δεσ-πότης
dam:469,2:δάμνημιδμώς
daSan:472,3:δέκα
das:473,1:δεῖ
dA:473,2:δίδωμι
dAtf:474,1:δωτήρδοτήρ
dA:474,3:δέωδίδημι
dAman:475,1:δῆμαδιά-δημαδεμνονκρή-δεμνον
dAru:476,1:δόρυδρῦς
dAS:476,3:δωκἔ-δωκ-αδέ-δωκ-α
divasa:478,3:διϝεςεὐδιέστεροςεὐδιεινόςεὐδιεσνός
dyu:478,3:ΖεύςΔιϝός
diva:478,3:διϝοἐν-διος
divya:479,2:δῖοςδιϝιος
diS:479,3:δείκνυμι
diS:480,2:δίκη
dI:480,2:δίεμαιδίνηδινεύωδῖνος
dI:480,2:δέατοδέελοςδῆλος
dih:480,2:θιγγάνωἔ-θιγ-οντεῖχοςτοῖχος
dInAra:481,1:δηνάριον
dIrGa:481,3:δυλιχός
du:482,3:δύωδύνωδεύομαι
dUa:482,3:δύωδύνωδεύομαι
du:482,3:δαίωδαϝιωδύη
dUa:482,3:δαίωδαϝιωδύη
durmanas:486,2:δυσ-μενής
dus:488,2:δυσ
duruDarA:488,2:δορυφορία
duhitf:489,2:θυγάτηρ
duh:489,2:ἀμέλγεσθαι
dfkARa:490,3:δέκανος
dfti:491,1:δέρμα
dfS:491,1:δέρκομαιδέδορκαἔδρακον
dfS:491,3:δραδρακὑπόδρα
dF:492,2:δέρωδαίρω
devf:496,2:δαήρ
dyuta:500,2:δυτόν
dramma:500,3:δραχμή
dram:500,3:ἔ-δραμ-ονδέ-δρομ-αδρόμος
drA:501,2:δι-δρά-σκωδρᾶναι
drE:502,3:ἔδραθον
drAa:502,3:δι-δρά-σκω
dva:503,2:δύοδύωδιΔιϝός
dvayam:503,2:δοίος
dvAdaSanb:503,3:δώ-δεκα
dvAr:504,2:θύρα
dvis:506,3:δίς
dviz:506,3:ὀ-δύσ-ατο
Dav:513,1:θεϝθέωθεύσομαιθοός
DA:513,2:θε-θη-τίθημι
DAkA:513,3:θήκη
DAtf:514,1:θετήρ
DAman:514,3:θημονεὐ-θήμωνθαμάθωμός
DU:517,3:θύωθύνωθυμός
Df:519,1:θρόνοςθρᾶ-νοςθρή-σασθαι
Dfz:519,3:θάρσοςθαρσίω
De:520,1:θή-σασθαιγαλα-θηνόςθη-λή
na:523,1:νη-
naktA:524,1:νύξ
naKa:524,3:ὄνυξὀ-νυχ
naptrI:527,2:νέποδεςἀνεψιός
naBas:527,3:νέφοςνεφέλη
nam:528,1:νέμωνέμοςνόμος
nava:530,3:νέοςνέϝος
navan:531,3:ἐννέα ἐ-νϝεα ἐ-νεϝα
naS:532,1:νεκ-ρός
nas:532,2:νῶϊνώ
nas:532,2:νέσμαινα-σίωνόσ-τος
nAman:536,2:ὄ-νομα
ni:538,3:ἐ-νί
nij:546,3:νίζωνιγ-ζω
nitambavat:547,2:καλλίπυγος
nind:549,2:ὄ-νειδος
nIca:565,2:ταπείνωμα
nu:567,1:νύνῦν
nIleSvara:567,1:Νελκύνδα
nf:567,3:ἀ-νηρ-νερ
nO:571,2:ναῦςναύ-της
pac:575,1:πέσσωπεκ-ω
pajra:575,2:πηγός
paYja:575,2:πήγνυμι
paja:575,2:πήγνυμι
paYcan:578,2:πέντεπέμπε
paYcaTa:578,2:πέμπτος
paYcASat:578,3:πεντήκοντα
paRaPara:580,2:ἐπαναφορά
pat:580,3:πέτομαιπί-πτω
pattra:581,2:πτερόνπετερόν
pati:582,1:πόσις
patnI:582,2:πότνια
paTin:582,3:πάτος
pad:583,1:πούςποδ-ός
pada:583,2:πέδον
parea:586,2:πέραπέραν
paraSu:589,2:πέλεκυςπέλεκκον
pari:591,2:περί
parivida:600,3:περόοιδε
parut:606,1:πέρυτιπέρυσι
pard:606,3:πέρδω
parSu:609,2:φάλκης
palita:610,2:πελιτνόςπολιός
palvala:610,3:πηλός
pasas:612,3:πέοςπέσος
pA:612,3:πέ-πω-καπώ-νωπίνω
pA:613,2:πά-ομαιπέ-πα-μαιπῶ-ν
pARi:615,2:παλάμη
pATona:617,1:παρθένος
pArTona:621,3:παρθένος
pArTa:621,3:παρθένος
pitf:626,2:πατήρ
pitfvya:627,1:πάτρως
piS:628,1:ποικίλος
piz:628,3:πτίσσω
pIvan:630,2:πίωνπίϝωνπίειρα
pIvas:630,2:πῖαρ
putra:632,3:παῖς
punarbAla:633,3:παλίμπαις
puras:634,2:πάρος
pur:635,2:πόλις
pura:635,3:κατ᾽ ἐξοχήν
puru:636,2:πολύ
puzkarAvatI:639,1:Πευκελαῶτις
puzya:640,2:ἄνθος
pU:640,3:πῦρ
pUy:641,2:πύονπύθω
pf:645,1:περάωπόροςπορεύεσθαι
pfTvIa:646,2:πλατύς
pfSni:647,1:περκνός
pF:648,1:πίμπλημι
potala:650,1:Πατάλα
pra:652,2:πρό
prajApati:658,3:δ
prati:661,3:προτίποτίπρός
pramanTu:685,2:Προμηθεύς
pravaRa:690,2:πρηνής
prA:701,3:πλή-ρης
prAtar:706,2:πρωΐ
plIhan:715,1:σπλήνσπλάγχνον
plu:715,1:πλέωπλεϝωπλύνω
plava:715,2:πλόοςπλοϝοςπλοῖον
banD:720,1:πενθερόςπεῖσμα
baBru:721,3:φρύνηφρῦνος
bAhu:730,2:πᾶχυςπῆχυς
bAhvaNka:730,3:ἀγκων
buD:733,1:πυθφυθπυνθάνομαιπυθέσθαι
buDna:735,1:πυθμήν
brahman:738,1:δ
BakaBakAya:742,2:βρεκεκεκέξ
Baj:743,1:φαγεῖνφαγόςφηγός
Baga:743,3:Βαγαῖος
BarukacCa:748,2:Βαρύγαζα
Bargas:748,2:φλέγος
BA:750,3:φημίφάσκω
Buj:759,1:φεύγω
Bur:760,1:φύρωπορφύρω
BU:760,1:φύωἔφυν
Bf:764,3:φέρω
Bfgu:765,1:οἱ Φλεγύαι
Bram:769,2:βρέμω
Brajj:769,2:φρύγω
BrAj:770,1:φλέγω
BrAj:770,2:φλόξ
BrAtf:770,2:φράτηρ
BrU:770,3:ὀ-φρύς
ma:771,1:ἐ-μέ μέ
maKasya:772,1:μαχέομαι
maRi:774,3:μάννοςμόννος
maT:777,1:μίνθη
manTa:777,1:μίνθη
mada:777,3:μαδάω
maDu:779,3:μέθυμέθη
maDya:781,3:μέσσοςμέσοςμέθιος
manb:783,1:μένωμέμονα
manas:784,1:μένος
mantf:785,3:Μέντωρ
marakata:789,3:σμάραγδος
marIci:790,1:η
marut:790,2:μαρμαίρω
marta:791,1:μορτόςβροτός
marmara:791,3:μορμύρω
mala:792,1:μέλας
mah:794,1:μέγ-ας
mahAgrAma:795,3:Μαάγραμμον
mA:804,1:μή
mA:804,2:μέτρονμετρέω
mAtf:807,1:μάτηρμήτηρ
mAs:814,3:μήνμήνη
miSr:817,3:μίσγωμίγνυμι
mih:818,2:ὀμιχεῖν
mI:818,2:μινύω
muc:820,3:μύσσωμῦκοςμυκτής
muruRqa:823,3:Μαροῦνδαι
muzka:824,2:μύσχον
mUz:827,1:μῦς
mf:827,2:βροτόςμροτός
mfgaSiras:828,3:λ
mfj:829,2:ὀ-μόργνυμιἀ-μέργωἀ-μέλγω
mfd:830,1:ἀ-μαλδ-ύνω
mfdu:830,2:βραδύς
mezUraRa:834,1:μεσουράνημα
ya:838,1:ὅςἥὅ
yakft:838,2:ἧηπαρ
yaj:838,3:ἁγνόςἄγοςἅζομαι
yatas:841,2:ὅτι
yam:845,2:ζημία
yava:847,2:ζειά
yas:849,1:ζέω
ayAsya:85,3:ἀιζήιος
yAtf:851,1:εἰνάτηρ
yAt:851,1:ὡς
yuj:853,2:ζεύγνυμιζυγόν
yuD:854,3:ὑσ-μίνη
yuzma:855,3:ὕμμεςὑσμες
rakz:859,3:ἀ-λέξωἀρκέω
raYj:861,2:ρ῾έζωρ῾εγεύς
rajb:861,2:ρ῾έζωρ῾εγεύς
rajas:863,2:ἔ-ρεβος
ram:867,2:ἠρέμαἔραμαιἐρατός
rah:871,1:λαθλανθάνω
rADA:876,3:αινγ
riHPa:880,1:ρ῾ιφή
ric:880,2:λείπωλοιπός
ruc:881,3:λευκόςἀμφιλύκη
ru:881,3:ὠρύομαι
ruj:882,3:λυγρός
ruDira:884,3:ἐρυθρόςἔρευθος
ruz:885,1:λύσσα
romanTa:890,1:ἐρεύγεινἐρυγή
rohiRI:890,2:αβγδε
rohiRISakawa:890,3:αβγδε
laGu:894,1:ἐ-λαχύς
laGizWa:894,3:ἐ-λάχιστος
lap:896,1:ὀ-λοφ-ύρομαι
laB:896,2:λάφ-υρονλαμβ-άνω
lamb:897,1:λοβός
lAwa:900,2:Λαρικη
liK:901,1:ἐρείκω
lip:902,2:ἀ-λείφωλιπαρός
liptAb:902,3:λεπτή
lih:903,1:λείχω
lopASa:904,3:ἀλώπηξ
lU:905,2:λύω
leya:906,1:λέων
vakz:911,3:ἀέξωαὐξάνω
vac:912,1:ἐπϝεπἔποςὄψὄσσα
vatsa:915,3:ἔτοςϝέτος
vaD:916,3:ὠθέω
vam:920,2:ἐμέωϝεμέω
varas:921,1:εὖρος
varuRaa:921,2:Οὐρανός
varutra:921,3:ἔλυτρονϝελυτρον
varUtrI:921,3:ρ῾ύτωρϝερυτωρ
varUtri:921,3:π῾ύτωρϝερυτωρ
vartaka:925,2:ὄρτυξὀρτυγία
varzA:927,2:ἐέρσαι
vaS:929,1:ἑκώνφεκων
vas:930,1:ἔαρφεσαρ
vasizWa:930,2:ζ
vasna:931,3:ὦνοςφοσ-νοςὠνήὠνέομαι
vas:932,1:κεντέω
vas:932,1:ἕννυμιϝεσ-νυμι
vah:933,2:ὄχοςϝοχοςὀχέομαι
vA:934,2:ἄημιϝαημι
vAnaprasTa:940,3:ὑλόβιοι
vAr:943,1:οὖρονοὐρέω
vAra:943,3:οὐρά
vi:949,3:οἰωνόςὀϝιωνος
