anuzak : old:1 ['7449.1']  new:0 []
anuzaw : old:2 ['7450', '7450.1']  new:1 ['7449.1']
anusaMvfjina : old:1 ['7532.2']  new:1 ['7532.2']
anusAraka : old:1 ['7620']  new:0 []
anusArin : old:2 ['7621', '7622']  new:1 ['7619.1']
anuharaRa : old:2 ['7662', '7662.1']  new:1 ['7662']
anuhAra : old:2 ['7663', '7664']  new:1 ['7661.1']
anUna : old:2 ['7734', '7735']  new:0 []
anUnA : old:1 ['7736']  new:0 []
anUnaka : old:3 ['7738.2', '7738.3', '7738.4']  new:1 ['7733.1']
anfkka : old:1 ['7782']  new:1 ['7782']
anEpuRa : old:1 ['7883.1']  new:0 []
anEpuRya : old:2 ['7883.2', '7883.3']  new:1 ['7883.1']
anojaska : old:1 ['7888.2']  new:1 ['7888.2']
antAvasAyin : old:2 ['7956', '7957']  new:0 []
antAvaSAyin : old:3 ['7958', '7959', '7960']  new:1 ['7955.1']
antaHpAta : old:1 ['8000.1']  new:0 []
antaHpAtya : old:2 ['8001', '8001.1']  new:1 ['8000.1']
antaHpAtin : old:1 ['8003']  new:1 ['8003']
antaHpuravartin : old:1 ['8015']  new:1 ['8014.1']
antaHpurADyakza : old:1 ['8016']  new:1 ['8014.2']
antama : old:1 ['8047']  new:1 ['8047']
antarAla : old:1 ['8069']  new:1 ['8069']
antarAle : old:1 ['8069.1']  new:0 []
antarAlaka : old:1 ['8070']  new:1 ['8069.1']
antarAlake : old:1 ['8070.1']  new:0 []
antargfham : old:1 ['8083']  new:0 []
antargeha : old:1 ['8084']  new:1 ['8082.1']
antargeham : old:1 ['8085']  new:0 []
antarGaRa : old:1 ['8088']  new:0 []
antarGana : old:2 ['8089', '8090']  new:1 ['8087.1']
antarGAta : old:2 ['8091', '8092']  new:1 ['8087.2']
antarvartinI : old:1 ['8151.1']  new:1 ['8152']
antarvasat : old:1 ['8152']  new:1 ['8151.1']
antarikzaga : old:1 ['8259']  new:0 []
antarikzacara : old:2 ['8260', '8261']  new:1 ['8258.1']
antargAmin : old:4 ['8276', '8276.1', '8276.2', '8276.3']  new:1 ['8277']
antargata : old:4 ['8277', '8278', '8279', '8280']  new:1 ['8276']
andu : old:1 ['8401']  new:0 []
andU : old:2 ['8402', '8403']  new:1 ['8400.1']
annajA : old:1 ['8492.1']  new:1 ['8494.1']
annajAta : old:1 ['8493']  new:1 ['8492.1']
annada : old:1 ['8499']  new:0 []
annadAtf : old:2 ['8500', '8501']  new:1 ['8498.1']
anyakriya : old:1 ['8570.1']  new:1 ['8568.2']
anyajanatA : old:1 ['8577.1']  new:1 ['8578']
anyajAta : old:1 ['8578']  new:1 ['8577.1']
anyamanas : old:1 ['8600']  new:0 []
anyamanaska : old:2 ['8601', '8602']  new:1 ['8599.1']
anyamAtfka : old:1 ['8602.1']  new:1 ['8602']
anyadASA : old:1 ['8652']  new:1 ['8652']
anyadASis : old:1 ['8653']  new:1 ['8653']
anyaTAsidDatva : old:1 ['8672']  new:0 []
anyaTAsidDi : old:2 ['8673', '8674']  new:1 ['8671.1']
anyAyavartin : old:1 ['8714']  new:0 []
anyAyavftta : old:2 ['8715', '8716']  new:1 ['8713.1']
anyAyin : old:1 ['8717.1']  new:1 ['8718']
anyAyya : old:1 ['8718']  new:1 ['8717.1']
anyUnAtirikta : old:1 ['8722']  new:0 []
anyUnADika : old:2 ['8723', '8724']  new:1 ['8721.1']
anyUnAtiriktANga : old:1 ['8722.1']  new:1 ['8722']
anyUnArTavAdin : old:1 ['8724.1']  new:1 ['8723']
anvezwf : old:1 ['8913']  new:1 ['8913']
anvIkzaRa : old:1 ['8917.1']  new:0 []
anvIkzA : old:2 ['8918', '8919']  new:1 ['8917.1']
apAMnapAt : old:1 ['8934']  new:1 ['8934']
aponaptf : old:1 ['8937']  new:1 ['8937']
apAmpati : old:1 ['8945.1']  new:0 []
appati : old:2 ['8946', '8946.1']  new:1 ['8945.1']
apAmpitta : old:1 ['8948']  new:0 []
appitta : old:2 ['8949', '8950']  new:1 ['8947.1']
apakAraka : old:1 ['8991']  new:0 []
apakArin : old:2 ['8992', '8993']  new:1 ['8990.1']
apaBraMSa : old:3 ['9359.1', '9359.2', '9359.3']  new:0 []
apaBraMsa : old:4 ['9359.4', '9359.5', '9359.6', '9359.7']  new:1 ['9359.1']
aparhARa : old:1 ['9599.1']  new:1 ['9599.1']
apratIkAra : old:1 ['10549']  new:1 ['10549']
abudDipUrva : old:1 ['11000']  new:0 []
abudDipUrvam : old:1 ['11001']  new:0 []
abudDipUrvaka : old:2 ['11002', '11003']  new:1 ['10999.1']
abudDipUrvakam : old:1 ['11004']  new:0 []
abuD : old:1 ['11007.1']  new:0 []
abuDa : old:2 ['11008', '11008.1']  new:1 ['11007.1']
aBitaram : old:1 ['11188']  new:1 ['11188']
aBijYetara : old:1 ['11414.1']  new:1 ['11414.5']
aBijYatva : old:1 ['11415']  new:1 ['11414.1']
aBijYa : old:1 ['11415.01']  new:1 ['11415']
aBinnatA : old:1 ['11723']  new:0 []
aBinnatva : old:2 ['11724', '11725']  new:1 ['11722.1']
aBiBu : old:2 ['11975', '11976']  new:0 []
aBiBU : old:4 ['11977', '11978', '11979', '11979.1']  new:1 ['11974.1']
aBimarSa : old:1 ['12103.01']  new:1 ['12103.5']
aBimarza : old:1 ['12103.2']  new:1 ['12103.1']
aBimarSana : old:2 ['12105', '12105.1']  new:1 ['12105']
aBimarzaRa : old:2 ['12105.2', '12105.3']  new:1 ['12105.1']
aBivAnyA : old:1 ['12298']  new:1 ['12298']
apivAnyavatsA : old:1 ['12300']  new:1 ['12300']
aBiSyAta : old:2 ['12523.1', '12538']  new:2 ['12523.1', '12538']
aBizyanda : old:2 ['12660', '12661']  new:0 []
aBisyanda : old:3 ['12662', '12663', '12664']  new:1 ['12659.1']
aBizyandin : old:2 ['12667', '12668']  new:0 []
aBisyandin : old:3 ['12669', '12670', '12671']  new:1 ['12666.1']
aBizyandiramaRa : old:1 ['12668.1']  new:1 ['12668']
aBisyandiramaRa : old:1 ['12673']  new:1 ['12668.1']
aBihitatA : old:2 ['12956', '12957']  new:0 []
aBihitatva : old:3 ['12958', '12959', '12960']  new:1 ['12955.1']
aByAnta : old:1 ['13232']  new:1 ['13232']
aByamitrIRa : old:1 ['13233']  new:1 ['13233']
aByamitrIRatA : old:1 ['13233.1']  new:1 ['13234']
aByamitrIya : old:1 ['13234']  new:1 ['13233.1']
aByamitrya : old:1 ['13235']  new:1 ['13233.2']
aByavaskanda : old:1 ['13306.1']  new:1 ['13307']
aByavaskandana : old:1 ['13307']  new:1 ['13306.1']
aByASa : old:4 ['13324', '13324.1', '13324.2', '13324.3']  new:1 ['13324']
aByASam : old:1 ['13324.4']  new:0 []
aByASe : old:1 ['13324.5']  new:0 []
aByASAt : old:1 ['13324.6']  new:0 []
aByAsa : old:1 ['13324.7']  new:1 ['13324.1']
aByUza : old:1 ['13658']  new:1 ['13658']
amamatA : old:1 ['13857']  new:0 []
amamatva : old:2 ['13858', '13859']  new:1 ['13856.1']
amamri : old:1 ['13860.1']  new:1 ['13860.1']
amUdfkza : old:1 ['14149']  new:1 ['14149']
ambikAsuta : old:1 ['14475']  new:1 ['14474.1']
ambikAmAhAtmya : old:1 ['14474.1']  new:1 ['14475']
ambikAvana : old:1 ['14474.2']  new:1 ['14475.1']
ambukirAta : old:1 ['14486']  new:1 ['14485.1']
ambukapi : old:1 ['14485.1']  new:1 ['14486']
ambukaPa : old:1 ['14485.2']  new:1 ['14486.1']
ambukAntAra : old:1 ['14485.3']  new:1 ['14486.2']
