k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
karahAwa,karahāṭa,no,no,yes,3,uncommon(10-99),no
karahAwaka,karahāṭaka,no,no,yes,2,rare(2-9),no
karaja,karaja,yes,no,yes,3,uncommon(10-99),no
karaka,karaka,yes,no,yes,3,uncommon(10-99),no
karakawa,karakaṭa,no,no,yes,1,hapax(1),no
karamBA,karambhā,yes,no,yes,2,rare(2-9),no
karamBaka,karambhaka,no,no,yes,2,rare(2-9),no
karamaRqalin,karamaṇḍalin,yes,yes,no,,,no
karamardI,karamardī,yes,yes,yes,1,hapax(1),yes
karamarda,karamarda,no,yes,yes,3,uncommon(10-99),no
karamardaka,karamardaka,no,no,yes,3,uncommon(10-99),no
karaparRa,karaparṇa,yes,yes,yes,2,rare(2-9),yes
karapattravat,karapattravat,yes,yes,no,,,no
kararuha,kararuha,yes,no,yes,3,uncommon(10-99),no
karatalAmalaka,karatalāmalaka,no,yes,no,,,no
karatfRa,karatṛṇa,no,yes,no,,,no
karavI,karavī,no,yes,yes,1,hapax(1),no
karavIra,karavīra,no,no,yes,4,common(100-999),no
karavIraBujA,karavīrabhujā,yes,yes,yes,1,hapax(1),yes
karavIraka,karavīraka,yes,no,yes,3,uncommon(10-99),no
karawa,karaṭa,yes,no,yes,2,rare(2-9),no
karbUra,karbūra,yes,no,yes,1,hapax(1),no
karbUraka,karbūraka,yes,yes,no,,,no
karbudAra,karbudāra,yes,yes,yes,3,uncommon(10-99),yes
karbudAraka,karbudāraka,yes,yes,yes,1,hapax(1),yes
karburA,karburā,yes,no,yes,2,rare(2-9),no
karbura,karbura,yes,no,yes,3,uncommon(10-99),no
kardawa,kardaṭa,yes,no,no,,,no
kareRu,kareṇu,yes,no,yes,3,uncommon(10-99),no
karenara,karenara,no,yes,no,,,no
kariBa,karibha,yes,yes,yes,1,hapax(1),yes
karikaRA,karikaṇā,no,yes,no,,,no
karikft,karikṛt,yes,yes,no,,,no
karikfzRA,karikṛṣṇā,no,yes,no,,,no
karipippalI,karipippalī,yes,yes,yes,1,hapax(1),yes
karkAru,karkāru,no,no,yes,2,rare(2-9),no
karkAruka,karkāruka,no,no,yes,2,rare(2-9),no
karkaSA,karkaśā,yes,no,yes,2,rare(2-9),no
karkaSa,karkaśa,no,no,yes,4,common(100-999),no
karkaSacCadA,karkaśacchadā,yes,no,yes,2,rare(2-9),no
karkaSacCada,karkaśacchada,yes,yes,yes,2,rare(2-9),yes
karkaSadala,karkaśadala,yes,yes,no,,,no
karkanDu,karkandhu,no,no,yes,3,uncommon(10-99),no
karkavallI,karkavallī,yes,yes,no,,,no
karkawA,karkaṭā,yes,yes,yes,1,hapax(1),yes
karkawAhva,karkaṭāhva,yes,yes,yes,1,hapax(1),yes
karkawAkza,karkaṭākṣa,yes,yes,no,,,no
karkawI,karkaṭī,yes,no,yes,3,uncommon(10-99),no
karkawaSfNgI,karkaṭaśṛṅgī,no,yes,yes,3,uncommon(10-99),no
karkawavallI,karkaṭavallī,yes,yes,no,,,no
karkawi,karkaṭi,yes,yes,no,,,no
karkawinI,karkaṭinī,yes,yes,no,,,no
karkowakI,karkoṭakī,yes,no,yes,3,uncommon(10-99),no
karkowaka,karkoṭaka,yes,no,yes,3,uncommon(10-99),no
karkowikA,karkoṭikā,yes,yes,yes,2,rare(2-9),yes
karmAra,karmāra,yes,no,yes,3,uncommon(10-99),no
karmAraka,karmāraka,yes,yes,yes,2,rare(2-9),yes
karmaPala,karmaphala,yes,no,no,,,no
karmaja,karmaja,no,no,no,,,no
karmakarI,karmakarī,yes,yes,yes,2,rare(2-9),yes
karmara,karmara,yes,yes,yes,1,hapax(1),yes
karmaraNga,karmaraṅga,no,yes,yes,1,hapax(1),no
karmin,karmin,no,no,yes,3,uncommon(10-99),no
karpAsa,karpāsa,no,no,yes,3,uncommon(10-99),no
karpUraharidrA,karpūraharidrā,no,yes,no,,,no
karpUraka,karpūraka,yes,yes,yes,1,hapax(1),yes
karpara,karpara,yes,no,yes,3,uncommon(10-99),no
karuRa,karuṇa,yes,no,yes,4,common(100-999),no
karuRamallI,karuṇamallī,no,yes,no,,,no
karvarI,karvarī,yes,yes,no,,,no
karza,karṣa,yes,no,yes,4,common(100-999),no
karzaPalA,karṣaphalā,yes,yes,no,,,no
karzaPala,karṣaphala,yes,yes,yes,2,rare(2-9),yes
kasanotpAwana,kasanotpāṭana,yes,yes,no,,,no
kastUrI,kastūrī,yes,no,yes,3,uncommon(10-99),no
kata,kata,yes,no,yes,2,rare(2-9),no
kataka,kataka,no,no,yes,3,uncommon(10-99),no
kattfna,kattṛna,yes,no,no,,,no
kavaca,kavaca,yes,no,yes,4,common(100-999),no
kavarA,kavarā,no,yes,no,,,no
kavarI,kavarī,no,no,yes,2,rare(2-9),no
kawAlu,kaṭālu,yes,yes,no,,,no
kawAyana,kaṭāyana,yes,yes,no,,,no
kawa,kaṭa,yes,no,yes,3,uncommon(10-99),no
kawaBI,kaṭabhī,no,no,yes,3,uncommon(10-99),no
kawaMBara,kaṭaṃbhara,yes,yes,yes,2,rare(2-9),yes
kawaSarkarA,kaṭaśarkarā,yes,no,yes,2,rare(2-9),no
kawambarA,kaṭambarā,yes,yes,no,,,no
kawilla,kaṭilla,no,yes,yes,1,hapax(1),no
kawu,kaṭu,yes,no,yes,4,common(100-999),no
kawuPalA,kaṭuphalā,no,yes,yes,2,rare(2-9),no
kawuPala,kaṭuphala,yes,no,yes,2,rare(2-9),no
kawucAturjAtaka,kaṭucāturjātaka,yes,yes,no,,,no
kawucCada,kaṭucchada,yes,yes,no,,,no
kawudalA,kaṭudalā,yes,yes,yes,1,hapax(1),yes
kawukAYjanI,kaṭukāñjanī,yes,yes,no,,,no
kawukAlAbu,kaṭukālābu,yes,yes,yes,2,rare(2-9),yes
kawukanda,kaṭukanda,yes,no,no,,,no
kawukaraYja,kaṭukarañja,yes,yes,no,,,no
kawukarohiRI,kaṭukarohiṇī,no,yes,yes,3,uncommon(10-99),no
kawukvARa,kaṭukvāṇa,yes,yes,no,,,no
kawumaYjarikA,kaṭumañjarikā,no,yes,no,,,no
kawunizpAva,kaṭuniṣpāva,yes,yes,yes,1,hapax(1),yes
kawupattra,kaṭupattra,yes,no,yes,1,hapax(1),no
kawurohiRikA,kaṭurohiṇikā,no,yes,no,,,no
kawusneha,kaṭusneha,yes,yes,no,,,no
kawutiktaka,kaṭutiktaka,yes,yes,yes,1,hapax(1),yes
kawuvArttAkI,kaṭuvārttākī,yes,yes,yes,1,hapax(1),yes
kawuvallI,kaṭuvallī,yes,yes,no,,,no
kazAyA,kaṣāyā,yes,yes,yes,1,hapax(1),yes
kazAya,kaṣāya,yes,no,yes,5,very-common(1000+),no
kazAyaka,kaṣāyaka,yes,yes,yes,3,uncommon(10-99),yes
kazAyakft,kaṣāyakṛt,yes,yes,no,,,no
kazAyin,kaṣāyin,yes,no,yes,2,rare(2-9),no
keSAli,keśāli,no,yes,no,,,no
keSAmbu,keśāmbu,no,yes,yes,2,rare(2-9),no
keSAri,keśāri,yes,yes,no,,,no
keSI,keśī,yes,no,yes,3,uncommon(10-99),no
keSadamanI,keśadamanī,no,yes,no,,,no
keSamuzwi,keśamuṣṭi,no,no,yes,2,rare(2-9),no
keSamuzwika,keśamuṣṭika,yes,yes,yes,2,rare(2-9),yes
keSaparRI,keśaparṇī,yes,yes,yes,1,hapax(1),yes
keSarAja,keśarāja,yes,yes,yes,2,rare(2-9),yes
keSarUpA,keśarūpā,yes,yes,yes,1,hapax(1),yes
keSaraYjana,keśarañjana,yes,no,yes,2,rare(2-9),no
keSarin,keśarin,no,yes,yes,1,hapax(1),no
keSaroccawA,keśaroccaṭā,yes,yes,no,,,no
keSaromA,keśaromā,no,yes,no,,,no
keSaruhA,keśaruhā,yes,yes,yes,2,rare(2-9),yes
keSava,keśava,yes,no,yes,4,common(100-999),no
keSavarDanI,keśavardhanī,yes,yes,yes,1,hapax(1),yes
keSawa,keśaṭa,yes,no,no,,,no
keSika,keśika,yes,no,yes,1,hapax(1),no
keSinI,keśinī,yes,no,yes,3,uncommon(10-99),no
keSya,keśya,yes,no,yes,3,uncommon(10-99),no
kecuka,kecuka,no,no,yes,2,rare(2-9),no
kedAraja,kedāraja,yes,yes,yes,1,hapax(1),yes
kedArakawukA,kedārakaṭukā,yes,yes,yes,1,hapax(1),yes
kelika,kelika,yes,no,yes,2,rare(2-9),no
kelikadamba,kelikadamba,yes,yes,no,,,no
kelivfkza,kelivṛkṣa,yes,yes,no,,,no
kembuka,kembuka,no,no,yes,2,rare(2-9),no
kemuka,kemuka,yes,yes,yes,1,hapax(1),yes
kendu,kendu,yes,yes,yes,1,hapax(1),yes
kenduka,kenduka,yes,no,yes,1,hapax(1),no
kesara,kesara,yes,no,yes,4,common(100-999),no
ketaka,ketaka,no,yes,yes,3,uncommon(10-99),no
kfSAnu,kṛśānu,yes,no,yes,3,uncommon(10-99),no
kfSAnuga,kṛśānuga,no,yes,no,,,no
kfSaSAKa,kṛśaśākha,yes,yes,yes,1,hapax(1),yes
kfSikA,kṛśikā,yes,yes,no,,,no
kfkara,kṛkara,yes,no,yes,3,uncommon(10-99),no
kfmIlaka,kṛmīlaka,yes,yes,yes,2,rare(2-9),yes
kfmiGAtin,kṛmighātin,no,yes,yes,1,hapax(1),no
kfmiGnA,kṛmighnā,no,yes,yes,1,hapax(1),no
kfmiGnI,kṛmighnī,yes,no,yes,2,rare(2-9),no
kfmiPala,kṛmiphala,no,yes,yes,1,hapax(1),no
kfmiSAtrava,kṛmiśātrava,yes,yes,no,,,no
kfmiSatru,kṛmiśatru,yes,no,yes,1,hapax(1),no
kfmijagDa,kṛmijagdha,no,yes,yes,2,rare(2-9),no
kfmikaRwaka,kṛmikaṇṭaka,yes,no,no,,,no
kfmivfkza,kṛmivṛkṣa,no,yes,no,,,no
kfsara,kṛsara,no,no,yes,3,uncommon(10-99),no
kftacCidrA,kṛtacchidrā,yes,yes,yes,2,rare(2-9),yes
kftamAla,kṛtamāla,no,no,yes,3,uncommon(10-99),no
kftamAlaka,kṛtamālaka,yes,no,yes,2,rare(2-9),no
kftatrARA,kṛtatrāṇā,yes,yes,yes,2,rare(2-9),yes
kfttaruhA,kṛttaruhā,yes,yes,no,,,no
kfzRA,kṛṣṇā,no,no,yes,4,common(100-999),no
kfzRAgarukAzWa,kṛṣṇāgarukāṣṭha,no,yes,no,,,no
kfzRAgurumaya,kṛṣṇāgurumaya,no,yes,no,,,no
kfzRAlpaka,kṛṣṇālpaka,no,yes,no,,,no
kfzRAvAsa,kṛṣṇāvāsa,yes,yes,no,,,no
kfzRa,kṛṣṇa,yes,no,yes,5,very-common(1000+),no
kfzRaBedA,kṛṣṇabhedā,no,yes,yes,2,rare(2-9),no
kfzRaDattUra,kṛṣṇadhattūra,yes,yes,yes,2,rare(2-9),yes
kfzRaDattUraka,kṛṣṇadhattūraka,yes,yes,yes,1,hapax(1),yes
kfzRaPalA,kṛṣṇaphalā,no,yes,yes,2,rare(2-9),no
kfzRaSiMSapA,kṛṣṇaśiṃśapā,yes,yes,yes,1,hapax(1),yes
kfzRaSigru,kṛṣṇaśigru,yes,yes,yes,1,hapax(1),yes
kfzRabIja,kṛṣṇabīja,yes,no,no,,,no
kfzRacUqA,kṛṣṇacūḍā,yes,yes,no,,,no
kfzRacUqikA,kṛṣṇacūḍikā,yes,yes,yes,1,hapax(1),yes
kfzRadantA,kṛṣṇadantā,yes,yes,no,,,no
kfzRaganDA,kṛṣṇagandhā,no,yes,yes,3,uncommon(10-99),no
kfzRagarBa,kṛṣṇagarbha,yes,yes,yes,1,hapax(1),yes
kfzRagulma,kṛṣṇagulma,no,yes,no,,,no
kfzRajIra,kṛṣṇajīra,no,yes,yes,2,rare(2-9),no
kfzRajawA,kṛṣṇajaṭā,yes,yes,yes,1,hapax(1),yes
kfzRakAzWa,kṛṣṇakāṣṭha,yes,yes,no,,,no
kfzRaka,kṛṣṇaka,no,no,yes,2,rare(2-9),no
kfzRakanda,kṛṣṇakanda,yes,yes,no,,,no
kfzRakawukA,kṛṣṇakaṭukā,no,yes,no,,,no
kfzRakeli,kṛṣṇakeli,yes,yes,no,,,no
kfzRalA,kṛṣṇalā,yes,yes,yes,2,rare(2-9),yes
kfzRala,kṛṣṇala,no,no,yes,3,uncommon(10-99),no
kfzRalaka,kṛṣṇalaka,no,yes,yes,1,hapax(1),no
kfzRamallikA,kṛṣṇamallikā,yes,yes,yes,1,hapax(1),yes
kfzRamudga,kṛṣṇamudga,yes,yes,yes,2,rare(2-9),yes
kfzRapAka,kṛṣṇapāka,yes,yes,no,,,no
kfzRaparRI,kṛṣṇaparṇī,yes,yes,yes,1,hapax(1),yes
kfzRapiRqItaka,kṛṣṇapiṇḍītaka,yes,yes,no,,,no
kfzRasArA,kṛṣṇasārā,yes,no,yes,1,hapax(1),no
kfzRasAra,kṛṣṇasāra,yes,no,yes,3,uncommon(10-99),no
kfzRasAraTi,kṛṣṇasārathi,yes,no,yes,3,uncommon(10-99),no
kfzRasEreyaka,kṛṣṇasaireyaka,no,yes,no,,,no
kfzRatAla,kṛṣṇatāla,no,yes,no,,,no
kfzRataRqulA,kṛṣṇataṇḍulā,yes,yes,yes,1,hapax(1),yes
kfzRatila,kṛṣṇatila,no,yes,yes,2,rare(2-9),no
kfzRatrivftA,kṛṣṇatrivṛtā,yes,yes,no,,,no
kfzRavartman,kṛṣṇavartman,yes,no,yes,3,uncommon(10-99),no
kfzRavetra,kṛṣṇavetra,no,yes,no,,,no
kfzRavfntA,kṛṣṇavṛntā,yes,yes,yes,2,rare(2-9),yes
kfzRavfntikA,kṛṣṇavṛntikā,yes,yes,yes,2,rare(2-9),yes
kfzRavyAla,kṛṣṇavyāla,no,yes,no,,,no
kfzRikA,kṛṣṇikā,yes,no,yes,2,rare(2-9),no
kfzRodumbarikA,kṛṣṇodumbarikā,yes,yes,yes,1,hapax(1),yes
kiMSuka,kiṃśuka,no,no,yes,4,common(100-999),no
kiMSukodaka,kiṃśukodaka,no,yes,no,,,no
kiMSulaka,kiṃśulaka,no,yes,yes,1,hapax(1),no
kiMcana,kiṃcana,yes,no,no,,,no
kiMciccIritapattrikA,kiṃciccīritapattrikā,no,yes,no,,,no
kiMja,kiṃja,yes,no,no,,,no
kiMkarAla,kiṃkarāla,yes,yes,no,,,no
kiNkirAta,kiṅkirāta,yes,no,yes,2,rare(2-9),no
kiNkirin,kiṅkirin,yes,yes,no,,,no
kiRi,kiṇi,yes,yes,yes,1,hapax(1),yes
kiSora,kiśora,yes,no,yes,3,uncommon(10-99),no
kiYjalka,kiñjalka,yes,no,yes,3,uncommon(10-99),no
kilAsaGna,kilāsaghna,yes,yes,no,,,no
kilima,kilima,no,no,yes,2,rare(2-9),no
kimpAka,kimpāka,yes,no,yes,2,rare(2-9),no
kirAta,kirāta,yes,no,yes,4,common(100-999),no
kirAtaka,kirātaka,yes,no,yes,2,rare(2-9),no
kirAtatikta,kirātatikta,no,yes,yes,3,uncommon(10-99),no
kirAtinI,kirātinī,yes,yes,no,,,no
kirIwI,kirīṭī,yes,yes,yes,1,hapax(1),yes
kiri,kiri,no,no,yes,2,rare(2-9),no
kiriwi,kiriṭi,yes,yes,no,,,no
kirmI,kirmī,yes,no,no,,,no
kiwi,kiṭi,no,no,yes,2,rare(2-9),no
kiwimUlABa,kiṭimūlābha,no,yes,no,,,no
kizkuparvan,kiṣkuparvan,yes,no,no,,,no
klItaka,klītaka,no,no,yes,2,rare(2-9),no
klinnA,klinnā,yes,yes,yes,2,rare(2-9),yes
koSAmra,kośāmra,no,no,yes,3,uncommon(10-99),no
koSAtakI,kośātakī,no,no,yes,3,uncommon(10-99),no
koSa,kośa,yes,no,yes,4,common(100-999),no
koSaPalA,kośaphalā,yes,yes,yes,2,rare(2-9),yes
koSaPala,kośaphala,yes,no,yes,2,rare(2-9),no
koSavatI,kośavatī,no,yes,yes,2,rare(2-9),no
koSilA,kośilā,yes,yes,no,,,no
koTarI,kotharī,yes,yes,no,,,no
koWaka,koṭhaka,no,yes,no,,,no
koWarapuzpI,koṭharapuṣpī,yes,yes,no,,,no
kodrava,kodrava,no,yes,yes,3,uncommon(10-99),no
kohin,kohin,yes,yes,no,,,no
kokilanayana,kokilanayana,yes,yes,no,,,no
kolA,kolā,yes,yes,yes,2,rare(2-9),yes
kolAtmaja,kolātmaja,no,yes,no,,,no
kola,kola,yes,no,yes,4,common(100-999),no
kolaSimbI,kolaśimbī,no,yes,no,,,no
kolagajinI,kolagajinī,no,yes,no,,,no
kolaka,kolaka,yes,no,yes,2,rare(2-9),no
kolavallI,kolavallī,yes,yes,yes,2,rare(2-9),yes
koli,koli,yes,yes,yes,2,rare(2-9),yes
kolyA,kolyā,yes,yes,no,,,no
komaladala,komaladala,no,yes,no,,,no
komalavalkalA,komalavalkalā,no,yes,no,,,no
kopalatA,kopalatā,yes,yes,no,,,no
kopavErin,kopavairin,no,yes,no,,,no
kovidAra,kovidāra,no,no,yes,3,uncommon(10-99),no
kowarA,koṭarā,no,no,yes,1,hapax(1),no
kowara,koṭara,yes,no,yes,3,uncommon(10-99),no
kowaravAsinI,koṭaravāsinī,no,yes,yes,2,rare(2-9),no
kowi,koṭi,yes,no,yes,5,very-common(1000+),no
kowikA,koṭikā,no,no,yes,1,hapax(1),no
kowivarzA,koṭivarṣā,yes,yes,yes,2,rare(2-9),yes
krAntA,krāntā,yes,no,yes,2,rare(2-9),no
krOYcAdana,krauñcādana,yes,no,yes,2,rare(2-9),no
krUraganDA,krūragandhā,yes,yes,yes,1,hapax(1),yes
kraTanaka,krathanaka,yes,no,yes,2,rare(2-9),no
krakaca,krakaca,no,no,yes,3,uncommon(10-99),no
krakacacCada,krakacacchada,yes,yes,yes,1,hapax(1),yes
krakara,krakara,yes,no,yes,3,uncommon(10-99),no
kramapUraka,kramapūraka,yes,yes,yes,1,hapax(1),yes
kramu,kramu,yes,no,yes,2,rare(2-9),no
kramuka,kramuka,yes,no,yes,3,uncommon(10-99),no
kramukaPala,kramukaphala,yes,yes,yes,1,hapax(1),yes
kroqakaseruka,kroḍakaseruka,no,yes,yes,1,hapax(1),no
kroqaparRI,kroḍaparṇī,yes,yes,no,,,no
kroqavallaBA,kroḍavallabhā,no,yes,no,,,no
kroqezwA,kroḍeṣṭā,yes,yes,yes,1,hapax(1),yes
krozwrI,kroṣṭrī,yes,no,yes,1,hapax(1),no
krozwuPala,kroṣṭuphala,yes,yes,yes,1,hapax(1),yes
krozwupucCikA,kroṣṭupucchikā,yes,yes,yes,1,hapax(1),yes
kuNkuma,kuṅkuma,no,yes,yes,4,common(100-999),no
kuRi,kuṇi,yes,no,yes,3,uncommon(10-99),no
kuRqalI,kuṇḍalī,yes,no,yes,3,uncommon(10-99),no
kuRqalin,kuṇḍalin,no,no,yes,3,uncommon(10-99),no
kuRqalinI,kuṇḍalinī,yes,no,yes,3,uncommon(10-99),no
kuSAlmalI,kuśālmalī,no,no,yes,1,hapax(1),no
kuSa,kuśa,no,no,yes,4,common(100-999),no
kuSalI,kuśalī,yes,no,yes,2,rare(2-9),no
kuSeSaya,kuśeśaya,yes,no,yes,3,uncommon(10-99),no
kuSiMSapA,kuśiṃśapā,yes,yes,yes,1,hapax(1),yes
kuSika,kuśika,yes,no,yes,3,uncommon(10-99),no
kuTa,kutha,yes,no,yes,3,uncommon(10-99),no
kuWera,kuṭhera,no,no,yes,2,rare(2-9),no
kuWeraja,kuṭheraja,yes,yes,no,,,no
kuWeraka,kuṭheraka,yes,yes,yes,3,uncommon(10-99),yes
kuWika,kuṭhika,yes,yes,no,,,no
kuYcI,kuñcī,yes,no,yes,2,rare(2-9),no
kuYcaPalA,kuñcaphalā,yes,yes,no,,,no
kuYcikA,kuñcikā,yes,no,yes,3,uncommon(10-99),no
kuYcita,kuñcita,yes,no,yes,2,rare(2-9),no
kuYjarA,kuñjarā,yes,no,yes,2,rare(2-9),no
kuYjarASana,kuñjarāśana,yes,yes,yes,1,hapax(1),yes
kuYjara,kuñjara,yes,no,yes,4,common(100-999),no
kuYjarapAdapa,kuñjarapādapa,no,yes,no,,,no
kuYjarapippalI,kuñjarapippalī,yes,yes,no,,,no
kuYjavallarI,kuñjavallarī,yes,yes,yes,1,hapax(1),yes
kuYjikA,kuñjikā,no,no,yes,2,rare(2-9),no
kuberAkzI,kuberākṣī,yes,no,yes,3,uncommon(10-99),no
kubera,kubera,no,no,yes,4,common(100-999),no
kuberaka,kuberaka,yes,no,yes,2,rare(2-9),no
kubja,kubja,yes,no,yes,4,common(100-999),no
kubjaka,kubjaka,yes,no,yes,3,uncommon(10-99),no
kubjakaRwaka,kubjakaṇṭaka,yes,yes,yes,2,rare(2-9),yes
kubjapuzpa,kubjapuṣpa,yes,yes,no,,,no
kucANgerI,kucāṅgerī,yes,yes,no,,,no
kucaPala,kucaphala,yes,no,yes,2,rare(2-9),no
kucaRqikA,kucaṇḍikā,yes,no,no,,,no
kucandana,kucandana,no,no,yes,3,uncommon(10-99),no
kucelI,kucelī,no,yes,no,,,no
kudAra,kudāra,yes,no,yes,1,hapax(1),no
kuhA,kuhā,no,yes,yes,2,rare(2-9),no
kuhali,kuhali,yes,yes,no,,,no
kukUwI,kukūṭī,yes,yes,no,,,no
kukkuradru,kukkuradru,yes,yes,yes,1,hapax(1),yes
kukkuwI,kukkuṭī,no,no,yes,3,uncommon(10-99),no
kukkuwa,kukkuṭa,yes,no,yes,4,common(100-999),no
kukkuwaSiKa,kukkuṭaśikha,yes,yes,no,,,no
kukkuwamaYjarI,kukkuṭamañjarī,no,yes,no,,,no
kukola,kukola,yes,yes,no,,,no
kukudru,kukudru,no,no,no,,,no
kukundanI,kukundanī,no,yes,no,,,no
kukurajihvA,kukurajihvā,yes,no,no,,,no
kukuwa,kukuṭa,yes,yes,no,,,no
kukziranDra,kukṣirandhra,yes,yes,yes,1,hapax(1),yes
kulAhaka,kulāhaka,yes,no,no,,,no
kulAhala,kulāhala,no,yes,yes,2,rare(2-9),no
kulAlI,kulālī,yes,no,yes,2,rare(2-9),no
kulI,kulī,yes,no,yes,2,rare(2-9),no
kulInaka,kulīnaka,yes,no,no,,,no
kulaYja,kulañja,yes,yes,yes,2,rare(2-9),yes
kulaka,kulaka,yes,no,yes,3,uncommon(10-99),no
kulakzayA,kulakṣayā,yes,yes,no,,,no
kulaputra,kulaputra,yes,no,no,,,no
kulaputraka,kulaputraka,no,no,no,,,no
kulatTA,kulatthā,yes,no,yes,2,rare(2-9),no
kulatTa,kulattha,no,no,yes,4,common(100-999),no
kulatTikA,kulatthikā,no,no,yes,2,rare(2-9),no
kulavarRA,kulavarṇā,yes,yes,yes,1,hapax(1),yes
kuli,kuli,yes,no,yes,2,rare(2-9),no
kuliSa,kuliśa,yes,no,yes,3,uncommon(10-99),no
kuliSadruma,kuliśadruma,no,yes,no,,,no
kulika,kulika,yes,no,yes,3,uncommon(10-99),no
kulinI,kulinī,yes,yes,no,,,no
kulmAza,kulmāṣa,yes,no,yes,3,uncommon(10-99),no
kulyA,kulyā,yes,no,yes,3,uncommon(10-99),no
kumArI,kumārī,yes,no,yes,4,common(100-999),no
kumAra,kumāra,no,no,yes,5,very-common(1000+),no
kumArajIva,kumārajīva,no,yes,yes,2,rare(2-9),no
kumAraka,kumāraka,yes,no,yes,3,uncommon(10-99),no
kumArikA,kumārikā,yes,no,yes,3,uncommon(10-99),no
kumBA,kumbhā,yes,no,yes,1,hapax(1),no
kumBI,kumbhī,yes,no,yes,3,uncommon(10-99),no
kumBIka,kumbhīka,no,no,yes,2,rare(2-9),no
kumBIramakzikA,kumbhīramakṣikā,yes,yes,no,,,no
kumBa,kumbha,yes,no,yes,4,common(100-999),no
kumBaPalA,kumbhaphalā,yes,yes,yes,2,rare(2-9),yes
kumBalA,kumbhalā,yes,yes,no,,,no
kumBayoni,kumbhayoni,yes,no,yes,3,uncommon(10-99),no
kumBikA,kumbhikā,yes,no,yes,3,uncommon(10-99),no
kumBinIbIja,kumbhinībīja,yes,yes,yes,1,hapax(1),yes
kumudA,kumudā,yes,no,yes,3,uncommon(10-99),no
kumudI,kumudī,no,yes,yes,3,uncommon(10-99),no
kumuda,kumuda,yes,no,yes,4,common(100-999),no
kumudvatI,kumudvatī,no,no,yes,3,uncommon(10-99),no
kunASaka,kunāśaka,yes,no,yes,1,hapax(1),no
kunalin,kunalin,yes,no,yes,1,hapax(1),no
kunawI,kunaṭī,yes,no,yes,3,uncommon(10-99),no
kunawa,kunaṭa,yes,no,yes,2,rare(2-9),no
kunda,kunda,yes,no,yes,4,common(100-999),no
kundaka,kundaka,yes,yes,yes,1,hapax(1),yes
kundapuzpa,kundapuṣpa,no,yes,no,,,no
kundarikA,kundarikā,yes,yes,no,,,no
kunduru,kunduru,no,no,yes,2,rare(2-9),no
kundurukI,kundurukī,yes,yes,yes,2,rare(2-9),yes
kuntI,kuntī,yes,no,yes,4,common(100-999),no
kunta,kunta,yes,no,yes,3,uncommon(10-99),no
kuntalavarDana,kuntalavardhana,yes,yes,yes,2,rare(2-9),yes
kupAka,kupāka,yes,yes,yes,1,hapax(1),yes
kuqUhuYcI,kuḍūhuñcī,no,yes,no,,,no
kuraRqaka,kuraṇḍaka,yes,no,yes,2,rare(2-9),no
kuraRwa,kuraṇṭa,yes,no,yes,3,uncommon(10-99),no
kuraRwaka,kuraṇṭaka,yes,no,yes,3,uncommon(10-99),no
kuraba,kuraba,yes,yes,no,,,no
kurabaka,kurabaka,no,no,yes,3,uncommon(10-99),no
kurakA,kurakā,yes,yes,no,,,no
kurara,kurara,no,no,yes,3,uncommon(10-99),no
kurasA,kurasā,yes,yes,no,,,no
kuru,kuru,yes,no,yes,5,very-common(1000+),no
kuruRWa,kuruṇṭha,no,yes,no,,,no
kuruRwa,kuruṇṭa,yes,no,no,,,no
kuruRwaka,kuruṇṭaka,no,yes,yes,2,rare(2-9),no
kurukandaka,kurukandaka,yes,yes,no,,,no
kurumbA,kurumbā,yes,yes,yes,1,hapax(1),yes
kurumbikA,kurumbikā,yes,yes,no,,,no
kuruvinda,kuruvinda,yes,no,yes,3,uncommon(10-99),no
kuruvindaka,kuruvindaka,yes,yes,yes,2,rare(2-9),yes
kuruwa,kuruṭa,yes,yes,yes,1,hapax(1),yes
kusumADipa,kusumādhipa,yes,yes,no,,,no
kusumBa,kusumbha,yes,no,yes,3,uncommon(10-99),no
kusumaPala,kusumaphala,no,yes,no,,,no
kusumamaDya,kusumamadhya,yes,yes,no,,,no
kutapa,kutapa,no,no,yes,3,uncommon(10-99),no
kutapasaptaka,kutapasaptaka,no,yes,no,,,no
kutfRa,kutṛṇa,yes,no,yes,2,rare(2-9),no
kutsa,kutsa,yes,no,yes,3,uncommon(10-99),no
kutsita,kutsita,yes,no,yes,2,rare(2-9),no
kutumburu,kutumburu,no,yes,yes,1,hapax(1),no
kuvala,kuvala,yes,no,yes,2,rare(2-9),no
kuvalakuRa,kuvalakuṇa,no,yes,no,,,no
kuvalasaktu,kuvalasaktu,no,yes,no,,,no
kuvfttikft,kuvṛttikṛt,yes,yes,no,,,no
kuwaca,kuṭaca,yes,yes,no,,,no
kuwajIva,kuṭajīva,yes,yes,yes,1,hapax(1),yes
kuwaja,kuṭaja,no,no,yes,4,common(100-999),no
kuwannawa,kuṭannaṭa,no,no,yes,3,uncommon(10-99),no
kuwaruRA,kuṭaruṇā,no,yes,no,,,no
kuwiYjara,kuṭiñjara,no,yes,yes,2,rare(2-9),no
kuwilapuzpikA,kuṭilapuṣpikā,no,yes,no,,,no
kuzWAri,kuṣṭhāri,yes,no,yes,2,rare(2-9),no
kuzWa,kuṣṭha,no,no,yes,5,very-common(1000+),no
