k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
jamBana,jambhana,yes,no,yes,2,rare(2-9),no
jambAla,jambāla,yes,no,yes,2,rare(2-9),no
jambIraka,jambīraka,no,yes,yes,2,rare(2-9),no
jambUla,jambūla,yes,no,yes,2,rare(2-9),no
jambu,jambu,no,no,yes,4,common(100-999),no
jambuka,jambuka,yes,no,yes,3,uncommon(10-99),no
jambula,jambula,yes,no,no,,,no
janakAhvaya,janakāhvaya,no,yes,no,,,no
jananI,jananī,yes,no,yes,4,common(100-999),no
janapriya,janapriya,yes,no,yes,2,rare(2-9),no
janezwA,janeṣṭā,yes,no,yes,2,rare(2-9),no
jantuGna,jantughna,yes,no,yes,3,uncommon(10-99),no
jantuPala,jantuphala,yes,yes,yes,2,rare(2-9),yes
jantulA,jantulā,yes,yes,no,,,no
jantunASana,jantunāśana,yes,yes,yes,2,rare(2-9),yes
jantupAdapa,jantupādapa,yes,yes,yes,1,hapax(1),yes
jaqA,jaḍā,no,yes,no,,,no
jaraRA,jaraṇā,yes,no,yes,2,rare(2-9),no
jaraRa,jaraṇa,yes,no,yes,3,uncommon(10-99),no
jaraRadruma,jaraṇadruma,yes,yes,yes,1,hapax(1),yes
jaraka,jaraka,no,yes,yes,1,hapax(1),no
jarjara,jarjara,no,no,yes,3,uncommon(10-99),no
jartila,jartila,no,yes,yes,2,rare(2-9),no
jartilayavAgU,jartilayavāgū,no,yes,no,,,no
jatuka,jatuka,yes,no,yes,2,rare(2-9),no
jatukft,jatukṛt,no,yes,yes,2,rare(2-9),no
jawA,jaṭā,no,no,yes,4,common(100-999),no
jawAla,jaṭāla,yes,no,yes,2,rare(2-9),no
jawAmUlA,jaṭāmūlā,yes,yes,yes,1,hapax(1),yes
jawAntA,jaṭāntā,no,no,no,,,no
jawAvallI,jaṭāvallī,yes,no,yes,1,hapax(1),no
jawAvatI,jaṭāvatī,yes,yes,yes,1,hapax(1),yes
jawI,jaṭī,yes,no,yes,1,hapax(1),no
jawi,jaṭi,yes,no,no,,,no
jawilA,jaṭilā,yes,no,yes,3,uncommon(10-99),no
jawin,jaṭin,yes,no,yes,3,uncommon(10-99),no
jayA,jayā,yes,no,yes,4,common(100-999),no
jayAvahA,jayāvahā,yes,yes,yes,2,rare(2-9),yes
jaya,jaya,yes,no,yes,5,very-common(1000+),no
jayadruma,jayadruma,no,yes,yes,1,hapax(1),no
jayakArikA,jayakārikā,no,yes,no,,,no
jayantI,jayantī,yes,no,yes,3,uncommon(10-99),no
jayapAla,jayapāla,no,no,yes,3,uncommon(10-99),no
jfmBiRI,jṛmbhiṇī,yes,yes,no,,,no
jiNgI,jiṅgī,no,no,yes,2,rare(2-9),no
jiNginI,jiṅginī,no,yes,yes,2,rare(2-9),no
jihma,jihma,no,no,yes,4,common(100-999),no
jihmaSalya,jihmaśalya,no,yes,yes,2,rare(2-9),no
