k1_slp1,k1_iast,species_canonical,species_raw,L_number,page_col,sense_citation,lexicographer_only,dcs_band,dcs_band_label
KaraganDA,kharagandhā,Uraria lagopodioides,Uraria Lagopodioides,61381,"337,2",L.,yes,1,hapax(1)
KaraGAtana,kharaghātana,Mesua ferrea,Mesua ferrea,61387,"337,2",L.,yes,,
KaracCada,kharacchada,Okera,Okera,61390,"337,2",L.,yes,2,rare(2-9)
Karapattra,kharapattra,Ocimum,Ocimum,61417,"337,2",,no,2,rare(2-9)
Karapattra,kharapattra,Ocimum,Ocimum,61418,"337,2",L.,yes,2,rare(2-9)
Karapattra,kharapattra,Trophis aspera,Trophis aspera,61421,"337,2",Gal.,no,2,rare(2-9)
Karapattra,kharapattra,Tectona grandis,Tectona grandis,61422,"337,2",L.,yes,2,rare(2-9)
Karapattraka,kharapattraka,Ocimum,Ocimum,61426,"337,2",L.,yes,1,hapax(1)
KaraparRinI,kharaparṇinī,Phlomis esculenta,Phlomis esculenta,61427,"337,2","Bhpr. v, 3, 297.",no,1,hapax(1)
Karapuzpa,kharapuṣpa,Ocimum,Ocimum,61431,"337,2","Suśr. i, 46, 4, 11",no,2,rare(2-9)
KaramaYjari,kharamañjari,Achyranthes aspera,Achyranthes aspera,61436,"337,2",Suśr. iv; vi; Pañcar.,no,3,uncommon(10-99)
KaramaYjarI,kharamañjarī,Achyranthes aspera,Achyranthes aspera,61437,"337,2",Suśr. iv; vi; Pañcar.,no,,
KaraSAka,kharaśāka,Clerodendrum siphonanthus,Clerodendrum siphonanthus,61449,"337,2",Bhpr.,no,2,rare(2-9)
KaraskanDa,kharaskandha,Buchanania latifolia,Buchanania latifolia,61456,"337,2",Bhpr.,no,2,rare(2-9)
KaraskanDA,kharaskandhā,Phoenix sylvestris,Phoenix sylvestris,61458,"337,2",L.,yes,2,rare(2-9)
KarAgarI,kharāgarī,Andropogon serratus,Andropogon serratus,61463,"337,2",L.,yes,,
KarASvA,kharāśvā,Celosia cristata,Celosia cristata,61472,"337,2",L.; L.,yes,2,rare(2-9)
KarjuGna,kharjughna,Cassia alata,Cassia Alata,61516,"337,3",Gal.,no,,
KarjuGna,kharjughna,Tora,Tora,61516,"337,3",Gal.,no,,
KarjUGna,kharjūghna,Cassia alata,Cassia Alata,61523,"337,3",L.,yes,2,rare(2-9)
KarjUGna,kharjūghna,Tora,Tora,61523,"337,3",L.,yes,2,rare(2-9)
KarjUGna,kharjūghna,Calotropis gigantea,Calotropis gigantea,61524,"337,3",L.,yes,2,rare(2-9)
KarjUra,kharjūra,Phoenix sylvestris,Phoenix sylvestris,61525,"337,3","TS. ii, 4, 9, 2; Kāṭh.; MBh.",no,3,uncommon(10-99)
KarjUrI,kharjūrī,Phoenix sylvestris,Phoenix sylvestris,61528,"337,3",VarBṛS.; Kathās. lxi,no,3,uncommon(10-99)
KarjUra,kharjūra,Phoenix sylvestris,Phoenix sylvestris,61530,"337,3",Kathās. lxi,no,3,uncommon(10-99)
Karva,kharva,Rosa moschata,Rosa moschata,61570,"338,1",L.,yes,3,uncommon(10-99)
Kala,khala,Xanthochymus pictorius,Xanthochymus pictorius,61590,"338,1",L.,yes,4,common(100-999)
Kalakula,khalakula,Dolichos uniflorus,Dolichos uniflorus,61595.1,"338,1","ŚBr. xiv, 9, 3, 22; Kauś.",no,1,hapax(1)
Kalidruma,khalidruma,Pinus longifolia,Pinus longifolia,61618,"338,1",Npr.,no,,
KalinI,khalinī,Anethum graveolens,Anethum graveolens,61622,"338,1",L.,yes,1,hapax(1)
KalinI,khalinī,Curculigo orchioides,Curculigo orchioides,61623,"338,1",L.,yes,1,hapax(1)
KallI,khallī,Pinus longifolia,Pinus longifolia,61674,"338,2",Npr.,no,2,rare(2-9)
KAdya,khādya,Acacia catechu,Acacia Catechu,61817,"339,2",Gal.,no,2,rare(2-9)
KAdira,khādira,Acacia catechu,Acacia Catechu,61824,"339,2",TS. iii; ŚBr.; AitBr.; Kauś.; Mn.,no,3,uncommon(10-99)
KAdirasAra,khādirasāra,Catechu,Catechu,61828,"339,2",L.,yes,,
KArjUra,khārjūra,Phoenix sylvestris,Phoenix sylvestris,61872,"339,3","Suśr.; Mn. xi, 96",no,2,rare(2-9)
KedinI,khedinī,Marsilea quadrifolia,Marsilea quadrifolia,61933,"340,1",L.,yes,,
KujjAka,khujjāka,Lipeocercis serrata,Lipeocercis serrata,61967,"340,1",L.,yes,,
Kuraka,khuraka,Sesamum indicum,Sesamum indicum,62000,"340,2",L.,yes,3,uncommon(10-99)
KowI,khoṭī,Boswellia thurifera,Boswellia thurifera,62088,"341,1",L.,yes,,
gagananagara,gagananagara,Fata morgana,Fata Morgana,62173,"341,2",Siṃhās.,no,,
gajakfzRA,gajakṛṣṇā,Scindapsus officinalis,Scindapsus officinalis,62323,"342,1",Bhpr.,no,2,rare(2-9)
gajacirBawA,gajacirbhaṭā,Cucumis maderaspatanus,Cucumis maderaspatanus,62328,"342,1",L.,yes,2,rare(2-9)
gajapAdapa,gajapādapa,Bignonia suaveolens,Bignonia suaveolens,62356,"342,1",Bhpr.,no,,
gajapriyA,gajapriyā,Boswellia serrata,Boswellia serrata,62363,"342,1",L.,yes,1,hapax(1)
gajaBakzaka,gajabhakṣaka,Ficus religiosa,Ficus religiosa,62367,"342,1",L.,yes,1,hapax(1)
gajaBakzA,gajabhakṣā,Olibanum,Olibanum,62368,"342,1",L.,yes,1,hapax(1)
gajaskanDa,gajaskandha,Cassia alata,Cassia Alata,62414,"342,2",L.,yes,,
gajaskanDa,gajaskandha,Tora,Tora,62414,"342,2",L.,yes,,
gajAKya,gajākhya,Cassia alata,Cassia Alata,62418,"342,2",L.,yes,2,rare(2-9)
gajAKya,gajākhya,Tora,Tora,62418,"342,2",L.,yes,2,rare(2-9)
gajezwA,gajeṣṭā,Batatas paniculata,Batatas paniculata,62453,"342,2",L.,yes,1,hapax(1)
gaYjA,gañjā,Abrus precatorius,Abrus precatorius,62472,"342,3",W.,no,2,rare(2-9)
gaRakarRikA,gaṇakarṇikā,Cucumis coloquinthida,Cucumis coloquinthida,62541,"343,1",L.,yes,,
gaRikA,gaṇikā,Jasminum auriculatum,Jasminum auriculatum,62669,"343,3",L.,yes,3,uncommon(10-99)
gaRikA,gaṇikā,Aeschynomene sesban,Aeschynomene Sesban,62670,"343,3",L.,yes,3,uncommon(10-99)
gaRikArikA,gaṇikārikā,Premna spinosa,Premna spinosa,62699,"343,3",L.,yes,2,rare(2-9)
gaRikArI,gaṇikārī,Premna spinosa,Premna spinosa,62700,"343,3",L.,yes,2,rare(2-9)
gaReru,gaṇeru,Pterospermum acerifolium,Pterospermum acerifolium,62734,"344,1",L.,yes,,
gaReruka,gaṇeruka,Pterospermum acerifolium,Pterospermum acerifolium,62738,"344,1",L.,yes,,
gaRqakArI,gaṇḍakārī,Mimosa pudica,Mimosa pudica,62770,"344,1",L.,yes,1,hapax(1)
gaRqagAtra,gaṇḍagātra,Anona reticulata,Anona reticulata,62774,"344,1",L.,yes,,
gaRqagAtra,gaṇḍagātra,Squamosa,squamosa,62774,"344,1",L.,yes,,
gaRqamAlikA,gaṇḍamālikā,Mimosa pudica,Mimosa pudica,62788,"344,1",L.,yes,1,hapax(1)
gaRqAri,gaṇḍāri,Bauhinia variegata,Bauhinia variegata,62804,"344,2",Bhpr.,no,,
gaRqIrI,gaṇḍīrī,Tithymalus antiquorum,Tithymalus antiquorum,62840,"344,2",L.,yes,,
gadA,gadā,Bignonia suaveolens,Bignonia suaveolens,62876,"344,2",L.,yes,5,very-common(1000+)
gadAKya,gadākhya,Costus speciosus,Costus speciosus,62883,"344,2",L.,yes,,
gadyARa,gadyāṇa,Abrus precatorius,Abrus precatorius,62952,"344,3","ŚārṅgS.; Yājñ. iii, 258",no,3,uncommon(10-99)
ganDa,gandha,Hyperanthera moringa,Hyperanthera Moringa,62977,"345,1",L.,yes,5,very-common(1000+)
ganDA,gandhā,Desmodium gangeticum,Desmodium gangeticum,62984,"345,1",L.,yes,2,rare(2-9)
ganDakandaka,gandhakandaka,Scirpus kysoor,Scirpus Kysoor,62989,"345,1",,no,1,hapax(1)
ganDaKeqa,gandhakheḍa,Andropogon schoenanthus,Andropogon Schoenanthus,63004,"345,1",L.,yes,,
ganDajawilA,gandhajaṭilā,Acorus calamus,Acorus Calamus,63016,"345,1",L.,yes,,
ganDajAta,gandhajāta,Laurus cassia,Laurus Cassia,63018,"345,1",L.,yes,,
ganDatfRa,gandhatṛṇa,Andropogon schoenanthus,Andropogon Schoenanthus,63022,"345,1",L.,yes,2,rare(2-9)
ganDatvac,gandhatvac,Feronia elephantum,Feronia elephantum,63026,"345,1",L.,yes,,
ganDanAkulI,gandhanākulī,Piper chaba,Piper Chaba,63038,"345,1",L.; L.; L.; Suśr. v f.,no,3,uncommon(10-99)
ganDanAkulI,gandhanākulī,Vanda roxburghii,Vanda Roxburghii,63038,"345,1",L.; L.; L.; Suśr. v f.,no,3,uncommon(10-99)
ganDanAkulI,gandhanākulī,Artemisia vulgaris,Artemisia vulgaris,63038,"345,1",L.; L.; L.; Suśr. v f.,no,3,uncommon(10-99)
ganDanAman,gandhanāman,Ocimum,Ocimum,63040,"345,1",,no,1,hapax(1)
ganDaniSA,gandhaniśā,Curcuma,Curcuma,63045,"345,1",L.,yes,2,rare(2-9)
ganDapattra,gandhapattra,Ocimum,Ocimum,63047,"345,1",L.,yes,2,rare(2-9)
ganDapattra,gandhapattra,Aegle marmelos,Aegle Marmelos,63048,"345,1",L.,yes,2,rare(2-9)
ganDapattrI,gandhapattrī,Physalia flexuosa,Physalia flexuosa,63051,"345,1",,no,2,rare(2-9)
ganDapattrikA,gandhapattrikā,Physalis flexuosa,Physalis flexuosa,63054,"345,1",L.,yes,2,rare(2-9)
ganDapattrikA,gandhapattrikā,Apium involucratum,Apium involucratum,63056,"345,1",L.,yes,2,rare(2-9)
ganDaparRa,gandhaparṇa,Alstonia scholaris,Alstonia scholaris,63057,"345,1",L.,yes,1,hapax(1)
ganDapalASI,gandhapalāśī,Curcuma amhaldi,Curcuma Amhaldi,63059,"345,1",L.,yes,2,rare(2-9)
ganDapalASI,gandhapalāśī,Zerumbet,Zerumbet,63059,"345,1",L.,yes,2,rare(2-9)
ganDapuzpa,gandhapuṣpa,Calamus rotang,Calamus Rotang,63069,"345,1",L.,yes,2,rare(2-9)
ganDapuzpa,gandhapuṣpa,Alangium hexapetalum,Alangium hexapetalum,63070,"345,2",L.,yes,2,rare(2-9)
ganDapuzpa,gandhapuṣpa,Cordia myxa,Cordia Myxa,63071,"345,2",,no,2,rare(2-9)
ganDapuzpA,gandhapuṣpā,Pandanus odoratissimus,Pandanus odoratissimus,63073,"345,2",,no,2,rare(2-9)
ganDapuzpA,gandhapuṣpā,Premna spinosa,Premna spinosa,63074,"345,2",L.,yes,2,rare(2-9)
ganDaPala,gandhaphala,Feronia elephantum,Feronia elephantum,63076,"345,2",L.,yes,2,rare(2-9)
ganDaPala,gandhaphala,Aegle marmelos,Aegle Marmelos,63077,"345,2",L.,yes,2,rare(2-9)
ganDaPalA,gandhaphalā,Trigonella foenum graecum,Trigonella foenum graecum,63080,"345,2",L.,yes,2,rare(2-9)
ganDaPalA,gandhaphalā,Batatas paniculata,Batatas paniculata,63081,"345,2",L.,yes,2,rare(2-9)
ganDaPalA,gandhaphalā,Olibanum,Olibanum,63082,"345,2",L.,yes,2,rare(2-9)
ganDabahala,gandhabahala,Ocimum,Ocimum,63086,"345,2",L.,yes,,
ganDabIjA,gandhabījā,Trigonella foenum graecum,Trigonella foenum graecum,63089,"345,2",L.,yes,1,hapax(1)
ganDamAMsI,gandhamāṃsī,Valeriana,Valeriana,63095,"345,2","VarBṛS. li, 15",no,,
ganDamUla,gandhamūla,Alpinia galanga,Alpinia Galanga,63122,"345,2",L.,yes,2,rare(2-9)
ganDamUlA,gandhamūlā,Olibanum,Olibanum,63123,"345,2",L.,yes,2,rare(2-9)
ganDamUlikA,gandhamūlikā,Emblica officinalis,Emblica officinalis,63128,"345,2",L.,yes,2,rare(2-9)
ganDamohinI,gandhamohinī,Michelia campaka,Michelia Campaka,63139,"345,2",L.,yes,,
ganDarasa,gandharasa,Gardenia florida,Gardenia florida,63146.3,"345,2",L.,yes,2,rare(2-9)
ganDavalkala,gandhavalkala,Cassia,cassia,63173,"345,2",L.,yes,,
ganDavalkala,gandhavalkala,Laurus cassia,Laurus Cassia,63173,"345,2",L.,yes,,
ganDavalkala,gandhavalkala,Sarsaparilla,Sarsaparilla,63174,"345,2",W.,no,,
ganDavfkzaka,gandhavṛkṣaka,Shorea robusta,Shorea robusta,63185,"345,3",L.,yes,1,hapax(1)
ganDAQyA,gandhāḍhyā,Paederia foetida,Paederia foetida,63212,"345,3",L.,yes,3,uncommon(10-99)
ganDAlA,gandhālā,Celtis orientalis,Celtis orientalis,63223,"345,3",L.,yes,,
ganDAlI,gandhālī,Paederia foetida,Paederia foetida,63225,"345,3",L.,yes,2,rare(2-9)
ganDAzwaka,gandhāṣṭaka,Agallochum,Agallochum,63228,"345,3",,no,2,rare(2-9)
ganDotkawa,gandhotkaṭa,Artemisia abrotanum,Artemisia Abrotanum,63235,"345,3",Bhpr.,no,2,rare(2-9)
ganDaka,gandhaka,Hyperanthera moringa,Hyperanthera Moringa,63246,"345,3",L.,yes,5,very-common(1000+)
ganDin,gandhin,Xanthophyllum virens,Xanthophyllum virens,63266,"345,3",L.,yes,3,uncommon(10-99)
ganDolI,gandholī,Paederia foetida,Paederia foetida,63272,"345,3",L.,yes,2,rare(2-9)
ganDolI,gandholī,Cyperus rotundus,Cyperus rotundus,63273,"345,3",L.,yes,2,rare(2-9)
ganDarvanagara,gandharvanagara,Fata morgana,Fata Morgana,63304,"346,2","Pāṇ. iv, 1, 3; Kār.; VarBṛS. xxx",no,3,uncommon(10-99)
ganDarvapura,gandharvapura,Fata morgana,Fata Morgana,63310,"346,2",VarBṛS.; BhP. v.,no,2,rare(2-9)
gamBArI,gambhārī,Gmelina arborea,Gmelina arborea,63677,"348,1",L.,yes,2,rare(2-9)
garA,garā,Andropogon serratus,Andropogon serratus,63724,"348,2",L.,yes,,
garaGna,garaghna,Ocimum,Ocimum,63735,"348,2",L.,yes,2,rare(2-9)
garadruma,garadruma,Strychnos nux vomica,Strychnos nux vomica,63741,"348,2",L.,yes,1,hapax(1)
garAgarI,garāgarī,Lipeocercis serrata,Lipeocercis serrata,63744,"348,2","Car. vii, 2, 1; viii, 11, 10.",no,2,rare(2-9)
garAtmaka,garātmaka,Hyperanthera moringa,Hyperanthera Moringa,63745,"348,2",L.,yes,,
garala,garala,Aconitum ferox,Aconitum ferox,63752,"348,3",L.,yes,3,uncommon(10-99)
garjAPala,garjāphala,Asteracantha longifolia,Asteracantha Longifolia,63874,"349,1",,no,1,hapax(1)
gardaBa,gardabha,Embelia ribes,Embelia Ribes,63921,"349,2",L.,yes,3,uncommon(10-99)
gardaBavallI,gardabhavallī,Clerodendrum siphonanthus,Clerodendrum Siphonanthus,63931,"349,2",Gal.,no,,
gardaBARqa,gardabhāṇḍa,Ficus infectoria,Ficus infectoria,63936,"349,2",L.,yes,2,rare(2-9)
gardaBARqaka,gardabhāṇḍaka,Thespesia populneoides,Thespesia populneoides,63938,"349,2",L.,yes,,
garBakara,garbhakara,Nageia putraṃjīva,Nageia Putraṃjīva,63977,"349,3",Bhpr.,no,1,hapax(1)
garBaGAtinI,garbhaghātinī,Methonica superba,Methonica superba,63998,"349,3",L.,yes,,
garBapAtaka,garbhapātaka,Moringa,Moringa,64039,"349,3",L.,yes,,
garBasrAvin,garbhasrāvin,Phoenix paludosa,Phoenix paludosa,64105,"350,1",L.,yes,2,rare(2-9)
gala,gala,Shorea robusta,Shorea robusta,64199,"350,3",L.,yes,4,common(100-999)
gala,gala,Saccharum cylindricum,Saccharum cylindricum,64202,"350,3",L.,yes,4,common(100-999)
galA,galā,Mimosa pudica,Mimosa pudica,64204,"350,3",L.,yes,1,hapax(1)
gavAkza,gavākṣa,Cucumis maderaspatanus,Cucumis maderaspatanus,64348,"351,2","L.; L.; L.; Car. vi, 4, 53; Suśr. i; iv ff.",no,3,uncommon(10-99)
gavAkza,gavākṣa,Cucumis coloquintida,Cucumis coloquintida,64348,"351,2","L.; L.; L.; Car. vi, 4, 53; Suśr. i; iv ff.",no,3,uncommon(10-99)
gavAkza,gavākṣa,Clitoria ternatea,Clitoria Ternatea,64348,"351,2","L.; L.; L.; Car. vi, 4, 53; Suśr. i; iv ff.",no,3,uncommon(10-99)
gavAkzin,gavākṣin,Trophis aspera,Trophis aspera,64356,"351,2",L.,yes,2,rare(2-9)
gavAdanI,gavādanī,Cucumis coloquintida,Cucumis coloquintida,64362,"351,2",L.,yes,2,rare(2-9)
gavAdanI,gavādanī,Clitoria ternatea,Clitoria Ternatea,64363,"351,2",L.,yes,2,rare(2-9)
gaveSakA,gaveśakā,Hedysarum lagopodioides,Hedysarum lagopodioides,64382,"351,2",L.,yes,,
gavIDuka,gavīdhuka,Coix barbata,Coix barbata,64433,"351,3","TS. v, 4, 3, 2",no,,
gavIDukayavAgU,gavīdhukayavāgū,Coix barbata,Coix barbata,64436,"351,3","TS. v, 4, 3, 2.",no,,
gaveDukA,gavedhukā,Sida alba,Sida alba,64445,"351,3",Bhpr.,no,2,rare(2-9)
gaveDukAsaktu,gavedhukāsaktu,Coix barbata,Coix barbata,64447,"351,3","ŚBr. ix, 1, 1, 8; KātyŚr.",no,,
gahvarA,gahvarā,Embelia ribes,Embelia Ribes,64481,"352,1",L.,yes,2,rare(2-9)
gahvara,gahvara,Abrus precatorius,Abrus precatorius,64489,"352,1",L.,yes,3,uncommon(10-99)
gAyatrI,gāyatrī,Acacia catechu,Acacia Catechu,64623,"352,3",L.,yes,4,common(100-999)
gAyatrisAra,gāyatrisāra,Catechu,Catechu,64632,"352,3","Suśr. vi, 41, 50; 52, 22.",no,,
gAyatrisAra,gāyatrisāra,Terra japonica,Terra japonica,64632,"352,3","Suśr. vi, 41, 50; 52, 22.",no,,
gAyatrin,gāyatrin,Acacia catechu,Acacia Catechu,64634,"352,3",L.,yes,2,rare(2-9)
gANgeya,gāṅgeya,Scirpus kysoor,Scirpus Kysoor,64688,"353,1","Suśr. vi, 17, 15; 39, 94",no,4,common(100-999)
gANgeya,gāṅgeya,Cyperus,Cyperus,64688,"353,1","Suśr. vi, 17, 15; 39, 94",no,4,common(100-999)
gANgerukI,gāṅgerukī,Uraria lagopodioides,Uraria lagopodioides,64691,"353,1",,no,2,rare(2-9)
gANgezWI,gāṅgeṣṭhī,Guilandina bonducella,Guilandina Bonducella,64692,"353,1",L.,yes,,
gARqIvin,gāṇḍīvin,Terminalia arjuna,Terminalia Arjuna,64741,"353,2",L.,yes,2,rare(2-9)
gAnDArI,gāndhārī,Alhagi maurorum,Alhagi Maurorum,64819,"353,3",L.,yes,4,common(100-999)
gAnDArikA,gāndhārikā,Alhagi maurorum,Alhagi Maurorum,64825,"353,3",Nirṇayas.,no,1,hapax(1)
gAraka,gāraka,Eclipta prostrata,Eclipta prostrata,64867,"354,1",Gal.,no,,
gAlava,gālava,Symplocos racemosa,Symplocos racemosa,64996,"354,3",L.,yes,4,common(100-999)
gIrlatA,gīrlatā,Cardiospermum halicacabum,Cardiospermum Halicacabum,65088,"355,1",L.,yes,1,hapax(1)
girikadamba,girikadamba,Kadamba,Kadamba,65119,"355,2",L.,yes,,
girikarRA,girikarṇā,Clitoria ternatea,Clitoria Ternatea,65123,"355,2",L.,yes,,
girikarRikA,girikarṇikā,Achyranthes,Achyranthes,65126,"355,2",L.,yes,3,uncommon(10-99)
girikarRI,girikarṇī,Alhagi maurorum,Alhagi Maurorum,65128,"355,2",L.,yes,3,uncommon(10-99)
girija,girija,Mahwa,Mahwa,65145,"355,2",L.,yes,3,uncommon(10-99)
girija,girija,Bassia,Bassia,65145,"355,2",L.,yes,3,uncommon(10-99)
girija,girija,Bauhinia variegata,Bauhinia variegata,65146,"355,2",L.,yes,3,uncommon(10-99)
girija,girija,Benzoin,benzoin,65153,"355,2",W.,no,3,uncommon(10-99)
girija,girija,Benjamin,benjamin,65153,"355,2",W.,no,3,uncommon(10-99)
girinimba,girinimba,Nimba,Nimba,65188,"355,2",L.,yes,1,hapax(1)
giripIlu,giripīlu,Grewia asiatica,Grewia asiatica,65191,"355,3",L.,yes,1,hapax(1)
giripuzpaka,giripuṣpaka,Benzoin,benzoin,65193,"355,3",L.,yes,1,hapax(1)
giriBid,giribhid,Plectranthus scutellarioides,Plectranthus scutellarioides,65202,"355,3",Bhpr.,no,1,hapax(1)
girimallikA,girimallikā,Wrightia antidysenterica,Wrightia antidysenterica,65206,"355,3","Car. vii, 5.",no,2,rare(2-9)
girimeda,girimeda,Vachellia farnesiana,Vachellia farnesiana,65213,"355,3",L.,yes,,
giloqya,giloḍya,Nymphaea,Nymphaea,65287,"356,1","Car. i, 27; Suśr.",no,1,hapax(1)
guggulu,guggulu,Amyris agallochum,Amyris Agallochum,65348,"356,2","AV.; xix, 38, 2; Kauś.; ĀśvŚr. xi, 6, 3",no,4,common(100-999)
gugguludru,gugguludru,Moringa,Moringa,65352,"356,2",L.,yes,,
gucCadantikA,gucchadantikā,Musa sapientum,Musa sapientum,65363,"356,2",L.,yes,1,hapax(1)
gucCapuzpa,gucchapuṣpa,Alstonia scholaris,Alstonia scholaris,65365,"356,2",L.,yes,1,hapax(1)
gucCapuzpI,gucchapuṣpī,Grislea tomentosa,Grislea tomentosa,65366,"356,2",L.,yes,1,hapax(1)
gucCaPala,gucchaphala,Strychnos potatorum,Strychnos potatorum,65370,"356,2",L.,yes,2,rare(2-9)
gucCaPala,gucchaphala,Mimusops hexandra,Mimusops hexandra,65371,"356,2",L.,yes,2,rare(2-9)
gucCaPalA,gucchaphalā,Solanum indicum,Solanum indicum,65374,"356,2",L.,yes,2,rare(2-9)
gucCaPalA,gucchaphalā,Solanum jacquini,Solanum Jacquini,65375,"356,2",L.,yes,2,rare(2-9)
gucCamUlikA,gucchamūlikā,Scirpus kysoor,Scirpus Kysoor,65378,"356,2",L.,yes,,
gucCAla,gucchāla,Andropogon schoenanthus,Andropogon Schoenanthus,65388,"356,2",L.,yes,,
guYjA,guñjā,Abrus precatorius,Abrus precatorius,65397,"356,2",Suśr.; VarBṛS.; Pañcat.,no,4,common(100-999)
guYjA,guñjā,Abrus precatorius,Abrus precatorius,65398,"356,2","L.; Yājñ. iii, 273; Cāṇ.; VarBṛS.",no,4,common(100-999)
guYjikA,guñjikā,Abrus precatorius,Abrus precatorius,65404,"356,2",L.,yes,2,rare(2-9)
guqa,guḍa,Euphorbia antiquorum,Euphorbia antiquorum,65430,"356,3",L.,yes,4,common(100-999)
guqA,guḍā,Euphorbia antiquorum,Euphorbia antiquorum,65434,"356,3","Car. vii, 10",no,2,rare(2-9)
guqatvac,guḍatvac,Laurus cassia,Laurus Cassia,65442,"356,3",Bhpr.,no,1,hapax(1)
guqapuzpa,guḍapuṣpa,Bassia latifolia,Bassia latifolia,65451,"356,3",L.,yes,2,rare(2-9)
guqapuzpa,guḍapuṣpa,Bassia,Bassia,65451,"356,3",L.,yes,2,rare(2-9)
guqaPala,guḍaphala,Careya arborea,Careya arborea,65453,"356,3",L.,yes,2,rare(2-9)
guqaPala,guḍaphala,Salvadora persica,Salvadora persica,65453,"356,3",L.,yes,2,rare(2-9)
guqamUla,guḍamūla,Amaranthus polygamus,Amaranthus polygamus,65459,"356,3",L.,yes,1,hapax(1)
guqaSigru,guḍaśigru,Moringa,Moringa,65463,"356,3",L.,yes,,
guqaharItakI,guḍaharītakī,Myrobalan,myrobalan,65465,"356,3","Suśr. iv, 5, 10; 14, 8",no,2,rare(2-9)
guqUcI,guḍūcī,Cocculus cordifolius,Cocculus cordifolius,65496,"357,1","Suśr. i, 12; 25; 38; ii, 1, 126",no,4,common(100-999)
guRA,guṇā,Sanseviera roxburghiana,Sanseviera Roxburghiana,65524,"357,1",L.,yes,1,hapax(1)
guRAQyaka,guṇāḍhyaka,Alangium decapetalum,Alangium decapetalum,65714,"358,1",L.,yes,1,hapax(1)
guRqa,guṇḍa,Scirpus kysoor,Scirpus Kysoor,65828,"358,2",L.,yes,2,rare(2-9)
guRqakanda,guṇḍakanda,Scirpus kysoor,Scirpus Kysoor,65830,"358,2",L.,yes,1,hapax(1)
guRqra,guṇḍra,Cyperus,Cyperus,65849,"358,3","VarBṛS. liv, 100",no,,
gutsakapuzpa,gutsakapuṣpa,Alstonia scholaris,Alstonia scholaris,65858,"358,3",L.,yes,,
gundra,gundra,Saccharum sara,Saccharum Sara,65889,"358,3",L.,yes,1,hapax(1)
gundra,gundra,Cyperus pertenuis,Cyperus pertenuis,65891,"358,3",L.,yes,1,hapax(1)
gundrA,gundrā,Typha angustifolia,Typha angustifolia,65892,"358,3",Suśr.; Bhpr.,no,3,uncommon(10-99)
gundrA,gundrā,Cyperus rotundus,Cyperus rotundus,65893,"358,3",L.,yes,3,uncommon(10-99)
gundrA,gundrā,Coix barbata,Coix barbata,65894,"358,3",L.,yes,3,uncommon(10-99)
gundraPalA,gundraphalā,Aglaia roxburghiana,Aglaia Roxburghiana,65896,"358,3",Bhpr.,no,,
guptA,guptā,Mucuna pruritus,Mucuna pruritus,65912,"359,1","Suśr. iv, 26, 33; vi, 46, 21",no,2,rare(2-9)
guptasnehA,guptasnehā,Alangium hexapetalum,Alangium hexapetalum,65937,"359,1",L.,yes,,
guru,guru,Mucuna pruritus,Mucuna pruritus,66006,"359,2",L.,yes,5,very-common(1000+)
gulA,gulā,Tithymalus antiquorum,Tithymalus antiquorum,66189,"360,1",L.,yes,,
gulmI,gulmī,Myrobalan,Myrobalan,66232,"360,2",L.,yes,,
gulmavallI,gulmavallī,Sarcostemma viminale,Sarcostemma viminale,66243,"360,2",L.,yes,2,rare(2-9)
guhA,guhā,Hemionitis cordifolia,Hemionitis cordifolia,66269,"360,3","Suśr. i, 19, 27; v, 7, 1",no,4,common(100-999)
guhA,guhā,Desmodium gangeticum,Desmodium gangeticum,66270,"360,3",L.,yes,4,common(100-999)
guhyapattra,guhyapattra,Ficus religiosa,Ficus religiosa,66323,"360,3",Npr.,no,,
guhyabIja,guhyabīja,Andropogon schoenanthus,Andropogon Schoenanthus,66327,"360,3",L.,yes,1,hapax(1)
gUQapattra,gūḍhapattra,Capparis aphylla,Capparis aphylla,66350,"361,1",L.,yes,2,rare(2-9)
gUQapuzpaka,gūḍhapuṣpaka,Mimusops elengi,Mimusops Elengi,66358,"361,1",L.,yes,1,hapax(1)
gUQamallikA,gūḍhamallikā,Alangium hexapetalum,Alangium hexapetalum,66361,"361,1",L.,yes,2,rare(2-9)
gfDranaKI,gṛdhranakhī,Asteracantha longifolia,Asteracantha longifolia,66466,"361,3",Suśr. i,no,2,rare(2-9)
gfhakanyA,gṛhakanyā,Aloe perfoliata,Aloe perfoliata,66515,"361,3",Bhpr.,no,3,uncommon(10-99)
gfhakUlaka,gṛhakūlaka,Trichosanthes anguina,Trichosanthes anguina,66533,"362,1",Bhpr.,no,,
gfhadruma,gṛhadruma,Odina pennata,Odina pennata,66566,"362,1",L.,yes,1,hapax(1)
gfhadruma,gṛhadruma,Tectona grandis,Tectona grandis,66567,"362,1",L.,yes,1,hapax(1)
gfhabaliBuj,gṛhabalibhuj,Ardea nivea,Ardea nivea,66594,"362,1",Megh. 24.,no,,
gfzwi,gṛṣṭi,Gmelina arborea,Gmelina arborea,66800,"363,1",L.,yes,3,uncommon(10-99)
gfzwi,gṛṣṭi,Dioscorea,Dioscorea,66801,"363,1",L.,yes,3,uncommon(10-99)
gErI,gairī,Methonica superba,Methonica superba,66866,"363,2",L.,yes,2,rare(2-9)
