whitney_id,root,in_MW,mw_L,mw_classes,dcs_status,dcs_freq
557,mid,no,,,unmatched,0
558,mil,yes,164465,"6P,6Ā",matched,346
559,miṣ,yes,164547,6P,matched,83
560,mih,yes,164576,"1P,1Ā",matched,70
561,mī,yes,164607,"9P,9Ā",matched,103
562,mīl,yes,164715,"1P,1Ā",matched,6
563,mīv,yes,164724,1P,matched,0
564,muc,yes,165082,"6P,6Ā",matched,3850
565,muṭ,yes,165355,"1,6,10P",unmatched,0
566,mud,yes,165450,"1Ā,1P",matched,612
567,muṣ,yes,165859,"9,1P,6P",matched,162
568,muh,yes,166006,"4P,4Ā",matched,1103
569,mū,no,,,unmatched,0
570,mūrch,yes,165763,1P,matched,189
571,1 mṛ,yes,166607,"6Ā,6P,1P,1Ā",homonym_shared,2615
572,2 mṛ,yes,166607,"6Ā,6P,1P,1Ā",homonym_shared,2615
573,mṛkṣ,yes,168873,"1P,10",matched,1
574,mṛc,yes,167114,"10P,4P",matched,1
575,mṛch,yes,167120,6Ā,matched,2
576,mṛj,yes,167121,"2P,2Ā,6P,6Ā,1P,1Ā,10",matched,298
577,mṛḍ,yes,167161,"6P,6Ā,9P,10",matched,131
578,mṛṇ,no,,,matched,28
579,mṛd,yes,167219,"9P,1P,1Ā",matched,692
580,mṛdh,yes,167410,"1P,1Ā,6P,6Ā",matched,22
581,mṛś,yes,167423,"6P,6Ā",matched,33
582,mṛṣ,yes,167430,"4P,4Ā,1P,1Ā,10",matched,150
583,med,yes,164438,"1Ā,4P,10P",matched,9
584,mokṣ,no,,,matched,3
585,mnā,yes,168870,1P,matched,2
586,myakṣ,yes,168872,1P,matched,13
587,mrad,no,,,matched,1
588,mrit,yes,168890,4P,matched,1
589,mruc,yes,168901,1P,matched,3
590,mreḍ,yes,168896,1P,matched,0
591,mlā,yes,168938,1P,matched,89
592,mluc,no,,,unmatched,0
593,mlup,no,,,unmatched,0
594,mlech,yes,168905,"1P,10P",matched,2
595,yakṣ,yes,169014,"1P,1Ā,10Ā",matched,1
596,yach,no,,,homonym_shared,1093
597,yaj,yes,169114,"1P,1Ā",matched,6755
598,yat,yes,169552,"1Ā,1P,10Ā,10P",matched,548
599,yabh,yes,170253,"1P,1Ā",matched,1
600,yam,yes,170258,"1P,1Ā",homonym_shared,1093
601,yas,yes,171002,4P,matched,2
602,yah,no,,,unmatched,0
603,yā,yes,171018,2P,matched,5649
604,yāc,yes,171236,"1P,1Ā",matched,755
605,yād,yes,171383,0Ā,matched,5
606,1 yu,yes,171682,"3P,3Ā",homonym_shared,199
607,2 yu,yes,171682,"3P,3Ā",homonym_shared,199
608,yuj,yes,171731,"7P,7Ā",matched,5933
609,yudh,yes,172012,"4Ā,4P,1P",matched,1267
610,yup,yes,172139,4P,matched,11
611,yeṣ,no,,,matched,2
612,raṃh,yes,173028,"1P,1Ā,10P",matched,11
613,rakṣ,yes,173050,"1P,1Ā",matched,1929
614,raṅg,yes,173261,1P,unmatched,0
615,rac,yes,173266,10P,matched,1
616,1 raj,yes,173342,"1,4P,4Ā",unmatched,0
617,2 raj,yes,173342,"1,4P,4Ā",unmatched,0
618,rañch,no,,,unmatched,0
619,raṭ,yes,174063,1P,matched,10
620,raṇv,yes,174222,1P,matched,7
621,rad,yes,174789,"1P,1Ā",matched,34
622,radh,yes,174809,4P,matched,45
623,1 ran,yes,174075,"1,4P",homonym_shared,45
624,2 ran,yes,174075,"1,4P",homonym_shared,45
625,rap,yes,174860,1P,matched,11
626,rapś,yes,174863,,matched,5
627,raph,yes,174867,1P,unmatched,0
628,rabh,yes,174870,1Ā,matched,67
629,ram,yes,174928,"1Ā,1P",matched,1553
630,ramb,yes,175239,1Ā,unmatched,0
631,rambh,yes,175244,1Ā,unmatched,0
632,raś,no,,,unmatched,0
633,ras,yes,175478,"1P,1Ā",matched,51
634,rah,yes,175925,"1P,10P",matched,15
635,1 rā,yes,176008,"2P,2Ā",homonym_shared,214
636,2 rā,yes,176008,"2P,2Ā",homonym_shared,214
637,rāj,yes,176246,"1P,1Ā",matched,405
638,rādh,yes,177153,"5,4P",matched,240
639,1 rās,yes,177844,1Ā,unmatched,0
640,2 rās,yes,177844,1Ā,unmatched,0
641,ri,yes,178179,"9P,4P,4Ā",homonym_shared,60
642,rikh,yes,177953,"1P,6P",unmatched,0
643,riñkh,no,,,unmatched,0
644,ric,yes,177975,"7P,7Ā,1P,4Ā,10",matched,206
645,rip,yes,178040,,matched,3
646,riph,yes,178088,6P,matched,1
647,ribh,yes,178103,"1P,1Ā",matched,26
648,riś,yes,178131,6P,matched,2
649,riṣ,yes,178139,"1,4P",matched,257
650,rih,yes,178173,"6,2P,2Ā",matched,47
651,rī,no,,,homonym_shared,60
652,1 ru,yes,178213,2P,homonym_shared,86
653,2 ru,yes,178213,2P,homonym_shared,86
654,ruc,yes,178244,"1Ā,1P",matched,501
655,ruj,yes,178446,"6P,10",matched,129
656,ruṭh,yes,178489,"1P,1Ā",unmatched,0
657,rud,yes,178506,2P,matched,669
658,1 rudh,yes,178751,1P,homonym_shared,892
659,2 rudh,yes,178751,1P,homonym_shared,892
660,rup,yes,178856,4P,matched,6
661,ruṣ,yes,178916,"1,4P,4,10",matched,102
662,ruh,yes,178960,1P,matched,487
663,rūṣ,yes,179276,"1P,10P",unmatched,0
664,rej,yes,179363,"1P,1Ā",matched,40
665,reḍ,yes,179371,1Ā,unmatched,0
666,rebh,no,,,unmatched,0
667,lakṣ,yes,180331,"1Ā,1P,10P,10Ā",matched,39
668,lag,yes,180704,"1P,10",matched,236
669,laṅgh,yes,181121,"1P,1Ā,10P",matched,32
670,lajj,yes,181156,6Ā,matched,109
671,laḍ,yes,181234,"1P,10P",matched,7
672,lap,yes,181338,1P,matched,26
673,labh,yes,181359,1Ā,matched,3345
674,lam,yes,181467,0,unmatched,0
675,lamb,yes,181488,1Ā,matched,130
676,lal,yes,181587,"1P,1Ā",matched,101
677,laṣ,yes,181985,"1,4P,4Ā,10P",matched,0
678,las,yes,181992,"1P,10",matched,59
679,lā,yes,182054,2P,unmatched,0
680,lāñch,yes,182184,1P,unmatched,0
681,likh,yes,182337,"6P,6Ā",matched,509
682,lip,yes,182615,"6,1P,1Ā",matched,778
683,liś,yes,182704,"4Ā,6P",matched,7
684,lih,yes,182726,"2P,2Ā",matched,405
685,1 lī,yes,182753,"9P,1P,4Ā,4P",homonym_shared,268
686,2 lī,yes,182753,"9P,1P,4Ā,4P",homonym_shared,268
687,luñc,yes,182888,1P,matched,11
688,1 luṭh,yes,182907,"1P,1Ā,10P",homonym_shared,26
689,2 luṭh,yes,182907,"1P,1Ā,10P",homonym_shared,26
690,luḍ,yes,182922,"1P,6P",matched,1
691,lup,yes,182956,"6P,6Ā,4P,4Ā",matched,117
692,lubh,yes,183010,"6P,4P",matched,325
693,lul,yes,183058,"1P,1Ā",matched,42
694,lū,yes,183125,"9P,9Ā",matched,81
695,lok,yes,183229,"1Ā,10",matched,0
696,loc,yes,183561,"1Ā,10P",unmatched,0
697,vak,no,,,unmatched,0
698,vakṣ,yes,184521,1P,matched,45
699,vac,yes,184615,"2P,3P,3Ā",matched,33948
700,vaj,yes,184793,"1P,10P",matched,0
701,vañc,yes,184348,1Ā,matched,24
702,vaṇṭ,yes,185343,"1,10P",matched,1
703,vat,no,,,matched,4
704,vad,yes,185521,"1P,1Ā",matched,3914
705,vadh,yes,185579,,matched,1236
706,van,yes,185710,"1P,8P,8Ā",matched,220
707,vand,yes,186179,1Ā,matched,632
708,1 vap,yes,186277,"1P,1Ā",homonym_shared,320
709,2 vap,yes,186277,"1P,1Ā",homonym_shared,320
710,vam,yes,186417,1P,matched,223
711,val,yes,188075,"1Ā,1P",matched,54
712,valg,yes,188205,"1P,1Ā",matched,42
713,valh,yes,188380,"1Ā,10P",matched,0
714,vaś,yes,188394,"2P,1,3",matched,302
715,1 vas,yes,188560,6P,homonym_shared,2538
716,2 vas,yes,188560,6P,homonym_shared,2538
717,3 vas,yes,188560,6P,homonym_shared,2538
718,vah,yes,189238,"1P,1Ā",homonym_shared,1845
719,1 vā,yes,189436,2P,homonym_shared,298
720,2 vā,yes,189436,2P,homonym_shared,298
721,3 vā,yes,189436,2P,homonym_shared,298
722,vāñch,yes,190461,1P,matched,180
723,vāś,yes,192249,4Ā,matched,73
724,vāh,yes,192697,1Ā,homonym_shared,1845
725,1 vic,yes,194682,"7P,7Ā,3",homonym_shared,8
726,2 vic,yes,194682,"7P,7Ā,3",homonym_shared,8
727,vij,yes,194956,"6Ā,1P,3P,3Ā",matched,27
728,1 vid,yes,195626,2P,homonym_shared,11314
729,2 vid,yes,195626,2P,homonym_shared,11314
730,1 vidh,yes,196453,6P,homonym_shared,209
731,2 vidh,yes,196453,6P,homonym_shared,209
732,vindh,yes,197339,0Ā,unmatched,0
733,vip,yes,197416,1Ā,matched,156
734,viś,yes,200376,"6P,6Ā",matched,1053
735,viṣ,yes,201614,"3P,1P,3",matched,29
736,viṣṭ,yes,206478,1Ā,matched,2
737,vī,yes,203329,"2P,2Ā",matched,770
738,vīj,yes,203453,"1P,1Ā,10",matched,5
739,vīḍ,yes,203469,"0P,0Ā",matched,0
740,1 vṛ,yes,203978,"5,9,1P,1Ā",homonym_shared,2083
741,2 vṛ,yes,203978,"5,9,1P,1Ā",homonym_shared,2083
742,vṛṃh,yes,146435,"1P,1Ā,10P",unmatched,0
743,vṛj,yes,204309,"1,7P,2Ā",matched,283
744,vṛt,yes,204340,1Ā,matched,2479
745,vṛdh,yes,204573,"1Ā,1P,10",matched,1619
746,vṛṣ,yes,204858,"1P,1Ā",matched,580
747,vṛh,yes,146034,6P,matched,54
748,ven,yes,206222,1P,matched,19
749,vell,yes,206315,1P,matched,11
750,veṣṭ,no,,,matched,43
751,vyac,yes,208354,"6P,3",matched,20
752,vyaj,no,,,matched,0
753,vyath,yes,208633,1Ā,matched,397
754,vyadh,yes,208671,"4P,4Ā",matched,1636
755,vyay,yes,208870,"1P,1Ā,10P",unmatched,0
756,vyā,yes,210345,"1P,1Ā",aliased,46
757,vraj,yes,210432,"1P,10P",matched,1202
758,vrad,yes,210707,0Ā,matched,1
759,vran,yes,210509,1P,unmatched,0
760,vraśc,yes,210711,6P,matched,145
761,vrādh,yes,210761,0,matched,10
762,vrīḍ,yes,210765,"1Ā,4P,10P",matched,84
763,vruḍ,yes,210816,6P,unmatched,0
764,vlag,no,,,matched,0
765,vlī,yes,210822,9P,matched,18
766,śaṃs,yes,210841,"1P,1Ā",matched,1785
767,śak,yes,210897,5P,matched,1952
768,śaṅk,yes,211426,"1Ā,1P",matched,273
769,śat,no,,,unmatched,0
770,1 śad,yes,212483,"1,6Ā,6P",homonym_shared,19
771,2 śad,yes,212483,"1,6Ā,6P",homonym_shared,19
772,śap,yes,212543,"1,4P,4Ā",matched,484
773,1 śam,yes,212911,"4P,9",homonym_shared,1159
774,2 śam,yes,212911,"4P,9",homonym_shared,1159
775,3 śam,yes,212911,"4P,9",homonym_shared,1159
776,śal,yes,214062,"1Ā,1P,10Ā",unmatched,0
777,śaś,yes,214294,1P,unmatched,0
778,śas,yes,214531,1P,matched,2
779,śā,yes,216481,"3P,5P,5Ā",matched,519
780,1 śās,yes,216290,2P,homonym_shared,533
781,2 śās,yes,216290,2P,homonym_shared,533
782,śikṣ,no,,,matched,345
783,śiṅgh,yes,216828,1P,unmatched,0
784,śiñj,yes,216845,"2Ā,1,10Ā",matched,12
785,śip,no,,,unmatched,0
786,śim,no,,,matched,9
787,śiṣ,yes,218104,"7P,10",matched,194
788,1 śī,yes,218170,"2Ā,1",homonym_shared,1116
789,2 śī,yes,218170,"2Ā,1",homonym_shared,1116
790,śuc,yes,219184,"1P,4P,4Ā",matched,777
791,śuj,yes,219308,0,matched,2
792,śudh,yes,219366,"1P,1Ā,4P,4Ā",matched,2410
793,śubh,yes,219616,"1Ā,6P,6Ā",matched,547
794,1 śuṣ,yes,219943,4P,homonym_shared,166
795,2 śuṣ,yes,219943,4P,homonym_shared,166
796,śū,yes,224480,1P,unmatched,0
797,1 śṛ,yes,220783,"9P,9Ā",homonym_shared,278
798,2 śṛ,yes,220783,"9P,9Ā",homonym_shared,278
799,3 śṛ,yes,220783,"9P,9Ā",homonym_shared,278
800,śṛdh,yes,220772,"1P,1Ā",matched,23
801,ścand,yes,71529,1,unmatched,0
802,ścam,no,,,matched,1
803,ścut,yes,221945,1P,matched,13
804,śnath,yes,221953,1P,matched,21
805,śyā,yes,222309,"1P,1Ā",matched,6
806,śrath,yes,222382,"9P,9Ā",matched,16
807,śran,yes,222320,"1P,10P",unmatched,0
808,śram,yes,222401,4P,matched,382
809,śrambh,yes,222476,1Ā,matched,0
810,śrā,yes,222686,"1,4P,2P",unmatched,0
811,śri,yes,222829,"1P,1Ā",matched,451
812,śriṣ,no,,,matched,2
813,1 śrī,yes,222857,"9P,9Ā",homonym_shared,644
814,2 śrī,yes,222857,"9P,9Ā",homonym_shared,644
815,śru,yes,223393,"5P,5Ā",matched,10505
816,śruṣ,no,,,matched,6
817,ślath,no,,,matched,2
818,ślā,no,,,unmatched,0
819,ślāgh,yes,224011,1Ā,matched,186
820,śliṣ,yes,224043,"4P,4Ā",matched,92
821,śvañc,yes,224190,1Ā,matched,0
822,śvas,yes,224373,2P,matched,154
823,śvā,no,,,unmatched,0
824,śvit,yes,224494,1Ā,matched,6
825,ṣṭhīv,yes,225563,"1,4P",matched,18
826,sakṣ,yes,227845,1P,unmatched,0
827,sagh,yes,227922,5P,matched,13
828,sac,yes,228852,"1Ā,1P",matched,323
829,saj,yes,229218,"1P,1Ā",unmatched,0
830,sad,yes,230505,"1,6P",matched,953
831,san,yes,231023,"1P,8P,8Ā",matched,196
832,sap,yes,232210,"1P,1Ā",matched,23
833,sarj,yes,237906,1P,matched,3
834,saśc,no,,,unmatched,0
835,sas,yes,239787,2P,matched,23
836,sah,yes,239967,"1Ā,10",matched,791
837,1 sā,yes,243722,"5,9P,9Ā",homonym_shared,75
838,2 sā,yes,243722,"5,9P,9Ā",homonym_shared,75
839,sādh,yes,241500,"1P,1Ā,4,5",matched,86
840,si,no,,,matched,13
841,sic,yes,244032,"6P,6Ā",matched,687
842,1 sidh,yes,244298,1P,homonym_shared,2028
843,2 sidh,yes,244298,1P,homonym_shared,2028
844,sī,no,,,unmatched,0
845,sīv,yes,244996,4P,matched,67
846,su,no,,,matched,878
847,sul,no,,,unmatched,0
848,subh,yes,248170,"9,6P,1",matched,3
849,sū,yes,245237,"1,2P",matched,532
850,sūd,yes,251301,"1Ā,10",matched,13
851,sūrkṣ,yes,251816,1P,matched,13
852,sṛ,yes,251838,"1,3P,3Ā,10P,10Ā",matched,204
853,sṛk,no,,,unmatched,0
854,sṛj,yes,251924,"6P,6Ā",matched,2749
855,sṛp,yes,252008,1P,matched,192
856,sev,yes,252262,1Ā,matched,1328
857,skand,yes,254077,"1P,1Ā",matched,247
858,skambh,yes,254241,"5,9P,1Ā",matched,20
859,sku,yes,254257,"5,9P,9Ā",matched,1
860,skṛ,no,,,unmatched,0
861,skhal,yes,254272,1P,matched,118
862,stan,yes,254307,1P,matched,20
863,stambh,yes,254463,"5,9P,1Ā",matched,291
864,stā,yes,254884,1P,unmatched,0
865,stigh,yes,254590,"5P,5Ā",matched,0
866,stim,yes,254599,4P,unmatched,0
867,1 stu,yes,254632,"2P,2Ā",homonym_shared,2204
868,2 stu,yes,254632,"2P,2Ā",homonym_shared,2204
869,stubh,yes,254799,"1P,1Ā",matched,55
870,stṛ,yes,254842,"5,9P,9Ā,5P,5Ā",matched,334
871,stṛh,yes,254870,6P,matched,1
872,styā,yes,254911,"1P,1Ā",unmatched,0
873,sthag,yes,255154,1P,unmatched,0
874,sthā,yes,255316,"1P,1Ā",matched,9268
875,snā,yes,256200,"2P,4P,4Ā",matched,1648
876,snih,yes,256298,"4P,1P,10P",matched,125
877,snu,yes,256456,2P,matched,3
878,spand,yes,256488,1Ā,matched,52
879,spaś,no,,,unmatched,0
880,spūrdh,no,,,unmatched,0
881,spṛ,yes,256588,5P,matched,160
882,spṛdh,yes,256521,"1Ā,1P",matched,186
883,spṛś,yes,256602,6P,matched,1059
884,spṛh,yes,256712,10P,matched,34
885,sphaṭ,yes,256740,"1P,10P",unmatched,0
886,sphar,no,,,matched,1
887,sphal,yes,256804,1P,unmatched,0
888,sphā,yes,256812,1Ā,unmatched,0
889,sphuṭ,yes,256860,"6P,1P,1Ā",matched,154
890,sphur,no,,,matched,357
891,sphūrj,yes,257031,1P,matched,10
892,sphṛ,yes,256968,6P,unmatched,0
893,smi,yes,257075,1Ā,matched,227
894,smṛ,yes,257112,"1P,1Ā",matched,4142
895,syand,yes,257403,1Ā,matched,106
896,sraṃs,yes,257528,1Ā,matched,133
897,sridh,yes,257614,1P,matched,12
898,srīv,yes,257618,4P,unmatched,0
899,sru,yes,257621,1P,matched,538
900,svaj,yes,258776,1Ā,matched,39
901,svad,yes,258787,"1Ā,1P",matched,81
902,svan,yes,258909,1P,matched,19
903,svap,yes,258948,2P,matched,1100
904,svar,yes,259868,1P,matched,39
905,svād,no,,,matched,1
906,svid,yes,259802,"1Ā,1P",matched,369
907,had,yes,260291,"1P,1Ā",unmatched,0
908,han,yes,260297,"2P,2Ā,1",matched,8744
909,har,no,,,homonym_shared,2792
910,has,yes,262056,1P,matched,419
911,1 hā,yes,262501,3Ā,homonym_shared,2739
912,2 hā,yes,262501,3Ā,homonym_shared,2739
913,hās,no,,,matched,3
914,hi,yes,262717,"5P,5Ā",matched,224
915,hiṃs,yes,262731,"1,7P,7Ā,10P",matched,788
916,hikk,yes,262789,"1P,1Ā",matched,2
917,hiṇḍ,yes,262850,1Ā,matched,2
918,hīḍ,yes,263406,"0P,0Ā",matched,29
919,hu,yes,263443,"3P,3Ā",matched,6418
921,hū,yes,264875,"1P,1Ā",unmatched,0
922,hūrch,yes,263569,1P,matched,1
923,1 hṛ,yes,263626,"1P,1Ā",homonym_shared,2792
924,2 hṛ,yes,263626,"1P,1Ā",homonym_shared,2792
925,hṛṣ,yes,263915,"1P,1Ā,4P",matched,1147
926,heṭh,yes,263975,"1P,1Ā,9P",unmatched,0
927,heḍ,no,,,unmatched,0
928,heṣ,yes,264415,1Ā,matched,26
929,hnu,yes,264643,2Ā,matched,6
930,hras,yes,264681,"1P,1Ā",matched,28
931,hrād,yes,264747,1Ā,matched,0
932,hrī,yes,264772,3P,matched,28
934,hreṣ,yes,264815,"1Ā,1P",matched,2
935,hlād,yes,264827,1Ā,matched,3
936,hval,yes,264858,1P,matched,13
937,hvṛ,yes,264806,9P,matched,48
