<L>831<pc>4,3	agastyasaMhitA	ag/stya—saMhitA	agstyasaMhitA
<L>180197.20<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.24<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.28<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.32<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.36<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.40<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.44<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.48<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.84<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.88<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.92<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>183293<pc>906,2	lokaDAtf	loka—DAtrI	lokaDAtrI
<L>183707<pc>908,2	lomaSA	lomaS/	lomaS
<L>186226<pc>919,2	vanditf	vanditf/,va/nditf	vanditfvanditf
<L>186289<pc>919,3	vaptf	vaptf/,va/ptf	vaptfvaptf
<L>186345<pc>920,1	vapuzwara	va/puz—wara,vapu/z—wara	vapuzwaravapuzwara
<L>186643<pc>921,2	varimat	varima/t,va/rimat	varimatvarimat
<L>186645<pc>921,2	variman	varima/n,va/riman	varimanvariman
<L>188041<pc>927,2	varzya	varzya^,va/rzya	varzyavarzya
<L>188644<pc>930,2	vasantA	vasa/ntA,vasantA/	vasantAvasantA
<L>188650<pc>930,2	vasA	va/sA,vasA/	vasAvasA
<L>192063<pc>946,1	vArzRa	vA/rzRa,vArzRa/	vArzRavArzRa
<L>192173<pc>946,3	vAlukI	vAluka	vAluka
<L>192174<pc>946,3	vAlukI	vAluka	vAluka
<L>193598<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.02<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.04<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.06<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.08<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.10<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.12<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.14<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.16<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.18<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>193598.20<pc>952,3	viSiKa	vi—SiKa/,vi/-SiKa	viSiKaviSiKa
<L>194958<pc>959,3	vigra	vi/gra,vigra/	vigravigra
<L>194959<pc>959,3	vigra	vi/gra,vigra/	vigravigra
<L>195242<pc>961,1	vijijYAsya	vi-jijYA/sya,vi-jijYAsya^	vijijYAsyavijijYAsya
<L>195261<pc>961,1	vijYAtavya	v/-jYAtavya	vjYAtavya
<L>195996<pc>965,1	vidAna	vi/dAna,vidAna/	vidAnavidAna
<L>195997<pc>965,1	vidAna	vi/dAna,vidAna/	vidAnavidAna
<L>195998<pc>965,1	vidAna	vi/dAna,vidAna/	vidAnavidAna
<L>196890<pc>969,3	vinA	vi/nA,vinA/	vinAvinA
<L>200007<pc>987,1	vivasvat	vi/-vasvat,vi-va/svat	vivasvatvivasvat
<L>203319<pc>1004,1	vihavya	vi-ha/vya,vi-havya^	vihavyavihavya
<L>203480<pc>1005,1	vIqupARi	vIqu—pARi/,vIqu/-pARi	vIqupARivIqupARi
<L>204316<pc>1009,1	vfjana	vfja/na,vf/jana	vfjanavfjana
<L>204316.1<pc>1009,1	vfjana	vfja/na,vf/jana	vfjanavfjana
<L>204316.2<pc>1009,1	vfjana	vfja/na,vf/jana	vfjanavfjana
<L>204316.3<pc>1009,1	vfjana	vfja/na,vf/jana	vfjanavfjana
<L>204316.4<pc>1009,1	vfjana	vfja/na,vf/jana	vfjanavfjana
<L>205118<pc>1013,1	vfzala	vfzala/,vf/zala	vfzalavfzala
<L>205180<pc>1013,1	vfzwi	vfzwi/,vf/zwi	vfzwivfzwi
<L>205200<pc>1013,2	vfzwimat	vfzwi—ma/t,vf/zwi-mat	vfzwimatvfzwimat
<L>205200.1<pc>1013,2	vfzwimat	vfzwi—ma/t,vf/zwi-mat	vfzwimatvfzwimat
<L>205211<pc>1013,2	vfzRi	vfzRi/,vf/zRi	vfzRivfzRi
<L>205474<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>205474.1<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>205474.2<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>205474.3<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>205474.4<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>205474.5<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>205474.6<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>205474.7<pc>1014,2	veRu	veRu/,ve/Ru	veRuveRu
<L>206064<pc>1017,2	veditf	ve/ditf,veditf/	veditfveditf
<L>206364<pc>1019,1	veSanada	veSa—nada,veSana-da	veSanadaveSanada
<L>206466<pc>1019,2	vezaRa	veza/Ra,ve/zaRa	vezaRavezaRa
<L>206557<pc>1020,1	vEkaNkata	vEkaNkata/,vE/kaNkata	vEkaNkatavEkaNkata
<L>207951<pc>1027,1	vESvAnarI	vESvAnaraI	vESvAnaraI
<L>208147<pc>1028,2	voQf	voQf/,vo/Qf	voQfvoQf
<L>210505<pc>1042,1	vrAjapati	vrAja—pati/,vrAja/-pati	vrAjapativrAjapati
<L>210902<pc>1044,2	Sakti	Sa/kti,Sakti/	SaktiSakti
<L>211922<pc>1049,1	SatadAya	Sata/—dAya,Sata—dAya/	SatadAyaSatadAya
<L>211922.1<pc>1049,1	SatadAya	Sata/—dAya,Sata—dAya/	SatadAyaSatadAya
<L>211922.2<pc>1049,1	SatadAya	Sata/—dAya,Sata—dAya/	SatadAyaSatadAya
<L>211995.5<pc>1049,3	SatapadI	Sata—pAdI	SatapAdI
<L>212118<pc>1050,1	SatayAyin	Sata—yojana—yAyin	SatayojanayAyin
<L>212119<pc>1050,1	SatayAyinvat	Sata—yojana—vat	Satayojanavat
<L>212529<pc>1051,3	SanEs	Sa/nEs,SanE/s	SanEsSanEs
<L>213989<pc>1058,2	Sardis	Sardi/s,Sa/rdis	SardisSardis
<L>216907<pc>1071,3	SitibAhu	Siti—bA/hu,Siti—bAhu/	SitibAhuSitibAhu
<L>219451.1<pc>1082,2	SudDasAropalakzaRA	SudDa-sAropA-lakzaRA	SudDasAropAlakzaRA
<L>219834<pc>1084,1	SumBamAna	Su/mBamAna,SumBa/mAna	SumBamAnaSumBamAna
<L>220857<pc>1088,3	SevfDa	Se/vfDa,SevfDa/	SevfDaSevfDa
<L>222495<pc>1096,3	Srava	Srava-eza	Sravaeza
<L>223679<pc>1102,1	Sruzwi	Sruzwi/,Sru/zwi	SruzwiSruzwi
<L>223681<pc>1102,2	Sruzwi	Sruzwi/,Sru/zwi	SruzwiSruzwi
<L>223682<pc>1102,2	Sruzwi	Sruzwi/,Sru/zwi	SruzwiSruzwi
<L>223683<pc>1102,2	Sruzwi	Sruzwi/,Sru/zwi	SruzwiSruzwi
<L>223844<pc>1103,1	Srotf	Sro/tf,Srotf/	SrotfSrotf
<L>223844.1<pc>1103,1	Srotf	Sro/tf,Srotf/	SrotfSrotf
<L>225412<pc>1110,2	zoqaSI	zo-qaS/	zoqaS
<L>225491<pc>1110,3	zoqaSimat	zoqaSi/—mat,zoqaSi—ma/t	zoqaSimatzoqaSimat
<L>226980<pc>1120,1	saMsarpa	saM-sa/rpa,saM-sarpa/	saMsarpasaMsarpa
<L>226981<pc>1120,1	saMsarpa	saM-sa/rpa,saM-sarpa/	saMsarpasaMsarpa
<L>226982<pc>1120,1	saMsarpa	saM-sa/rpa,saM-sarpa/	saMsarpasaMsarpa
<L>226983<pc>1120,2	saMsarpa	saM-sa/rpa,saM-sarpa/	saMsarpasaMsarpa
<L>227087<pc>1120,3	saMskfta	saM-skfta/,sa/M-skfta	saMskftasaMskfta
<L>231039<pc>1141,1	sanitf	sa/nitf,sanitf/	sanitfsanitf
<L>231079<pc>1141,1	sanaya	sana/ya,sa/naya	sanayasanaya
<L>232354<pc>1148,3	sapraTas	sa/—praTas,sa—pra/Tas	sapraTassapraTas
<L>232354.1<pc>1148,3	sapraTas	sa/—praTas,sa—pra/Tas	sapraTassapraTas
<L>232354.2<pc>1148,3	sapraTas	sa/—praTas,sa—pra/Tas	sapraTassapraTas
<L>233600<pc>1155,2	samanyu	sa/-manyu,sa-manyu/	samanyusamanyu
<L>233600.1<pc>1155,2	samanyu	sa/-manyu,sa-manyu/	samanyusamanyu
<L>233600.2<pc>1155,2	samanyu	sa/-manyu,sa-manyu/	samanyusamanyu
<L>233600.3<pc>1155,2	samanyu	sa/-manyu,sa-manyu/	samanyusamanyu
<L>237161<pc>1180,2	sammAtf	sam-mAtf/,sa/m-mAtf	sammAtfsammAtf
<L>238191<pc>1185,1	sarvagaRa	sa/rva—gaRa,sarva/—gaRa	sarvagaRasarvagaRa
<L>238192<pc>1185,1	sarvagaRa	sa/rva—gaRa,sarva/—gaRa	sarvagaRasarvagaRa
<L>238637<pc>1187,1	sarvarUpa	sa/rva—rUpa,sarva/—rUpa	sarvarUpasarvarUpa
<L>238637.1<pc>1187,1	sarvarUpa	sa/rva—rUpa,sarva/—rUpa	sarvarUpasarvarUpa
<L>238637.2<pc>1187,1	sarvarUpa	sa/rva—rUpa,sarva/—rUpa	sarvarUpasarvarUpa
<L>238983<pc>1188,2	sarvAtman	sa/rvAtman,sarvA/tman	sarvAtmansarvAtman
<L>239670<pc>1191,2	savAtya	savAtya^,savAtya/	savAtyasavAtya
<L>239811<pc>1192,1	sasattrin	sa—sattri/n,sa/-sattrin	sasattrinsasattrin
<L>239992<pc>1193,1	sahAvat	sa/hA-vat,sahA/-vat	sahAvatsahAvat
<L>240192<pc>1194,1	sahajanyI	saha—janyA/	sahajanyA
<L>240743<pc>1196,2	sahasrastari	saha/sra—starI	sahasrastarI
<L>240803<pc>1196,3	sahasrArGa	sahasrArGa/,saha/srArGa	sahasrArGasahasrArGa
<L>241275<pc>1199,2	sANga	sANga/,sA/Nga	sANgasANga
<L>241275.1<pc>1199,2	sANga	sANga/,sA/Nga	sANgasANga
<L>241275.2<pc>1199,2	sANga	sANga/,sA/Nga	sANgasANga
<L>241275.3<pc>1199,2	sANga	sANga/,sA/Nga	sANgasANga
<L>241275.4<pc>1199,2	sANga	sANga/,sA/Nga	sANgasANga
<L>242131<pc>1204,2	sApta	sA/pta,sApta/	sAptasApta
<L>242131.1<pc>1204,2	sApta	sA/pta,sApta/	sAptasApta
<L>242972<pc>1208,3	sAraNga	sAra/Nga,sAraNga/	sAraNgasAraNga
<L>246063<pc>1222,3	sugaBasti	su,—gaBasti,su-ga/Basti	sugaBastisugaBasti
<L>246315<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.05<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.10<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.15<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.20<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.25<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.30<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.35<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.40<pc>1223,2	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246315.60<pc>1223,3	sujAta	su—jAta/,su/-jAta	sujAtasujAta
<L>246345<pc>1223,3	sujyotis	su—jyo/tis,su—jyoti/s	sujyotissujyotis
<L>247162<pc>1226,3	sunIti	su—nIti/,su/—nIti	sunItisunIti
<L>247201<pc>1226,3	sunO	su—nu	sunu
<L>247829<pc>1229,1	suPala	su—Pa/la,su-Pala/	suPalasuPala
<L>247858<pc>1229,1	suPAla	su—PAla/,su-PA/la	suPAlasuPAla
<L>247867<pc>1229,1	subanDu	su—ba/nDu,su-banDu/	subanDusubanDu
<L>250081<pc>1237,1	suSipra	su—Sipra/,su-Si/pra	suSiprasuSipra
<L>250675<pc>1239,3	suhotf	su—ho/tf,su/—hotf	suhotfsuhotf
<L>250879<pc>1240,2	sUktavAc	sUkta—vA/c,sUkta/-vAc	sUktavAcsUktavAc
<L>251986<pc>1245,3	sfRI	sf/RI,sfRI/	sfRIsfRI
<L>252557<pc>1248,3	sotf	sotf/,so/tf	sotfsotf
<L>252708<pc>1249,3	soBya	so/Bya,soBya^	soByasoBya
<L>255308<pc>1262,2	sTAlIpAka	sTAlI—pAka/,sTA/lI—pAka	sTAlIpAkasTAlIpAka
<L>255643<pc>1264,2	sTita	sTit/	sTit
<L>255655.1<pc>1264,2	sTitavatvatI	sTita—vatI	sTitavatI
<L>255737<pc>1264,3	sTiraganDa	sTira—ganDA	sTiraganDA
<L>256290<pc>1267,1	snAvan	snA/van,snAva/n	snAvansnAvan
<L>258554<pc>1278,2	svayaMkfta	svayaM—kfta/,svaya/M—kfta	svayaMkftasvayaMkfta
<L>258554.1<pc>1278,2	svayaMkfta	svayaM—kfta/,svaya/M—kfta	svayaMkftasvayaMkfta
<L>258657<pc>1278,3	svayamBUliNgasamBUtA	svayam—B/—liNga-samBUtA	svayamBliNgasamBUtA
<L>259869<pc>1285,1	svara	sva/ra,svara/	svarasvara
<L>259870<pc>1285,1	svara	sva/ra,svara/	svarasvara
<L>259871<pc>1285,1	svara	sva/ra,svara/	svarasvara
<L>259875<pc>1285,2	svara	sva/ra,svara/	svarasvara
<L>259876<pc>1285,2	svara	sva/ra,svara/	svarasvara
<L>259877<pc>1285,2	svara	sva/ra,svara/	svarasvara
<L>259878<pc>1285,2	svara	sva/ra,svara/	svarasvara
<L>259880<pc>1285,2	svara	sva/ra,svara/	svarasvara
<L>259881<pc>1285,2	svara	sva/ra,svara/	svarasvara
<L>260454<pc>1288,1	hantf	hantf/,ha/ntf	hantfhantf
<L>261578<pc>1292,1	hAridrava	hAridrava/,hA/ridrava	hAridravahAridrava
<L>261644<pc>1292,2	haryat	ha/ryat,harya/t	haryatharyat
<L>262048<pc>1294,2	havya	ha/vya,havya/	havyahavya
<L>262061<pc>1294,2	hasa	ha/sa,hasa/	hasahasa
