<L>831<pc>4,3	agastyasaMhitA	ag/stya—saMhitA	agstyasaMhitA
<L>120295.2<pc>610,2	pallISarawayoHSAnti	pallI—SarawayoH SAnti	pallISarawayoH SAnti
<L>120473<pc>611,1	pavitrarogaparihAraprayoga	pavi/ra—roga-parihAra-prayoga	pavirarogaparihAraprayoga
<L>124573<pc>628,3	pizwarAtryAHkalpa	pizwa—rAtryAH kalpa	pizwarAtryAH kalpa
<L>125501<pc>632,3	putra	putrI	putrI
<L>125502<pc>632,3	putra	putraI	putraI
<L>132934.3<pc>669,2	pratiyogijYAnasyahetutvaKaRqana	prati-yogi—jYAnasya hetutva-KaRqana	pratiyogijYAnasya hetutvaKaRqana
<L>132934.8<pc>669,2	pratiyogyanaDikaraRenASasyotpattinirAsa	prati-yogyanaDikaraRe nASasyotpatti-nirAsa	pratiyogyanaDikaraRe nASasyotpattinirAsa
<L>135161<pc>682,2	prapApAlikA	pra-pAlikA	prapAlikA
<L>135161.1<pc>682,2	prapApAlI	pra-pAlI	prapAlI
<L>138171<pc>698,3	prasfmara	pa-sfmara	pasfmara
<L>146247.02<pc>736,2	bfhadAraRyakopanizad	bfhad—AraRya	bfhadAraRya
<L>146712<pc>738,3	brahmatantregAyatrIpaYjara	brahma—tantre gAyatrI-paYjara	brahmatantre gAyatrIpaYjara
<L>147157<pc>740,3	brahmARqayAmalepaYcamIsADana	brahmARqa—yAmale paYcamI-sADana	brahmARqayAmale paYcamIsADana
<L>147409<pc>741,3	brAhmaRAcCaMsinaukTya	brAhmaRAc-CaMsina ukTya	brAhmaRAcCaMsina ukTya
<L>149632<pc>751,3	BAgavatasamuccayesahasranAmastotra	BAgavata—samuccaye sahasra-nAma-stotra	BAgavatasamuccaye sahasranAmastotra
<L>159381<pc>795,1	mahAkAlaBEravatantreSaraBakavaca	mahA—kAla—BErava-tantre SaraBa-kavaca	mahAkAlaBEravatantre SaraBakavaca
<L>159381.2<pc>795,1	mahAkAlayogaSAstreKecarIvidyA	mahA—kAla—yoga-SAstre KecarI-vidyA	mahAkAlayogaSAstre KecarIvidyA
<L>159392<pc>795,1	mahAkASaBEravakalpeSaraBeSvarakavaca	mahA—kASa-BErava-kalpe SaraBeSvara-kavaca	mahAkASaBEravakalpe SaraBeSvarakavaca
<L>159462<pc>795,2	mahAgaRapatikalpepaYcatriMSatpIWikA	mahA—gaRa—pati-kalpe paYca-triMSatpIWikA	mahAgaRapatikalpe paYcatriMSatpIWikA
<L>159464<pc>795,2	mahAgaReSapurARegaReSagItA	mahA—gaReSa—purARe gaReSa-gItA	mahAgaReSapurARe gaReSagItA
<L>160518<pc>799,2	mahAyogapaYcaratneASvalAyanopayogyADAnaprakaraRa	mahA—yoga-paYcaratne ASvalAyanopayogyADAna-prakaraRa	mahAyogapaYcaratne ASvalAyanopayogyADAnaprakaraRa
<L>160784<pc>800,2	mahAvizRormahAstuti	mahA—vizRor mahA-stuti	mahAvizRor mahAstuti
<L>161836<pc>805,1	mAMsamayIpeSI	mAMsa—mayI peSI	mAMsamayI peSI
<L>164214<pc>816,2	mitramahas	mitra/Q—mahas	mitraQmahas
<L>166027<pc>825,1	mugDaboDAKyAjvarAdirogacikitsA	mugDa—boDAKyA jvarAdi-roga-cikitsA	mugDaboDAKyA jvarAdirogacikitsA
<L>168025<pc>833,3	meruvirahatantreBuvaneSvarIsahasranAmastotra	meru—viraha-tantre BuvaneSvarI-sahasra-nAma-stotra	meruvirahatantre BuvaneSvarIsahasranAmastotra
<L>169899.2<pc>842,3	yaTAyogenam	yaTA—am	yaTAam
<L>170797<pc>848,1	yavanaSAstremalapraSna	yavana—SAstre 'mala-praSna	yavanaSAstre malapraSna
<L>172620<pc>857,3	yogAvalItantrekuladIpinI	yogAvalI-tantre kula-dIpinI	yogAvalItantre kuladIpinI
<L>174418.1<pc>865,1	ratnasArajAtakejyotizasArasaMgraha	ratna—sAra—jAtake jyotiza-sAra-saMgraha	ratnasArajAtake jyotizasArasaMgraha
<L>183016<pc>905,1	lubDajAtakevarzavarDApanaviDAna	lubDa—jAtake varza-varDApana-viDAna	lubDajAtake varzavarDApanaviDAna
<L>183293<pc>906,2	lokaDAtf	loka—DAtrI	lokaDAtrI
<L>183707<pc>908,2	lomaSA	lomaS/	lomaS
<L>184640<pc>912,2	vaktftA	vaktf —tA	vaktf tA
<L>184641<pc>912,2	vaktftva	vaktf —tva	vaktf tva
<L>184642<pc>912,2	vaktftvaSakti	vaktf -tva-Sakti	vaktf tvaSakti
<L>186734<pc>921,3	varuRAnyAHsAman	varuRAnyAH sAman	varuRAnyAH sAman
<L>190313.1<pc>938,1	vAjapeyakratorudgAtfprayoga	vAja—peya—krator udgAtf-prayoga	vAjapeyakrator udgAtfprayoga
<L>192173<pc>946,3	vAlukI	vAluka	vAluka
<L>192174<pc>946,3	vAlukI	vAluka	vAluka
<L>192641<pc>948,3	vAstuyAgaviDestattva	vAstu—yAga—viDes tattva	vAstuyAgaviDes tattva
<L>195261<pc>961,1	vijYAtavya	v/-jYAtavya	vjYAtavya
<L>195862<pc>964,2	vidyAvizayehomaviDi	vidyA—vizaye homa-viDi	vidyAvizaye homaviDi
<L>200080.1<pc>987,2	vivAhahomopayuktAmantra	vi-vAha—homopayuktA mantra	vivAhahomopayuktA mantra
<L>200082<pc>987,2	vivAhAdikarmaRAmprayoga	vi-vAhAdi-karmaRAm prayoga	vivAhAdikarmaRAm prayoga
<L>202559<pc>1000,1	vizRumahimnaHstava	vizRu—mahimnaH stava	vizRumahimnaH stava
