parent_L,parent_k1,child_L,child_k1,child_lex,reciprocal
119403,paruzAkzara,119403.1,paruzAkzaram,ind.,yes
119475,parRa,119492.1,parRatva,n.,yes
119624,paryaNka,119627.1,paryaNkikA,f.,yes
119624,paryaNka,119627.2,paryaNkIkfta,mfn.,yes
119651,paryanuyojya,119651.1,paryanuyojyopekzaRa,n.,yes
119677,paryavadAta,119678.1,paryavadAtatva,n.,yes
119679,paryavadAtaSruta,119679.1,paryavadAtaSrutatA,f.,yes
119699,paryavasAna,119700.1,paryavasAnAt,ind.,yes
119704,paryavasAyin,119704.1,paryavasAyitva,n.,yes
120121,palada,120122.1,paladIya,mfn.,yes
120599,paSupAla,120602.1,paSupAlavat,ind.,yes
121409,pAWika,121410.1,pAWikAyana,m.,yes
121584,pARqupattra,121585.2,pARqupattrodara,n.,yes
121585,pARqupattra,121585.1,pARqupattratA,f.,yes
121743,pAtakin,121743.1,pAtakitva,n.,yes
121771,pAtAlatala,121771.1,pAtAlatalam,ind.,yes
121775,pAtAlaprasTa,121775.1,pAtAlaprasTika,mfn.,yes
121803,pAtaYjala,121810.1,pAtaYjalIya,n.,yes
121807,pAtaYjalaBAzya,121807.1,pAtaYjalaBAzyavArttika,n.,yes
121865,pAda,121876.1,pAdEH,ind.,yes
121901,pAdacAra,121903.1,pAdacAreRa,ind.,yes
122115,pAdukA,122118.1,pAdukavat,mfn.,yes
122267,pApaSIla,122267.1,pApaSIlatva,n.,yes
122453,pArAvAra,122455.1,pArAvArataraRArTam,ind.,yes
122467,pAraRa,122469.1,pAraRakarman,n.,yes
122478,pArayizRu,122479.1,pArayizRutama,mfn.,yes
122530,pAramparya,122530.1,pAramparyeRa,ind.,yes
122561,pArada,122564.1,pAradatva,n.,yes
122596,pAraSava,122598.1,pAraSavatva,n.,yes
122704,pArijAtaka,122705.1,pArijAtakaratnAkara,m.,yes
122911,pArTivapUjana,122911.1,pArTivapUjanaviDi,m.,yes
123165,pAlana,123165.1,pAlanakarman,n.,yes
123165,pAlana,123165.2,pAlanavftti,f.,yes
123396,pAScAttyarAtri,123396.1,pAScAttyarAtrO,ind.,yes
123541,picCila,123547.1,picCilatva,n.,yes
123666,piNgaleSvara,123667.1,piNgaleSvaratIrTa,n.,yes
123666,piNgaleSvara,123667.2,piNgaleSvaramAhAtmya,n.,yes
123699,piYjara,123707.1,piYjaratA,f.,yes
123699,piYjara,123707.2,piYjaratva,n.,yes
124260,piDAna,124263.1,piDAnavat,mfn.,yes
124267,piDAyaka,124267.1,piDAyakatA,f.,yes
124663,pIqA,124671.1,pIqayA,ind.,yes
124807,pItarakta,124808.1,pItaraktacCAya,mfn.,yes
124851,pItAvaBAsa,124851.1,pItAvaBAsatA,f.,yes
125023,puMskokila,125023.1,puMskokilatva,n.,yes
125096,puMScalI,125096.1,puMScalIcala,m.,yes
125114,pumarTa,125115.1,pumarTatA,f.,yes
125440,puRyaSloka,125442.1,puRyaSlokeyakarman,mfn.,yes
125467,puRyAhavAcana,125468.1,puRyAhavAcanaprayoga,m.,yes
125483,puttala,125485.1,puttaladahana,n.,yes
125483,puttala,125485.2,puttalaviDAna,n.,yes
125483,puttala,125485.3,puttalaviDi,m.,yes
125544,putrapOtrIRa,125544.1,putrapOtrIRatA,f.,yes
125547,putraprada,125548.1,putrapradaSivastotra,n.,yes
125588,putrahIna,125588.1,putrahInatva,n.,yes
125706,punarukta,125708.1,punaruktam,ind.,yes
125798,punarvasu,125798.9,punarvasutva,n.,yes
125894,puraScaraRa,125898.01,puraScaraRatA,f.,yes
125979,purAvfttakaTA,125901.2,,,CHILD_MISSING
125979,purAvfttakaTA,125901.3,,,CHILD_MISSING
126031,purAtana,126035.1,purAtane,ind.,yes
126175,purAri,126175.1,purAritva,n.,yes
126206,puraMdarapura,126208.1,puraMdarapurAtiTi,m.,yes
126417,puruhUta,126418.1,puruhUtakAzWA,f.,yes
126417,puruhUta,126418.2,puruhUtadviz,m.,yes
126483,puruzatantra,126483.1,puruzatantratva,n.,yes
126517,puruzamAnin,126517.1,puruzamAninitva,n.,yes
126543,puruzaviDa,126543.1,puruzaviDatA,f.,yes
126563,puruzAkAra,126563.1,puruzAkAratA,f.,yes
126569,puruzAda,126570.1,puruzAdatva,n.,yes
126578,puruzAntara,126581.01,puruzAntaram,ind.,yes
126580,puruzAntara,126581.02,puruzAntaravedin,mfn.,yes
126580.1,puruzAntara,126581.03,puruzAntarAtman,m.,yes
126587,puruzArTa,126592.1,puruzArTatva,n.,yes
126608,puruzAyita,126609.1,puruzAyitatva,n.,yes
126696,pulAka,126698.2,pulAkodaka,n.,yes
126698,pulAka,126698.1,pulAkakArin,mfn.,yes
126987,puzpakaraRqa,126988,puzpakaraRqodyAna,n.,yes
127166,puzpasAra,127167.1,puzpasArasuDAniDi,m.,yes
127192.1,puzpAYjali,127193.1,puzpAYjalistotra,n.,yes
127192.2,puzpAYjali,127193.2,puzpAYjalyazwaka,n.,yes
127240,puzpaka,127246.1,puzpakavimAna,n.,yes
127338,pUtAtman,127341.1,pUtAtmatA,f.,yes
127379,pUjana,127382.1,pUjanamAlikA,f.,yes
127428,pUjyapAda,127428.1,pUjyapAdacaritra,n.,yes
127429,pUjyapUjA,127429.1,pUjyapUjAvyatikrama,m.,yes
127565,pUraka,127569.1,pUrakapiRqa,m.,yes
127753,pUrRAhuti,127753.1,pUrRAhutika,mfn.,yes
127848,pUrvakAla,127848.1,pUrvakAlatA,f.,yes
127850,pUrvakAlIna,127850.1,pUrvakAlInatva,n.,yes
127913,pUrvatApanIya,127913.1,pUrvatApanIyopanizad,f.,yes
128077,pUrvarUpa,128079.1,pUrvarUpatA,f.,yes
128178,pUrvApara,128185.1,pUrvAparatva,n.,yes
128257,pUrvaka,128258.1,pUrvakam,ind.,yes
128259,pUrvaya,36672.1,upADAyyapUrvaya,mfn.,yes
128399,pfTakpada,128399.1,pfTakpadatva,n.,yes
128415,pfTagarTa,128415.1,pfTagarTatA,f.,yes
128427,pfTagjana,128433.1,pfTagjanavat,ind.,yes
128485,pfTivIdaRqapAla,128485.1,pfTivIdaRqapAlatA,f.,yes
128526,pfTu,128549.1,pfTu,ind.,yes
128823,pfzWa,128828.1,pfzWe,ind.,yes
129023,peSI,129033.1,peSItva,n.,yes
129221,pESunya,129222.1,pESunyavAdin,mfn.,yes
129538,pOrastya,129539.1,pOrastyapavana,m.,yes
129609,pOrRamAsa,129616.1,pOrRamAsaDarma,m.,yes
129609,pOrRamAsa,129616.2,pOrRamAsavat,ind.,yes
129609,pOrRamAsa,129616.3,pOrRamAsasTAlIpAkaprayoga,m.,yes
129609,pOrRamAsa,129618.1,pOrRamAsezwi,f.,yes
129609,pOrRamAsa,129618.2,pOrRamAsezwiprayoga,m.,yes
129662,pOlastya,129664.1,pOlastyasmfti,f.,yes
129694,pOzya,129695.1,pOzyopAKyAna,n.,yes
129696,pOzaDa,129696.1,pOzaDadina,n.,yes
129785,prakaTana,129785.1,prakaTanam,ind.,yes
129845,prakASa,129854.1,prakASe,ind.,yes
129870,prakASavat,129871.1,prakASavattva,n.,yes
129875,prakASAtmaka,129875.1,prakASAtmakatva,n.,yes
129929,prakoTa,129929.1,prakoTodaka,n.,yes
130027,prakfti,130048.1,prakftyA,ind.,yes
130105,prakarza,141814.1,Palaprakarza,mfn.,yes
130130,prakfzwa,130133.2,prakfzwatara,mfn.,yes
130130,prakfzwa,130133.1,prakfzwatama,mfn.,yes
130262,prakledin,130262.1,prakleditva,n.,yes
130297.2,prakzIRa,130297.5,prakzIRacandra,m.,yes
130311,prakzepa,130312.1,prakzepaka,m.,yes
130495,pragraha,130498.1,pragrahatva,n.,yes
130704.3,pracetas,130704.8,pracetassmfti,f.,yes
130768,pracCanna,130770.1,pracCannam,ind.,yes
131204,praRaya,131208.1,praRayAt,ind.,yes
131204,praRaya,131208.2,praRayena,ind.,yes
131204,praRaya,131208.3,praRayopetam,ind.,yes
131266.16,praRIta,131266.31,praRItatva,n.,yes
131284,praRava,131284.21,praRavatva,n.,yes
131331,pratanu,131331.1,pratanukam,ind.,yes
131370,pratApAditya,131370.1,pratApAdityatA,f.,yes
131398.24,prati,131398.9,pratyagni,ind.,yes
131436,pratikUladEva,131436.1,pratikUladEvatA,f.,yes
131667.1,pratibimbita,131667.11,pratibimbitatva,n.,yes
131725,pratimuKa,131726.1,pratimuKam,ind.,yes
131793,pratilomAnuloma,131793.1,pratilomAnulomam,ind.,yes
131852,prativIrya,10598.1,aprativIrya,mfn.,yes
131930,pratihasta,131930.1,pratihastatva,n.,yes
131949,pratyagra,131950.1,pratyagram,ind.,yes
132084,pratyASA,132084.1,pratyASatva,n.,yes
132108,pratyeka,132108.2,pratyekam,ind.,yes
132185,pratikzipta,132186.1,pratikziptatva,n.,yes
132568,pratipAdaka,132570.1,pratipAdakatva,n.,yes
132587,pratipAdita,132588.1,pratipAditatva,n.,yes
132592,pratipAdya,132592.1,pratipAdyatva,n.,yes
132809,pratiBAnavat,132811.1,pratiBAnavattva,n.,yes
132839,pratiBAva,132840.1,pratiBAvatA,f.,yes
132863,pratimA,132863.1,pratimatA,f.,yes
132863,pratimA,132863.2,pratimatva,n.,yes
132935,pratiyogika,132935.1,pratiyogikatva,n.,yes
132981,pratiroDa,132982.1,pratiroDakara,mfn.,yes
133041,prativAdin,133041.1,prativAditA,f.,yes
133185,pratiSravaRa,133186.1,pratiSravaRapUrva,mfn.,yes
133296,pratizWApana,133298.1,pratizWApanapadDati,f.,yes
133448,pratisaraRa,133450.1,pratisaraRatA,f.,yes
133622,pratyaya,133642.1,pratyayatva,n.,yes
133660,pratyAyaka,133661.1,pratyAyakatva,n.,yes
133742,pratoda,133744.1,pratodayazwi,f.,yes
133749,pratuzwi,133749.1,pratuzwida,mfn.,yes
133832,pratyakzaparicCeda,133832.1,pratyakzaparicCedamaYjUzA,f.,yes
133832,pratyakzaparicCeda,133832.2,pratyakzaparicCedarahasya,n.,yes
133838,pratyakzapramARa,133838.1,pratyakzapramARyAlokawippaRI,f.,yes
133839,pratyakzaPala,133840.1,pratyakzaPalatva,n.,yes
134037,pratyaBiyukta,134038.1,pratyaBiyuktavat,mfn.,yes
134151,pratyAkzepaka,134151.1,pratyAkzepakatva,n.,yes
134153,pratyAKyAta,134157.1,pratyAKyAtatva,n.,yes
