L_number,resolved_to_ls,terminal_siglum,kind,confidence
160506,Buddh.,Buddh.,real,crossed-headword
160507,Buddh.,Buddh.,real,crossed-headword
160678.05,MW.,MW.,meta,same-cluster
160746,Bhpr.,Bhpr.,real,same-cluster
160787,Buddh.,Buddh.,real,same-cluster
160788,Buddh.,Buddh.,real,crossed-headword
160874,Daś.,Daś.,real,same-cluster
160946,Suśr.,Suśr.,real,same-cluster
160948,MBh.,MBh.,real,same-cluster
160965,Pat.,Pat.,real,crossed-headword
160966,Pat.,Pat.,real,crossed-headword
161123,AitBr.,AitBr.,real,same-cluster
161175,Hariv.,Hariv.,real,same-cluster
161209,Cat.,Cat.,meta,same-cluster
161240,"Pāṇ. iv, 2, 29",Pāṇ.,real,crossed-headword
161272,Cat.,Cat.,meta,crossed-headword
161329,MBh.,MBh.,real,same-cluster
161371,Kathās.,Kathās.,real,same-cluster
161395,VS.,VS.,real,same-cluster
161397,BhP.,BhP.,real,same-cluster
161404,RV.,RV.,real,crossed-headword
161474,Cat.,Cat.,meta,same-cluster
161475,Cat.,Cat.,meta,crossed-headword
161522,"v, 44, 6",v,real,same-cluster
161537,MBh.,MBh.,real,same-cluster
161576,MBh.,MBh.,real,crossed-headword
161584,Kāv.,Kāv.,real,same-cluster
161603,Cat.,Cat.,meta,crossed-headword
161629,Cat.,Cat.,meta,crossed-headword
161684,Rājat.,Rājat.,real,crossed-headword
161686.10,MBh.,MBh.,real,same-cluster
161688,RV.,RV.,real,same-cluster
161697,AV.,AV.,real,same-cluster
161697,AV.,AV.,real,same-cluster
161697,RV.,RV.,real,same-cluster
161697,"iii, 29, 11",iii,real,same-cluster
161706,Cat.,Cat.,meta,same-cluster
161711,Pañcat.,Pañcat.,real,same-cluster
161733,Pañcat.,Pañcat.,real,same-cluster
161757,Vāgbh.,Vāgbh.,real,crossed-headword
161769,"RV. ix, 97, 52",RV.,real,same-cluster
161780,Suśr.,Suśr.,real,crossed-headword
161794,Cat.,Cat.,meta,crossed-headword
161796,Suśr.,Suśr.,real,same-cluster
161810,Hariv.,Hariv.,real,same-cluster
161833,R.,R.,real,crossed-headword
161950,Hariv.,Hariv.,real,same-cluster
161953,VP.,VP.,real,same-cluster
161967,Cat.,Cat.,meta,crossed-headword
161996,KātyŚr.,KātyŚr.,real,crossed-headword
162110,Pat.,Pat.,real,crossed-headword
162117,Cat.,Cat.,meta,same-cluster
162139,Cat.,Cat.,meta,crossed-headword
162154,Cat.,Cat.,meta,crossed-headword
162157,L.,L.,meta,same-cluster
162226,Suśr.,Suśr.,real,same-cluster
162231,Suśr.,Suśr.,real,crossed-headword
162231.1,Suśr.,Suśr.,real,crossed-headword
162234,Suśr.,Suśr.,real,crossed-headword
162296,Anukr.,Anukr.,real,same-cluster
162337,MW.,MW.,meta,crossed-headword
162404,BhP.,BhP.,real,crossed-headword
162472,Cat.,Cat.,meta,same-cluster
162493,MBh.,MBh.,real,same-cluster
162507,Kāv.,Kāv.,real,crossed-headword
162515,MBh.,MBh.,real,same-cluster
162516,MBh.,MBh.,real,crossed-headword
162525,Hariv.,Hariv.,real,same-cluster
162570,Cat.,Cat.,meta,crossed-headword
162621,MBh.,MBh.,real,same-cluster
162625,Ratnāv.,Ratnāv.,real,crossed-headword
162638,"Pāṇ. iv, 1, 106",Pāṇ.,real,crossed-headword
162675,Kāv.,Kāv.,real,same-cluster
162696,Cat.,Cat.,meta,crossed-headword
162763,MBh.,MBh.,real,crossed-headword
162773,Daś.,Daś.,real,same-cluster
162783,Cat.,Cat.,meta,crossed-headword
162803,MBh.,MBh.,real,crossed-headword
162806,MBh.,MBh.,real,same-cluster
162817,Kāv.,Kāv.,real,same-cluster
162839,RV.,RV.,real,same-cluster
162916,Kull.,Kull.,real,same-cluster
163055,MBh.,MBh.,real,crossed-headword
163083,RV.,RV.,real,same-cluster
163119,Kathās.,Kathās.,real,crossed-headword
163143.6,Kathās.,Kathās.,real,same-cluster
163231,Lalit.,Lalit.,real,crossed-headword
163337,Cat.,Cat.,meta,crossed-headword
163363,"Dhātup. xxxiv, 39",Dhātup.,real,same-cluster
163363,"Dhātup. xxxiv, 39",Dhātup.,real,same-cluster
163363,R.,R.,real,same-cluster
163363,R.,R.,real,same-cluster
163473,Dhātup.,Dhātup.,real,same-cluster
163654.1,Buddh.,Buddh.,real,crossed-headword
163671,"Pāṇ. vi, 2, 88",Pāṇ.,real,crossed-headword
163683,Cat.,Cat.,meta,same-cluster
163737,MBh.,MBh.,real,crossed-headword
163817,Saṃgīt.,Saṃgīt.,real,crossed-headword
163869,Hcat.,Hcat.,real,crossed-headword
163892,"Pāṇ. v, 1, 7",Pāṇ.,real,same-cluster
163895.1,RV.,RV.,real,same-cluster
163897,IW. 179,IW.,real,same-cluster
163900,MBh.,MBh.,real,crossed-headword
163952,"Pāṇ. iv, 3, 47",Pāṇ.,real,same-cluster
163953,"v, 1, 80",v,real,same-cluster
163972,"Dhātup. xxi, 29.",Dhātup.,real,crossed-headword
163991,Kāv.,Kāv.,real,same-cluster
163995,W.,W.,meta,crossed-headword
164058,L.,L.,meta,crossed-headword
164058.1,L.,L.,meta,crossed-headword
164074,Cat.,Cat.,meta,crossed-headword
164084,RV.,RV.,real,same-cluster
164084,RV.,RV.,real,same-cluster
164084,RV.,RV.,real,same-cluster
164084,AitBr.,AitBr.,real,same-cluster
164084,AV.,AV.,real,same-cluster
164084,AV.,AV.,real,same-cluster
164090,RV.,RV.,real,crossed-headword
164127,"Nir. xi, 13.",Nir.,real,crossed-headword
164195,RV.,RV.,real,same-cluster
164203,MBh.,MBh.,real,crossed-headword
164205,Hariv.,Hariv.,real,same-cluster
164230,Hariv.,Hariv.,real,crossed-headword
164259,MBh.,MBh.,real,crossed-headword
164263,Hariv.,Hariv.,real,same-cluster
164283,ŚārṅgP.,ŚārṅgP.,real,same-cluster
164305,Kathās.,Kathās.,real,crossed-headword
164311,RV.,RV.,real,same-cluster
164317,Śak.,Śak.,real,crossed-headword
164357,Pañcat.,Pañcat.,real,crossed-headword
164361,A.,A.,real,crossed-headword
164398,Hariv.,Hariv.,real,crossed-headword
164421.1,Suśr.,Suśr.,real,crossed-headword
164439,"Pāṇ. vii, 2, 16",Pāṇ.,real,same-cluster
164451,W.,W.,meta,crossed-headword
164455,"RV. vi, 34, 4.",RV.,real,crossed-headword
164457,RV.,RV.,real,crossed-headword
164538,W.,W.,meta,same-cluster
164556,Kāv.,Kāv.,real,same-cluster
164584,RV.,RV.,real,same-cluster
164591.2,W.,W.,meta,same-cluster
164600,Rājat.,Rājat.,real,crossed-headword
164601,Rājat.,Rājat.,real,crossed-headword
164607,AV.,AV.,real,same-cluster
164715,Kāv.,Kāv.,real,same-cluster
164715,Pur.,Pur.,real,same-cluster
164758,Cat.,Cat.,meta,crossed-headword
164759,Cat.,Cat.,meta,crossed-headword
164853,Col.,Col.,real,same-cluster
164881,Pāṇ.,Pāṇ.,real,same-cluster
164943,Suśr.,Suśr.,real,crossed-headword
164946,Bhartṛ.,Bhartṛ.,real,same-cluster
165058,W.,W.,meta,same-cluster
165059,W.,W.,meta,same-cluster
165082,RV.,RV.,real,same-cluster
165082,Br.,Br.,real,same-cluster
165082,Kāv.,Kāv.,real,same-cluster
165087,Kāv.,Kāv.,real,same-cluster
165103,Sarvad.,Sarvad.,real,crossed-headword
165120,Kathās.,Kathās.,real,crossed-headword
165123,L.,L.,meta,crossed-headword
165214,Kathās.,Kathās.,real,same-cluster
165291,Cat.,Cat.,meta,same-cluster
165406,Cat.,Cat.,meta,crossed-headword
165419,KāśīKh.,KāśīKh.,real,crossed-headword
165469,MārkP.,MārkP.,real,crossed-headword
165527,L.,L.,meta,crossed-headword
165654,R.,R.,real,same-cluster
165749,Kṣitīś.,Kṣitīś.,real,crossed-headword
165763,Kāv.,Kāv.,real,same-cluster
165763,Kāv.,Kāv.,real,same-cluster
165763,Kālid.,Kālid.,real,same-cluster
165823,BhP.,BhP.,real,same-cluster
165859,RV.,RV.,real,same-cluster
165859,Kāv.,Kāv.,real,same-cluster
165859,Kāv.,Kāv.,real,same-cluster
165859,Kāv.,Kāv.,real,same-cluster
165859,Kāv.,Kāv.,real,same-cluster
165877,Kathās.,Kathās.,real,crossed-headword
165891,Hit.,Hit.,real,crossed-headword
165896,Suśr.,Suśr.,real,crossed-headword
165921,"Pāṇ. iii, 2, 30.",Pāṇ.,real,crossed-headword
166014,Śiś.,Śiś.,real,crossed-headword
166138,MW.,MW.,meta,crossed-headword
166144,Suśr.,Suśr.,real,same-cluster
166164,"Pāṇ. vii, 4, 80",Pāṇ.,real,same-cluster
166167.5,MBh.,MBh.,real,same-cluster
166208,Suśr.,Suśr.,real,crossed-headword
166211,Suśr.,Suśr.,real,crossed-headword
166221,Suśr.,Suśr.,real,crossed-headword
166230,Suśr.,Suśr.,real,crossed-headword
166231,Suśr.,Suśr.,real,crossed-headword
166232,Suśr.,Suśr.,real,crossed-headword
166233,Suśr.,Suśr.,real,crossed-headword
166236,Suśr.,Suśr.,real,crossed-headword
166237,Suśr.,Suśr.,real,crossed-headword
166238,Suśr.,Suśr.,real,crossed-headword
166239,Suśr.,Suśr.,real,crossed-headword
166240,Suśr.,Suśr.,real,crossed-headword
166243,Suśr.,Suśr.,real,crossed-headword
166329,MBh.,MBh.,real,same-cluster
166354,MW.,MW.,meta,crossed-headword
166494,MW.,MW.,meta,crossed-headword
166534,"Pāṇ. iv, 4, 88",Pāṇ.,real,same-cluster
166609,R.,R.,real,crossed-headword
166613,Kāv.,Kāv.,real,same-cluster
166633,MBh.,MBh.,real,crossed-headword
166634,MBh.,MBh.,real,crossed-headword
166698,Daś.,Daś.,real,crossed-headword
166797,"RV. i, 182, 7",RV.,real,same-cluster
166823,MBh.,MBh.,real,crossed-headword
166828,MW.,MW.,meta,crossed-headword
166848,Bhaṭṭ.,Bhaṭṭ.,real,crossed-headword
166959,VarBṛS.,VarBṛS.,real,same-cluster
167080,Kām.,Kām.,real,crossed-headword
167086,Śak.,Śak.,real,crossed-headword
167121,RV.,RV.,real,same-cluster
167161,RV.,RV.,real,same-cluster
167161,RV.,RV.,real,same-cluster
167161,BhP.,BhP.,real,same-cluster
167161,BhP.,BhP.,real,same-cluster
167169,RV.,RV.,real,crossed-headword
167196,Śak.,Śak.,real,crossed-headword
167219,MBh.,MBh.,real,same-cluster
167219,Br.,Br.,real,same-cluster
167219,Kāv.,Kāv.,real,same-cluster
167341,MBh.,MBh.,real,crossed-headword
167405,W.,W.,meta,same-cluster
167410,RV.,RV.,real,same-cluster
167419,RV.,RV.,real,crossed-headword
167423,RV.,RV.,real,same-cluster
167423,RV.,RV.,real,same-cluster
167423,RV.,RV.,real,same-cluster
167427,W.,W.,meta,crossed-headword
167430,RV.,RV.,real,same-cluster
167430,MBh.,MBh.,real,same-cluster
167456,W.,W.,meta,crossed-headword
167459,RV.,RV.,real,same-cluster
167462,"Dhātup. xxii, 65",Dhātup.,real,same-cluster
167462,"Dhātup. xxii, 65",Dhātup.,real,same-cluster
167462,"Dhātup. xxii, 65",Dhātup.,real,same-cluster
167462,"Dhātup. xxii, 65",Dhātup.,real,same-cluster
167462,"Dhātup. xxii, 65",Dhātup.,real,same-cluster
167462,"Dhātup. xxii, 65",Dhātup.,real,same-cluster
167470,Harav.,Harav.,real,same-cluster
167473,VP.,VP.,real,crossed-headword
167474,VP.,VP.,real,crossed-headword
167524,Cat.,Cat.,meta,same-cluster
167609,Rājat.,Rājat.,real,crossed-headword
167766,Suśr.,Suśr.,real,crossed-headword
167802,Uttamac.,Uttamac.,real,crossed-headword
167859,ŚārṅgS.,ŚārṅgS.,real,crossed-headword
167867,W.,W.,meta,crossed-headword
167868,W.,W.,meta,crossed-headword
167874,ŚrS.,ŚrS.,real,same-cluster
167886,Hariv.,Hariv.,real,same-cluster
167918,Kathās.,Kathās.,real,crossed-headword
167952,"Mn. i, 92.",Mn.,real,crossed-headword
168033,Hariv.,Hariv.,real,crossed-headword
168089,R.,R.,real,same-cluster
168124,RV.,RV.,real,crossed-headword
168157,L.,L.,meta,crossed-headword
168170,MBh.,MBh.,real,same-cluster
168229,Cat.,Cat.,meta,crossed-headword
168245,Kāv.,Kāv.,real,same-cluster
168270,Suśr.,Suśr.,real,crossed-headword
168318,MBh.,MBh.,real,same-cluster
168374,Up.,Up.,real,crossed-headword
168410.2,MBh.,MBh.,real,same-cluster
168412,Bhag.,Bhag.,real,crossed-headword
168465,Yājñ.,Yājñ.,real,same-cluster
168477,Chandom.,Chandom.,real,same-cluster
168530,W.,W.,meta,same-cluster
168544,Cat.,Cat.,meta,crossed-headword
168555,Rājat.,Rājat.,real,crossed-headword
168639,MBh.,MBh.,real,same-cluster
168686,Uttarar.,Uttarar.,real,same-cluster
168866,BhP.,BhP.,real,same-cluster
168872,RV.,RV.,real,same-cluster
168873,Dhātup.,Dhātup.,real,same-cluster
168873,Dhātup.,Dhātup.,real,same-cluster
168881,"Pāṇ. vii, 4, 95",Pāṇ.,real,same-cluster
168938,ŚBr.,ŚBr.,real,same-cluster
168963,Kāv.,Kāv.,real,same-cluster
168964,Kāv.,Kāv.,real,same-cluster
169005,Suśr.,Suśr.,real,crossed-headword
169007,Suśr.,Suśr.,real,crossed-headword
169103,BhP.,BhP.,real,crossed-headword
169111,"Pāṇ. iii, 1, 22",Pāṇ.,real,crossed-headword
169112,"vi, 1, 9",vi,real,crossed-headword
169172,Cat.,Cat.,meta,crossed-headword
169197,"Pāṇ. viii, 3, 39",Pāṇ.,real,crossed-headword
169199,TS.,TS.,real,crossed-headword
169228,Pur.,Pur.,real,same-cluster
169229,Pur.,Pur.,real,same-cluster
169291,RV.,RV.,real,crossed-headword
169321,BhP.,BhP.,real,same-cluster
169376,MBh.,MBh.,real,same-cluster
169378,MBh.,MBh.,real,same-cluster
169435,Kathās.,Kathās.,real,same-cluster
169490,Hcat.,Hcat.,real,same-cluster
169506.1,Pat.,Pat.,real,crossed-headword
169528,RV.,RV.,real,same-cluster
169552,RV.,RV.,real,same-cluster
169552,RV.,RV.,real,same-cluster
169552,RV.,RV.,real,same-cluster
169552,RV.,RV.,real,same-cluster
169552,RV.,RV.,real,same-cluster
169552,Br.,Br.,real,same-cluster
169552,Kāv.,Kāv.,real,same-cluster
169552,Dhātup.,Dhātup.,real,same-cluster
169600,MBh.,MBh.,real,same-cluster
169608,Hariv.,Hariv.,real,same-cluster
169640,MBh.,MBh.,real,crossed-headword
169642,MBh.,MBh.,real,crossed-headword
169645,MBh.,MBh.,real,crossed-headword
169663.5,AitBr.,AitBr.,real,crossed-headword
169663.6,AitBr.,AitBr.,real,crossed-headword
169733,MBh.,MBh.,real,same-cluster
169867,VarBṛS.,VarBṛS.,real,crossed-headword
169882,Pāṇ.,Pāṇ.,real,same-cluster
169883.1,MBh.,MBh.,real,crossed-headword
169915,Kathās.,Kathās.,real,crossed-headword
169922.1,Yājñ.,Yājñ.,real,crossed-headword
169932,KātyŚr.,KātyŚr.,real,crossed-headword
169964,R.,R.,real,same-cluster
169964.1,R.,R.,real,crossed-headword
170075,Pañcar.,Pañcar.,real,same-cluster
170079,R.,R.,real,crossed-headword
170101,VarBṛS.,VarBṛS.,real,crossed-headword
170152.1,Kāv.,Kāv.,real,same-cluster
170153.1,Kāv.,Kāv.,real,same-cluster
170207,MBh.,MBh.,real,crossed-headword
170219,Kāv.,Kāv.,real,same-cluster
170227,W.,W.,meta,same-cluster
170238,Cat.,Cat.,meta,crossed-headword
170243,Pañcar.,Pañcar.,real,crossed-headword
170253,Vet.,Vet.,real,same-cluster
170258,RV.,RV.,real,same-cluster
170258,"RV. v, 32, 7",RV.,real,same-cluster
170258,Br.,Br.,real,same-cluster
170258,RV.,RV.,real,same-cluster
170258,RV.,RV.,real,same-cluster
170258,RV.,RV.,real,same-cluster
170288,Saṃgīt.,Saṃgīt.,real,crossed-headword
170289,Saṃgīt.,Saṃgīt.,real,crossed-headword
170297,RV.,RV.,real,same-cluster
170355,Kathās.,Kathās.,real,crossed-headword
170373,Kāv.,Kāv.,real,same-cluster
170383,"RV. v, 61, 2",RV.,real,same-cluster
170389,RV.,RV.,real,same-cluster
170425,Kathās.,Kathās.,real,same-cluster
170426,Kathās.,Kathās.,real,same-cluster
170444,Cat.,Cat.,meta,crossed-headword
170456,Kāraṇḍ.,Kāraṇḍ.,real,crossed-headword
170617,MBh.,MBh.,real,crossed-headword
170623,RV.,RV.,real,same-cluster
170653,VarBṛS.,VarBṛS.,real,same-cluster
170654,W.,W.,meta,same-cluster
170665,L.,L.,meta,crossed-headword
170690,"Pāṇ. iv, 3, 48.",Pāṇ.,real,crossed-headword
170768,RV.,RV.,real,crossed-headword
170790,Bhpr.,Bhpr.,real,same-cluster
170840,BhP.,BhP.,real,same-cluster
170840,BhP.,BhP.,real,same-cluster
170852,AV.,AV.,real,same-cluster
170853,AV.,AV.,real,same-cluster
170864.1,RV.,RV.,real,same-cluster
170906,TS.,TS.,real,same-cluster
170927,BhP.,BhP.,real,crossed-headword
170961,Kṣitīś.,Kṣitīś.,real,crossed-headword
171002,"Kāvyād. ii, 83",Kāvyād.,real,same-cluster
171002,"Kāvyād. ii, 83",Kāvyād.,real,same-cluster
171009,"Naigh. i, 12",Naigh.,real,same-cluster
171013,RV.,RV.,real,same-cluster
171016,RV.,RV.,real,same-cluster
171018,Br.,Br.,real,same-cluster
171018,Kathās.,Kathās.,real,same-cluster
171041,Kām.,Kām.,real,same-cluster
171054,AV.,AV.,real,crossed-headword
171064,RV.,RV.,real,same-cluster
171095,"Mn. vii, 184",Mn.,real,same-cluster
171097,W.,W.,meta,same-cluster
171122,"Mn. viii, 290.",Mn.,real,crossed-headword
171151,Br.,Br.,real,same-cluster
171158,Hariv.,Hariv.,real,crossed-headword
171178,RV.,RV.,real,crossed-headword
171183,RV.,RV.,real,same-cluster
171184,RV.,RV.,real,same-cluster
171236,RV.,RV.,real,same-cluster
171236,AV.,AV.,real,same-cluster
171247,MBh.,MBh.,real,same-cluster
171269,MBh.,MBh.,real,same-cluster
171374,ŚrS.,ŚrS.,real,same-cluster
171375,Śaṃk.,Śaṃk.,real,crossed-headword
171402,Kāv.,Kāv.,real,same-cluster
171415,Cat.,Cat.,meta,same-cluster
171416,Cat.,Cat.,meta,crossed-headword
171430,RV.,RV.,real,same-cluster
171435,"RV. v, 44, 6",RV.,real,same-cluster
171446,Suśr.,Suśr.,real,same-cluster
171577,KātyŚr.,KātyŚr.,real,crossed-headword
171578,KātyŚr.,KātyŚr.,real,crossed-headword
171621,KātyŚr.,KātyŚr.,real,crossed-headword
171672,"Pāṇ. ii, 4, 63",Pāṇ.,real,crossed-headword
171675,"Pāṇ. iv, 1, 91",Pāṇ.,real,crossed-headword
171682,RV.,RV.,real,same-cluster
171682,RV.,RV.,real,same-cluster
171682,RV.,RV.,real,same-cluster
171682,RV.,RV.,real,same-cluster
171682,RV.,RV.,real,same-cluster
171682,RV.,RV.,real,same-cluster
171686,RV.,RV.,real,crossed-headword
171694,RV.,RV.,real,same-cluster
171694,RV.,RV.,real,same-cluster
171694,"Naigh. iii, 14",Naigh.,real,same-cluster
171694,"Naigh. iii, 14",Naigh.,real,same-cluster
171731,Br.,Br.,real,same-cluster
171731,RV.,RV.,real,same-cluster
171731,RV.,RV.,real,same-cluster
171733,RV.,RV.,real,same-cluster
171751,Hariv.,Hariv.,real,same-cluster
171774,Suśr.,Suśr.,real,same-cluster
171784,Suśr.,Suśr.,real,crossed-headword
171847,VarBṛS.,VarBṛS.,real,same-cluster
171880,Ragh.,Ragh.,real,crossed-headword
171918,Kāv.,Kāv.,real,crossed-headword
171981,MW.,MW.,meta,same-cluster
171990,MBh.,MBh.,real,same-cluster
171991,MBh.,MBh.,real,same-cluster
172012,MBh.,MBh.,real,same-cluster
172067,Sāh.,Sāh.,real,same-cluster
172079,MW.,MW.,meta,crossed-headword
172081,MBh.,MBh.,real,crossed-headword
172150,RV.,RV.,real,crossed-headword
172156,RV.,RV.,real,crossed-headword
172157,RV.,RV.,real,crossed-headword
172158,RV.,RV.,real,crossed-headword
172162,RV.,RV.,real,same-cluster
172216,MW.,MW.,meta,crossed-headword
172228,RV.,RV.,real,crossed-headword
172229,RV.,RV.,real,crossed-headword
172288,KātyŚr.,KātyŚr.,real,same-cluster
172328,MBh.,MBh.,real,same-cluster
172332,Kāv.,Kāv.,real,same-cluster
172335,TS.,TS.,real,same-cluster
172351,Sarvad.,Sarvad.,real,same-cluster
172355,W.,W.,meta,same-cluster
172368,Kathās.,Kathās.,real,crossed-headword
172404.5,W.,W.,meta,same-cluster
172655,"Uṇ. iv, 215",Uṇ.,real,same-cluster
172746,RV.,RV.,real,same-cluster
172780,BhP.,BhP.,real,same-cluster
172810,Bhag.,Bhag.,real,crossed-headword
172822,R.,R.,real,same-cluster
172831,RTL. 224,RTL.,real,same-cluster
172889,Sāy.,Sāy.,real,crossed-headword
172912,W.,W.,meta,same-cluster
172933,Pat.,Pat.,real,same-cluster
172958,MBh.,MBh.,real,same-cluster
172976,Hit.,Hit.,real,crossed-headword
172979,Suśr.,Suśr.,real,crossed-headword
173006,Pāṇ.,Pāṇ.,real,same-cluster
173039,RV.,RV.,real,same-cluster
173049,Rājat.,Rājat.,real,crossed-headword
173050,MBh.,MBh.,real,same-cluster
173050,"RV. ix, 68, 4",RV.,real,same-cluster
173074,MW.,MW.,meta,crossed-headword
173074,MW.,MW.,meta,crossed-headword
173095,Śak.,Śak.,real,crossed-headword
173097.1,"Mn. vii, 123",Mn.,real,same-cluster
173104.1,W.,W.,meta,same-cluster
173104.2,W.,W.,meta,same-cluster
173104.3,W.,W.,meta,same-cluster
173127,Daś.,Daś.,real,crossed-headword
173166,ŚāṅkhŚr.,ŚāṅkhŚr.,real,crossed-headword
173176,Kathās.,Kathās.,real,same-cluster
173183,RV.,RV.,real,same-cluster
173184,RV.,RV.,real,same-cluster
173249,"Uṇ. iii, 40",Uṇ.,real,same-cluster
173296,Kathās.,Kathās.,real,crossed-headword
173297,Kathās.,Kathās.,real,crossed-headword
173298,Kathās.,Kathās.,real,crossed-headword
173299,Kathās.,Kathās.,real,crossed-headword
173309,RV.,RV.,real,same-cluster
173323,Kathās.,Kathās.,real,crossed-headword
173324,Kathās.,Kathās.,real,crossed-headword
173329,Kathās.,Kathās.,real,crossed-headword
173372,BhP.,BhP.,real,same-cluster
173415,Bhpr.,Bhpr.,real,same-cluster
173499,Suśr.,Suśr.,real,crossed-headword
173501,Car.,Car.,real,crossed-headword
173558,Kāvyād.,Kāvyād.,real,same-cluster
173560,Suśr.,Suśr.,real,crossed-headword
173582,Suśr.,Suśr.,real,same-cluster
173583,Suśr.,Suśr.,real,crossed-headword
173589,W.,W.,meta,same-cluster
173635,MBh.,MBh.,real,crossed-headword
173658,Saṃgīt.,Saṃgīt.,real,crossed-headword
173661,Vās.,Vās.,real,same-cluster
173664,W.,W.,meta,same-cluster
173814,Cat.,Cat.,meta,same-cluster
173835,Cat.,Cat.,meta,same-cluster
173856,W.,W.,meta,same-cluster
173888,Pat.,Pat.,real,crossed-headword
173949,W.,W.,meta,same-cluster
173988,Cat.,Cat.,meta,same-cluster
173990,AV.,AV.,real,same-cluster
174004,MārkP.,MārkP.,real,crossed-headword
174074,Rājat.,Rājat.,real,crossed-headword
174075,RV.,RV.,real,same-cluster
174075,RV.,RV.,real,same-cluster
174075,RV.,RV.,real,same-cluster
174116,MBh.,MBh.,real,same-cluster
174133,Inscr.,Inscr.,real,crossed-headword
174150,MBh.,MBh.,real,crossed-headword
174166,Rājat.,Rājat.,real,crossed-headword
174187,RV.,RV.,real,same-cluster
174188,RV.,RV.,real,same-cluster
174189,RV.,RV.,real,crossed-headword
174190,RV.,RV.,real,crossed-headword
174192,RV.,RV.,real,same-cluster
174193,RV.,RV.,real,crossed-headword
174197,BhP.,BhP.,real,same-cluster
174206,Kāv.,Kāv.,real,same-cluster
174213,MW.,MW.,meta,same-cluster
174251,Buddh.,Buddh.,real,same-cluster
174252,Buddh.,Buddh.,real,same-cluster
174273,Buddh.,Buddh.,real,same-cluster
174283,Lalit.,Lalit.,real,crossed-headword
174320,MBh.,MBh.,real,same-cluster
174356,Hit.,Hit.,real,same-cluster
174373,Buddh.,Buddh.,real,crossed-headword
174390,Rājat.,Rājat.,real,crossed-headword
174392,Kathās.,Kathās.,real,crossed-headword
174401,Buddh.,Buddh.,real,crossed-headword
174427,Inscr.,Inscr.,real,crossed-headword
174434,Buddh.,Buddh.,real,same-cluster
174479,Cat.,Cat.,meta,same-cluster
174549,Kathās.,Kathās.,real,crossed-headword
174558,MBh.,MBh.,real,crossed-headword
174591,MBh.,MBh.,real,same-cluster
174592,MBh.,MBh.,real,crossed-headword
174635,Kathās.,Kathās.,real,same-cluster
174667,KātyŚr.,KātyŚr.,real,same-cluster
174671,MBh.,MBh.,real,crossed-headword
174672,MBh.,MBh.,real,crossed-headword
174687,BhP.,BhP.,real,crossed-headword
174746,RV.,RV.,real,crossed-headword
174756,RV.,RV.,real,same-cluster
174763,RV.,RV.,real,same-cluster
174767,RV.,RV.,real,same-cluster
174769,RV.,RV.,real,crossed-headword
174773.6,RV.,RV.,real,same-cluster
174789,RV.,RV.,real,same-cluster
174789,RV.,RV.,real,same-cluster
174809,RV.,RV.,real,same-cluster
174809,RV.,RV.,real,same-cluster
174809,RV.,RV.,real,same-cluster
174809,RV.,RV.,real,same-cluster
174814,MW.,MW.,meta,crossed-headword
174818,RV.,RV.,real,crossed-headword
174823,BhP.,BhP.,real,same-cluster
174856,MW.,MW.,meta,crossed-headword
174857,MW.,MW.,meta,crossed-headword
174860,RV.,RV.,real,same-cluster
174870,MBh.,MBh.,real,same-cluster
174870,MW.,MW.,meta,same-cluster
174870,"Pāṇ. vii, 1, 63",Pāṇ.,real,same-cluster
174881,RV.,RV.,real,same-cluster
174893,Cat.,Cat.,meta,crossed-headword
174894,Cat.,Cat.,meta,crossed-headword
174905,Cat.,Cat.,meta,same-cluster
174928,Br.,Br.,real,same-cluster
174928,MBh.,MBh.,real,same-cluster
174928,Br.,Br.,real,same-cluster
175019,Ml.,Ml.,real,crossed-headword
175023,VarBṛS.,VarBṛS.,real,crossed-headword
175028,Ratnāv.,Ratnāv.,real,same-cluster
175095,MW.,MW.,meta,crossed-headword
175123,BhP.,BhP.,real,same-cluster
175124,BhP.,BhP.,real,same-cluster
175137,Mālatīm.,Mālatīm.,real,crossed-headword
175262,W.,W.,meta,same-cluster
175273,Kauś.,Kauś.,real,crossed-headword
175274,Kauś.,Kauś.,real,crossed-headword
175278,RV.,RV.,real,crossed-headword
175279,RV.,RV.,real,crossed-headword
175280,RV.,RV.,real,crossed-headword
175296,RV.,RV.,real,crossed-headword
175344,MBh.,MBh.,real,same-cluster
175346,Cat.,Cat.,meta,same-cluster
175364,Subh.,Subh.,real,same-cluster
175365,Inscr.,Inscr.,real,crossed-headword
175370,Cat.,Cat.,meta,crossed-headword
175375,Cat.,Cat.,meta,crossed-headword
175449,VarBṛS.,VarBṛS.,real,crossed-headword
175478,MBh.,MBh.,real,same-cluster
175478,MBh.,MBh.,real,same-cluster
175478,"Naigh. iii, 14",Naigh.,real,same-cluster
175495,L.,L.,meta,same-cluster
175512,Kāv.,Kāv.,real,same-cluster
175551,BhP.,BhP.,real,same-cluster
175568,W.,W.,meta,same-cluster
175569,W.,W.,meta,same-cluster
175671.30,MW.,MW.,meta,same-cluster
175722,Car.,Car.,real,crossed-headword
175803,RTL. 206 n. 1,RTL.,real,crossed-headword
175808,W.,W.,meta,same-cluster
175809,W.,W.,meta,same-cluster
175840,RV.,RV.,real,same-cluster
175841,RV.,RV.,real,same-cluster
175851,Subh.,Subh.,real,same-cluster
175876,Kathās.,Kathās.,real,same-cluster
