; Group -1  count=0
<ls>Pāṇ.</ls>                  kulAla 53132
<ls>Pāṇ.</ls>                  kuz 53477
<ls>Pāṇ.</ls>                  kusIda 53575
<ls>Pāṇ.</ls>                  kuhu 53758
<ls>Pāṇ.</ls>                  kU 53778
<ls>Pāṇ.</ls>                  kft 54151
<ls>Pāṇ.</ls>                  kfdanta 54154
<ls>Pāṇ.</ls>                  kftya 54598
<ls>Pāṇ.</ls>                  kOli 57370
<ls>Pāṇ.</ls>                  kzaya 59274
<ls>Pāṇ.</ls>                  kzu 59841
<ls>Pāṇ.</ls>                  kzemavat 60422
<ls>Pāṇ.</ls>                  kzvelita 60664
<ls>Pāṇ.</ls>                  Karu 61503
<ls>Pāṇ.</ls>                  KArI 61848
<ls>Pāṇ.</ls>                  gam 63409
<ls>Pāṇ.</ls>                  gam 63409
<ls>Pāṇ.</ls>                  gata 63424
<ls>Pāṇ.</ls>                  gamyAdi 63652
<ls>Pāṇ.</ls>                  gargAdi 63849
<ls>Pāṇ.</ls>                  garBagrahaRa 63996
<ls>Pāṇ.</ls>                  garhA 64186
<ls>Pāṇ.</ls>                  gahAdi 64462
<ls>Pāṇ.</ls>                  gAlava 64999
<ls>Pāṇ.</ls>                  guRa 65520
<ls>Pāṇ.</ls>                  guRavacana 65630
<ls>Pāṇ.</ls>                  govARija 67552.1
<ls>Pāṇ.</ls>                  gozadAdi 67671
<ls>Pāṇ.</ls>                  granTa 68462
<ls>Pāṇ.</ls>                  grah 68591
<ls>Pāṇ.</ls>                  grahAdi 68674
<ls>Pāṇ.</ls>                  grahaRa 68715
<ls>Pāṇ.</ls>                  grahaRa 68716
<ls>Pāṇ.</ls>                  grahaRa 68720
<ls>Pāṇ.</ls>                  grAhya 68805
<ls>Pāṇ.</ls>                  Gozavat 69885
<ls>Pāṇ.</ls>                  caturTI 71351
<ls>Pāṇ.</ls>                  caraRa 72235
<ls>Pāṇ.</ls>                  caritArTa 72312
<ls>Pāṇ.</ls>                  cEkayata 75002
<ls>Pāṇ.</ls>                  CAttryAdi 75535
<ls>Pāṇ.</ls>                  Candas 75614
<ls>Pāṇ.</ls>                  CedAdi 76031
<ls>Pāṇ.</ls>                  jAti 78663
<ls>Pāṇ.</ls>                  jYApaka 80497.1
<ls>Pāṇ.</ls>                  jYApakasamuccaya 80498
<ls>Pāṇ.</ls>                  wavarga 81162
<ls>Pāṇ.</ls>                  tadDita 82126.1
<ls>Pāṇ.</ls>                  tarvan 83483
<ls>Pāṇ.</ls>                  tArakAdi 84322
<ls>Pāṇ.</ls>                  tAlAdi 84602
<ls>Pāṇ.</ls>                  tAvatka 84706
<ls>Pāṇ.</ls>                  tikakitavAdi 84743
<ls>Pāṇ.</ls>                  tikAdi 84744
<ls>Pāṇ.</ls>                  tiN 84750
<ls>Pāṇ.</ls>                  turAyaRa 86036
<ls>Pāṇ.</ls>                  tulya 86158
<ls>Pāṇ.</ls>                  tulyam 86162
<ls>Pāṇ.</ls>                  tUrya 86433
<ls>Pāṇ.</ls>                  tftIya 86688
<ls>Pāṇ.</ls>                  tftIyA 86691
<ls>Pāṇ.</ls>                  tfzRaj 86804
<ls>Pāṇ.</ls>                  tottra 87153
<ls>Pāṇ.</ls>                  tOlvalyAdi 87325
<ls>Pāṇ.</ls>                  trayaHzazwi 87460
<ls>Pāṇ.</ls>                  trayaHsaptati 87462
<ls>Pāṇ.</ls>                  trayaScatvAriMSat 87465
<ls>Pāṇ.</ls>                  trayonavati 87496
<ls>Pāṇ.</ls>                  trayoviMSati 87501
<ls>Pāṇ.</ls>                  trinEzkika 87866
<ls>Pāṇ.</ls>                  trimuni 88117
<ls>Pāṇ.</ls>                  trivEstika 88308
<ls>Pāṇ.</ls>                  trESARa 88776
<ls>Pāṇ.</ls>                  davIyas 90798
<ls>Pāṇ.</ls>                  dAsera 91985
<ls>Pāṇ.</ls>                  dUQya 94699
<ls>Pāṇ.</ls>                  dURASa 94701
<ls>Pāṇ.</ls>                  duhitfpati 94856
