k1_slp1,L_sense_count,dcs_freqBand,dcs_band_label,mw_gloss_snippet
AntargaRika,1,,,"mf(I)n. (fr. antargaRa), included or comprehended in a class or troop, L."
AntarveSmika,1,,,"mf(I)n. (fr. antar-veSma), produced or occurring within a house, L."
AntikA,1,,,"f. (= antikA, q.v. [under 2. anti]) an elder sister, L."
Antrika,1,,,"mf(I)n. visceral, within or relating to the bowels, L."
AnudeSika,1,,,"mfn. belonging to an Anu-deśa (q.v.) rule, L."
Anurakti,1,,,"f. (= anu-rakti, q.v.), passion, affection, L."
Anusuka,1,,,"mfn. studying or knowing the work Anusū (q.v.), L."
AnuviDitsA,1,,,"f. (probably for an-anuvi˚, fr. anu-vi- and the Desid. of √ DA), ingratitude, L."
AnuzaRqa,1,,,"mfn. belonging to the country Anu-ṣaṇḍa (q.v.), L."
Anvayika,1,,,"mf(I)n. (fr. anv-aya), of a good family, well born, L."
ApAli,1,,,"m. a louse, L."
ApAwaliputram,1,,,"ind. as far as or to Pāṭaliputra, L."
ApUpya,1,,,"n. meal, flour, L."
ApUza,1,,,"n. tin, L."
ApadA,1,,,"f. misfortune, calamity, L."
Apadika,1,,,"m. ‘a bolt’ or ‘a sapphire’ (indra-kIla or indra-nIla), L."
Apaka,1,,,"mf(I)n. one who obtains, L."
ApastamBinI,1,,,"f. N. of a plant, L."
ApiNgalaka,1,,,"m. a bull which has been set at liberty, L."
Aplavavratin,1,,,m. one whose duty is to perform the Samāvartana ablution (on returning home after completi
Aplutavratin,1,,,"m. = A-plava-vratin, q.v., L."
Apluti,1,,,"f. bathing, a bath, L."
AprAsa,1,,,"m. covering the Vedi with Darbha grass, L."
AprItimAyu,1,,,"m. N. of a place, L."
AptA,1,,,"(A), f. = jawA, q.v., L."
ApyAyinI,1,,,"f. N. of a Śakti, L."
Aqambarin,1,,,"mfn. arrogant, proud, L."
AqindikA,1,,,"f. clean shaving of the whole body, L."
ArAtka,1,,,"mfn. belonging to the village Ārāt, L."
ArAtrivivAsam,1,,,"ind. ‘till night's departure’, till daybreak, L."
ArGA,1,,,"f. a sort of yellow bee, L."
AraBawa,1,,,"m. an enterprising man, courageous man, L."
AraRi,1,,,"m. an eddy, L."
AraRyamudgA,1,,,"f. a kind of bean, Phaseolus Trilobus Ait., L."
AraktapuzpI,1,,,"f. N. of a plant, L."
Aralu,1,,,"m. Bignonia Indica, L."
Arati,1,,,"f. stopping, ceasing, L."
ArdrAlubDaka,1,,,"m. the dragon's tail or descending node, L."
Ardraja,1,,,"n. dry ginger, L."
Ardrapattraka,1,,,"m. bamboo, L."
ArdrapawI,1,,,"f. a kind of magic ceremony (performed to destroy an enemy), L."
Argala,1,,,"mf(I). a bolt or bar (= argala, q.v.), L."
Arjika,1,,,"m. (and f(A) .) mutual term of address for husband and wife, L."
Arkzavarza,1,,,"m. a stellar year or revolution of a constellation, L."
Arkzoda,1,,,"mfn. (fr. fkzoda), coming from or inhabiting the mountain Ṛkṣoda, L."
ArogyaSAlA,1,,,"f. a hospital, L."
Arogyavat,1,,,"mfn. healthy, L."
ArtavI,1,,,"(I), f. a mare, L."
ArtveyI,1,,,"f. a woman during her courses, L."
AruRin,1,,,"m. pl. N. of a school derived from Vaiśampāyana Āruṇi, L."
Aryahfdya,1,,,"mfn. beloved by noble ones, L."
AryikA,1,,,"f. N. of a Nakṣatra, L."
ArzoQA,1,,,"f. a wife married according to the Ārṣa form, L."
AsAvin,1,,,"mfn. one who is about to generate, L."
AsPowanI,1,,,"f. a gimlet or auger, L."
AsTAnagfha,1,,,"n. an assembly-room, L."
AsaNgam,1,,,"(am), ind. uninterruptedly, L."
AsaNginI,1,,,"f. a whirlwind, L."
Asanda,1,,,"m. (probably fr. √ sad), N. of Viṣṇu, L."
AsannanivAsin,1,,,"mfn. living in the vicinity, a neighbour, L."
AsecanI,1,,,"f. a small vessel, L."
Asecanaka,1,,,"mfn. = a-secanaka qq.vv., L."
Askanditaka,1,,,"n. (˚akam) a horse's gallop, L."
AstikArTada,1,,,"m. ‘granting Āstika's request’, N. of the king Janamejaya (who at the request of the sage "
AsyAsava,1,,,"m. spittle, saliva, L."
Asyaloman,1,,,"n. the hair of the face, beard, L."
Asyapattra,1,,,"n. ‘leaf-faced’, lotus, L."
AtAyin,1,,,"m. a falcon, kite, L. (cf. AtApin.)"
Atfpya,1,,,"m. ‘to be enjoyed’, the custard apple tree (Anona Reticulata) and (am) n. its fruit, L."
AtmASin,1,,,"m. ‘self-eater’, a fish (supposed to eat its young), L."
AtmabudDi,1,,,"f. self-knowledge, L."
Atmadrohin,1,,,"mfn. self-tormenting, fretful, L."
AtmagrAhin,1,,,"mfn. taking for one's self, selfish, L."
Atmagupti,1,,,"f. the hiding-place of an animal, L."
AtmamUlI,1,,,"f. ‘striking root in self, self-existent’, the plant Alhagi Maurorum, L."
AtmatattvajYa,1,,,"mfn. knowing or versed in the Vedānta doctrines, L."
AtmavIra,5,,,"m. (= bala-vat) a mighty man, L."
AtmavfttAnta,1,,,"m. one's own story, autobiography, L."
AtmavivfdDi,1,,,"f. self-advantage, L."
Atmodaya,1,,,"m. self-advantage or elevation, L."
AtreyikA,1,,,"f. a woman in her courses, L."
Attagarva,1,,,"mfn. whose pride has been taken down, humiliated, L."
Atu,1,,,"m. = AqU, q.v., L."
AvIracUrRa,1,,,"n. a kind of red powder, L."
AvalIkanda,1,,,"m. a kind of bulbous plant, L."
Avandana,1,,,"n. (√ vand), salute, L."
Avarhin,1,,,"mfn. fit to be torn out, L."
Avarhita,1,,,"mfn. eradicated, plucked up by the roots, L."
AvarikA,1,,,"f. a shop, stall, L."
AvartA,1,,,"(A), f. N. of a river, L."
AvartanamaRi,1,,,"m. a gem of secondary order (generally known as Rājāvarta), L."
Avasita,1,,,"= avasita (q.v.), L."
Avayaka,1,,,"mfn. belonging to the country Āvaya, L."
AvidDakarRI,1,,,"f. N. of a plant, L."
AwIkana,1,,,"n. (√ wIk), the leaping motion of a calf, L. (cf. AwIlaka and AQIl˚.)"
AwIkara,1,,,"m. a bull, L."
AwIlaka,1,,,"n. = A-wIkana, q.v., L."
AwImeda,1,,,"m. N. of a bird, L."
AyaskAri,1,,,"m. a descendant of Ayas-kāra, L."
AyatacCadA,1,,,"f. ‘having long leaves’, the plantain tree, Musa Paradisiaca Lin., L."
Aye,1,,,"= aye, q.v., L."
AyuDaDarmiRI,1,,,"f. the plant Sesbania Aegyptiaca (commonly called Jayantī), L."
Ayuktin,1,,,"mfn. a fit official, L."
Ayurdravya,1,,,"n. a medicament, L."
Ayurvedika,1,,,"m. acquainted or familiar with medical science, a physician, L."
Ayuzaya,1,,,"Nom. to wish long life to any one, L."
AzWA,1,,,"f. region, quarter, L."
BANgIna,1,,,"mf(I)n. = BANga (also n.), L."
BANgaka,1,,,"n. (fr. BaNga) a tattered or ragged cloth, L."
BARqapuzpa,1,,,"m. a sort of snake, L."
BARqila,1,,,"m. a barber, L."
BARqivAha,1,,,"m. a barber, L."
BAgArha,2,,,"mfn. entitled to a portion or inheritance, L."
BAjak,1,,,"ind. (g. cAdi) quickly, swiftly, L."
BAkoSa,1,,,"m. ‘light-repository’, the sun, L."
BAlANka,5,,,"mfn. having auspicious marks on the f˚, L."
BAlUka,1,,,"m. id., L."
BAladarSana,1,,,"n. ‘appearing on the f˚’, red lead, L."
BAlluka,1,,,"m. a bear, L."
BAluka,1,,,"m. a bear, L. (cf. Balla and BAlluka)."
BAmaRqala,1,,,"n. a circle of l˚, garland of rays, L."
BAnava,1,,,"mfn. peculiar to the sun, L."
BAnemi,1,,,"m. ‘l˚-circle’, the sun, L."
BAnukesara,1,,,"m. ‘ray-maned’, the sun, L."
BAraga,1,,,"m. ‘going under a yoke’ or ‘undergoing loads’, a mule, L."
BArahara,1,,,"mfn. = -vAhika, L."
BAravI,1,,,"f. sacred basil, L."
BArava,1,,,"m. a bow-string, L."
BAravfkza,1,,,"m. Cytisus Cajan, L."
BArayazwi,1,,,"f. a pole or yoke for carrying loads, L."
BArdvAjI,1,,,"f. = BAradvAjI, the wild cotton shrub, L."
BArgavAya,1,,,"Nom. Ā. ˚yate, to resemble Śukra, L."
BArgavapriya,1,,,"n. ‘dear to Śukra or the planet Venus’, a diamond, L."
BAri,1,,,"m. a lion, L. (prob. w.r. for iBAri, q.v.)"
BAruza,2,,,"m. the son of a Vaiśya Vrātya and an unmarried Vaiśyā, L."
BAryAru,3,,,"m. (fr. BAryA) the father of a child by another man's wife, L."
BAryAwa,1,,,"(˚ryAwa) mfn. living by the prostitution of a w˚, L."
BAryAwika,3,,,"m. (˚ryAw˚) a husband ruled by his w˚, a hen-pecked h˚, L."
BAsantI,1,,,"f. an asterism, Nakṣatra, L."
BAsanta,3,,,"mfn. splendid, beautiful, L."
BAsu,1,,,"m. the sun, L."
BAtu,2,,,"m. the sun, L."
BAvAnugA,1,,,"f. a shadow, L. (cf. BAvAlinA)."
BAvaboDaka,1,,,"mf(ikA)n. revealing any sentiment or feeling, L."
BAvajYA,1,,,"f. Panicum Italicum, L."
BAvatva,1,,,"n. the state of becoming or being &c., L."
BAwwadeSa,1,,,"m. the country of the Bhāṭṭas, L."
BEkzajIvikA,1,,,"f. subsisting by alms or charity, L."
BEqaka,1,,,"mfn. (fr. Beqa, BeRqa) relating to or coming from a sheep, L."
BImEkAdaSI,1,,,"f. N. of the 11th day in the light half of the month Māgha, L. (cf. BIma-dvAdaSI)."
BImaSAsana,1,,,"m. ‘terrible in punishing’, N. of Yama, L."
BImahAsa,1,,,"n. the flocculent seeds or down &c. blown about in the air in summer, L. (v.l. for grIzmah"
BImajananI,1,,,"f. ‘Bhīma's mother’, N. of the Ganges, L."
BImanagara,1,,,"n. ‘Bhīma's city’, N. of a town (cf. -pura), L."
BImara,2,,,"m. a spy, L."
BImodarI,1,,,"f. N. of Umā, L."
BImottara,1,,,"m. N. of a Kumbhāṇḍa, L."
BIrubAla,1,,,"m. a kind of water ratan, L."
BIrucetas,1,,,"m. ‘timid-hearted’, a deer, L."
BIrupattrI,1,,,"f. Asparagus Racemosus, L."
BIruranDra,1,,,"m. ‘having a formidable cavity’, a furnace, oven, L."
BOmI,1,,,"(I), f. ‘produced from the earth’, N. of Sitā, L."
BUBftsaBa,1,,,"n. a king's palace or a meeting of kings, L."
BUDAtirI,2,,,"f. ‘earth-mother’, N. of Baṭuka-bhairava, L."
BUDarADISa,1,,,"m. N. of Baṭukabhairava, L."
BUDarAtmaka,1,,,"m. N. of Baṭukabhairava, L."
BUGana,1,,,"m. the body, L."
BUSakra,1,,,"m. ‘earth-Indra’, a king, prince, L."
BUSamI,1,,,"f. a kind of Acacia, L."
BUSarkarA,1,,,"f. a species of bulbous plant, L."
BUSvaBra,1,,,"n. a hole in the ground, hollow, L."
BUdarIBavA,1,,,"f. Salvinia Cucullata, L."
BUgarBa,1,,,"m. N. of the poet Bhava-bhūti, L."
BUjambu,2,,,"f. wheat, L.; Flacourtia Sapida or its fruit, L."
BUkAka,1,,,"m. ‘earth-crow’, N. of sev. birds (a species of heron; the curlew; a species of pigeon), L"
BUkala,1,,,"m. a restive horse, L."
BUkumBI,1,,,"f. N. of a plant, L."
BUkzit,1,,,"m., earth-destroyer, a hog, L."
BUlavaRa,1,,,"n. factitious salt, L."
BUmIndra,1,,,"m. ‘earth-chief’, a king, prince, L."
BUmat,1,,,"m. ‘possessing the e˚’, a king, prince, L."
BUmayI,1,,,"f. N. of Chāya or Shadow (personified as wife of the Sun), L."
BUmicCattra,1,,,"n. a mushroom, L."
BUmiguhA,1,,,"f. a hole in the earth, L."
BUmijA,1,,,"f. metron. of Sitā, L."
BUmijIvin,1,,,"m. ‘living by the soil’, a Vaiśya, L."
BUmijaguggulu,1,,,"m. a species of bdellium, L."
BUmijambu,2,,,"f. a species of plant, L. Premna Herbacea, L."
BUmikAgata,1,,,"m. a person who wears a theatrical dress, L."
BUmikUSmaRqa,1,,,"m. liquorice, L."
BUmikandalI,1,,,"f. a species of plant (= kandalI), L."
BUmikuzmARqa,1,,,"m. Convolvulus Paniculatus, L."
BUmilABa,1,,,"m. ‘gaining earth’, dying, death, L."
BUmilepana,1,,,"n. ‘earth-ointment’, cow-dung, L."
BUmimaRqA,1,,,"f. Arabian jasmine, L."
BUmimaRqa,1,,,"m. Vallaris Dichotomus, L."
BUmimayI,1,,,"f. N. of Chāyā, L."
BUmipakza,1,,,"m. a swift horse, L."
BUmipiSAca,1,,,"m. Borassus Flabelliformis, L."
BUmisamBavA,1,,,"f. N. of Sītā, L."
BUmisnu,1,,,"m. an earthworm, L."
BUmyAhulya,1,,,"n. a species of shrub, L."
BUnAman,1,,,"f. a kind of fragrant earth, L."
BUnIpa,1,,,"m. = -kadamba, L."
BUpUga,1,,,"m. a kind of Areca plant growing on the ground, L."
BUpada,1,,,"m. ‘earth-fixed, earth-rooted’, a tree, L."
BUpalASa,1,,,"m. a kind of plant, L."
BUpativeSman,1,,,"n. a king's palace, L."
BUpavitra,1,,,"n. ‘earth-purifying’, cow-dung, L."
BUpezwa,1,,,"m. ‘liked by kings’, a kind of tree, L."
BUrBuvakara,1,,,"m. a dog, L."
BUrij,1,,,"f. the earth, L. (prob. w.r. for Burij, q.v.)"
BUrilagnA,1,,,"f. Clitoria Ternatea, L."
BUriloha,1,,,"n. a kind of brass or bell-metal, L."
BUrimUlikA,1,,,"f. ‘id.’, a species of plant, L."
BUripalitadA,1,,,"f. a species of shrub, L."
BUrirAma,1,,,"m. a donkey, ass, L."
BUrirasa,1,,,"m. ‘having much juice’, the sugarcane, L."
BUrivetasa,1,,,"mfn. having many canes or reeds, L."
BUsPowa,1,,,"m. ‘e˚-blister’, a mushroom, L."
BUsvarga,1,,,"m. ‘heaven on e˚’, N. of the mountain Sumeru, L."
BUtArta,1,,,"mfn. tormented by demons, L."
BUtAveSa,1,,,"m. demoniac possession, L."
BUtAyana,1,,,"m. pl. N. of a school, L."
BUtaBOtika,1,,,"mfn. consisting of the elements or of anything formed from them, L."
BUtaDarA,1,,,"f. ‘supporting beings’, the earth, L."
BUtabrahman,1,,,"m. = devalaka, L."
BUtacaturdaSI,1,,,"f. the 14th day in the dark half of the month Kārttika (consecrated to Yama), L."
BUtadamanI,1,,,"f. one of the 9 Śaktis of Śiva, L."
BUtaganDA,1,,,"f. a species of fragrant plant or a partic. perfume, L."
BUtakeSa,1,,,"m. Corydalis Goveniana, L. (also n. and f(I). )"
BUtakesarA,1,,,"f. Trigonella Foenum Graecum, L."
BUtapUrRimA,1,,,"f. the day of full moon in the month Āśvina (when the Bhūtas are worshipped), L."
BUtapattrI,1,,,"f. sacred basil, L."
BUtapuzpa,1,,,"m. Calosanthes Indica, L."
BUtasArI,1,,,"(I), f. collective N. of the 3 myrobalans (Terminalia Chebula, T˚, and Phyllanthus Emblica"
BUtasaMcArin,1,,,"m. ‘moving among creatures’, a forest conflagration, L."
BUtatfRa,1,,,"n. a species of grass, L."
BUtavezI,1,,,"f. a white-flowering Vitex Negundo, L."
BUtigarBa,1,,,"m. N. of the dramatic poet Bhava-bhūti, L."
BUtiniDAna,1,,,"n. ‘receptacle of prosperity’, N. of the Nakṣatra Dhaniṣṭhā, L."
BUtopadeSa,1,,,"m. referring to anything already occurring or existing, L."
BUttama,1,,,"(BUtt˚) n. ‘best of minerals’, gold, L."
BUvallUra,1,,,"n. ‘earth's flesh’, a mushroom, L."
BUyaskAma,1,,,"mfn. very desirous of anything (-tA f.), L."
BUyastvena,1,,,"(ena), ind. for the most part, mostly, L."
BUyoBAva,1,,,"m. increase, growth, progress, L."
BUyoruci,1,,,"mfn. taking much delight in anything (-tA f.), L."
BUyuktA,1,,,"f. a kind of palm, L."
BUzaRendrapraBa,1,,,"m. N. of a king of the Kiṃ-naras, L."
BaMkArI,1,,,"f. ‘uttering the sound Bam, humming’, a gad-fly, L."
BaNgAkawa,1,,,"m. the pollen of hemp, L."
BaNgAna,1,,,"m. Cyprinus Bangana, L."
BaNgArI,1,,,"f. = BaM-kArI, a gad-fly, L."
BaNgaSravas,1,,,"m. N. of a man, L."
BaNgasArTa,1,,,"mfn. deceitful, fraudulent, L."
BaNgavAsA,1,,,"f. turmeric, L."
BaRqIla,1,,,"m. Rubia Munjista, L."
BaRqIralatikA,1,,,"f. = next, L."
BaRqahAsinI,1,,,"f. a harlot, prostitute, L."
BaRqara,1,,,"m. a partic. kind of combat, L."
BaRqiman,1,,,"m. deceit, L."
BaRqirI,1,,,"f. Rubia Munjista, L."
BaRqira,1,,,"m. Acacia Sirissa, L."
BaRquka,1,,,"m. Calosanthes Indica, L."
BaRwuka,1,,,"m. Calosanthes Indica, L. (v.l. BaRquka)."
BaYjA,1,,,"f. N. of Durgā, L."
BaYjanA,1,,,"f. explanation, L."
BaYjipattrikA,1,,,"f. Salvinia Cucullata, L. (cf. PaYji-pattrikA)."
BadrASraya,1,,,"n. = ˚dra-Sraya, L."
BadrAlapattrikA,1,,,"f. Paederia Foetida (= ganDAlI), L."
BadrAraka,1,,,"m. N. of one of the 18 lesser Dvīpas, L."
BadrAtmaja,1,,,"m. ‘son of iron (?)’, a sword, L."
BadraSraya,1,,,"n. sandalwood, L."
BadracUqa,1,,,"m. Euphorbia Tirucalli, L."
Badraja,1,,,"m. Wrightia Antidysenterica, L."
BadrakASI,1,,,"f. a kind of Cyperus, L."
BadrakaRwa,1,,,"m. Asteracantha Longifolia, L."
Badrakapila,1,,,"m. N. of Śiva, L."
BadralakzaRa,1,,,"n. the mark of a Bhadra elephant (whose chief and inferior limbs are in good proportion), "
BadramallikA,1,,,"f. N. of a partic. plant (= gavAkzI), L."
BadranAman,1,,,"m. N. of a bird (the water wagtail or the woodpecker), L."
BadraparRA,1,,,"f. Paederia Foetida, L."
BadrareRu,1,,,"m. N. of Indra's elephant, L. (v.l. -veRu)."
Badrasuta,1,,,"m. = BadrAtmaja, L."
